,MASS,COMMON_NAME,FORMULA
0,924.5129,"CL(1'-[18:2(9Z,12Z)/0:0],3'-[18:2(9Z,12Z)/0:0])",C45H82O15P2
1,1186.7426,"CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/0:0])",C63H112O16P2
2,1246.8001,"CL(1'-[14:1(9Z)/14:1(9Z)],3'-[14:1(9Z)/15:1(10Z)])[rac]",C66H120O17P2
3,1308.9096,"CL(1'-[15:0/15:0],3'-[15:0/16:1(9Z)])[rac]",C70H134O17P2
4,1352.9722,"CL(1'-[16:0/16:0],3'-[16:0/16:0])",C73H142O17P2
5,1376.9722,"CL(1'-[16:0/16:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/16:0])",C75H142O17P2
6,1378.9879,"CL(1'-[16:0/16:0],3'-[16:0/18:1(9Z)]);CL(1'-[16:0/16:0],3'-[18:1(9Z)/16:0]);CL(1'-[16:0/18:1(9Z)],3'-[16:0/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[16:0/16:0])",C75H144O17P2
7,1381.0035,"CL(1'-[16:0/16:0],3'-[16:0/18:0]);CL(1'-[16:0/16:0],3'-[18:0/16:0]);CL(1'-[16:0/18:0],3'-[16:0/16:0]);CL(1'-[18:0/16:0],3'-[16:0/16:0])",C75H146O17P2
8,1400.9722,"CL(1'-[16:0/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/16:0])",C77H142O17P2
9,1402.9879,"CL(1'-[16:0/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[16:0/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/16:0])",C77H144O17P2
10,1405.0035,"CL(1'-[16:0/16:0],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[16:0/16:0],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[16:0/18:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[16:0/18:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[16:0/18:1(11Z)],3'-[16:0/18:1(11Z)]);CL(1'-[16:0/18:1(9Z)],3'-[16:0/18:1(9Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:1(9Z)/16:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/18:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:0/16:0]);CL(1'-[18:0/16:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[16:0/18:1(9Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:1(9Z)/16:0]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[16:0/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/18:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:0/16:0]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[16:0/16:0])",C77H146O17P2
11,1407.0192,"CL(1'-[16:0/16:0],3'-[18:0/18:1(9Z)]);CL(1'-[16:0/16:0],3'-[18:1(9Z)/18:0]);CL(1'-[16:0/18:0],3'-[16:0/18:1(9Z)]);CL(1'-[16:0/18:0],3'-[18:1(9Z)/16:0]);CL(1'-[16:0/18:1(9Z)],3'-[16:0/18:0]);CL(1'-[16:0/18:1(9Z)],3'-[18:0/16:0]);CL(1'-[18:0/16:0],3'-[16:0/18:1(9Z)]);CL(1'-[18:0/16:0],3'-[18:1(9Z)/16:0]);CL(1'-[18:0/18:1(9Z)],3'-[16:0/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[16:0/18:0]);CL(1'-[18:1(9Z)/16:0],3'-[18:0/16:0]);CL(1'-[18:1(9Z)/18:0],3'-[16:0/16:0])",C77H148O17P2
12,1409.0348,"CL(1'-[16:0/16:0],3'-[16:0/20:0]);CL(1'-[16:0/16:0],3'-[18:0/18:0]);CL(1'-[16:0/16:0],3'-[20:0/16:0]);CL(1'-[16:0/18:0],3'-[16:0/18:0]);CL(1'-[16:0/18:0],3'-[18:0/16:0]);CL(1'-[16:0/20:0],3'-[16:0/16:0]);CL(1'-[18:0/16:0],3'-[16:0/18:0]);CL(1'-[18:0/16:0],3'-[18:0/16:0]);CL(1'-[18:0/18:0],3'-[16:0/16:0]);CL(1'-[20:0/16:0],3'-[16:0/16:0])",C77H150O17P2
13,1424.9722,"CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[16:0/16:0])",C79H142O17P2
14,1426.9879,"CL(1'-[16:0/16:0],3'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)]);CL(1'-[16:0/18:1(9Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:1(9Z)],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:1(9Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/18:1(9Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:1(9Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)],3'-[16:0/16:0])",C79H144O17P2
15,1429.0035,"CL(1'-[16:0/16:0],3'-[18:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:0]);CL(1'-[16:0/18:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[16:0/18:1(9Z)],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:0]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:0/16:0]);CL(1'-[18:0/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/18:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:0/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/18:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:0/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:0],3'-[16:0/16:0])",C79H146O17P2
