,MASS,COMMON_NAME,FORMULA
0,341.293,Cer(d18:1/2:0),C20H39NO3
1,479.4338,"Cer(d14:2(4E,6E)/16:0)",C30H57NO3
2,481.4495,Cer(d14:1/16:0);Cer(d18:1/12:0),C30H59NO3
3,495.4651,Cer(d15:1/16:0),C31H61NO3
4,505.4495,"Cer(d14:2(4E,6E)/18:1(9Z))",C32H59NO3
5,507.4651,"Cer(d14:1/18:1);Cer(d14:2(4E,6E)/18:0);Cer(d18:2(4E,8E)/14:0);Cer(d18:2/14:0)",C32H61NO3
6,509.4808,Cer(d14:1/18:0);Cer(d18:1/14:0),C32H63NO3
7,521.4444,"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",C32H59NO4
8,521.4808,Cer(d18:2/15:0),C33H63NO3
9,523.4601,"Cer(d14:1(4E)/18:1(9Z)(2OH));Cer(d14:2(4E,6E)/18:0(2OH));Cer(d18:2(4E,8E)/14:0(2OH))",C32H61NO4
10,523.4964,Cer(d16:1/17:0);Cer(d18:1/15:0),C33H65NO3
11,525.4757,Cer(d18:1(4E)/14:0(2OH));Cer(t18:1(6OH)/14:0),C32H63NO4
12,533.4808,"Cer(d14:2(4E,6E)/20:1(11Z))",C34H63NO3
13,535.4964,"Cer(d14:1/20:1);Cer(d14:2(4E,6E)/20:0);Cer(d16:2(4E,6E)/18:0);Cer(d18:2/16:0)",C34H65NO3
14,537.5121,Cer(d14:1/20:0);Cer(d16:1/18:0);Cer(d18:1/16:0),C34H67NO3
15,539.4914,Cer(d18:1(4E)/15:0(2OH));Cer(t18:1(6OH)/15:0),C33H65NO4
16,541.4706,Cer(t18:1(6OH)/14:0(2OH)),C32H63NO5
17,549.4757,"Cer(d14:2(4E,6E)/20:1(11Z)(2OH));Cer(d16:2(4E,6E)/18:1(9Z)(2OH))",C34H63NO4
18,549.5121,"Cer(d15:2(4E,6E)/20:0)",C35H67NO3
19,551.4914,"Cer(d14:1(4E)/20:1(11Z)(2OH));Cer(d14:2(4E,6E)/20:0(2OH));Cer(d16:1(4E)/18:1(9Z)(2OH));Cer(d16:2(4E,6E)/18:0(2OH))",C34H65NO4
20,551.5277,Cer(d15:1/20:0);Cer(d18:1/17:0),C35H69NO3
21,553.507,Cer(d14:1(4E)/20:0(2OH));Cer(d18:1(4E)/16:0(2OH));Cer(d18:1(4E)/16:0(3OH));Cer(d18:1(8E)/16:0(2OH[R]));Cer(d18:1(8Z)/16:0(2OH[R]));Cer(t18:1(6OH)/16:0),C34H67NO4
22,555.4863,Cer(t18:1(6OH)/15:0(2OH)),C33H65NO5
23,561.5121,"Cer(d14:2(4E,6E)/22:1(13Z));Cer(d16:2(4E,6E)/20:1(11Z));Cer(d18:2/18:1)",C36H67NO3
24,563.5277,"Cer(d14:1/22:1);Cer(d14:2(4E,6E)/22:0);Cer(d16:1/20:1);Cer(d16:2(4E,6E)/20:0);Cer(d18:1/18:1(9Z));Cer(d18:2/18:0)",C36H69NO3
25,565.507,"Cer(d15:2(4E,6E)/20:0(2OH))",C35H67NO4
26,565.5434,Cer(d14:1/22:0);Cer(d16:1/20:0);Cer(d18:1/18:0),C36H71NO3
27,567.5227,Cer(d18:1(4E)/17:0(2OH));Cer(d18:1(4E)/17:0(3OH));Cer(t18:1(6OH)/17:0),C35H69NO4
28,569.5019,Cer(t18:1(6OH)/16:0(2OH)),C34H67NO5
29,577.507,"Cer(d14:2(4E,6E)/22:1(13Z)(2OH));Cer(d16:2(4E,6E)/20:1(11Z)(2OH))",C36H67NO4
30,577.5434,"Cer(d15:2(4E,6E)/22:0)",C37H71NO3
31,579.5227,"Cer(d14:1(4E)/22:1(13Z)(2OH));Cer(d14:2(4E,6E)/22:0(2OH));Cer(d16:2(4E,6E)/20:0(2OH));Cer(d18:2(4E,8Z)/18:0(2OH[R]))",C36H69NO4
32,579.559,Cer(d15:1/22:0);Cer(d18:1/19:0);Cer(d19:1/18:0),C37H73NO3
33,581.5383,Cer(d14:1(4E)/22:0(2OH));Cer(d16:1(4E)/20:0(2OH));Cer(d18:1(4E)/18:0(2OH));Cer(d18:1(4E)/18:0(3OH));Cer(t18:1(6OH)/18:0),C36H71NO4
34,583.5176,Cer(t18:1(6OH)/17:0(2OH)),C35H69NO5
35,589.507,  ,C37H67NO4
36,589.5434,"Cer(d14:2(4E,6E)/24:1(15Z));Cer(d16:2(4E,6E)/22:1(13Z));Cer(d18:2/20:1)",C38H71NO3
37,591.559,"Cer(d14:1/24:1);Cer(d14:2(4E,6E)/24:0);Cer(d16:1/22:1);Cer(d16:2(4E,6E)/22:0);Cer(d18:2/20:0)",C38H73NO3
38,593.5383,"Cer(d15:2(4E,6E)/22:0(2OH));Cer(d18:2(4E,8Z)/19:0(2OH[R]))",C37H71NO4
39,593.5747,Cer(d14:1/24:0);Cer(d16:1/22:0);Cer(d18:1/20:0),C38H75NO3
40,595.554,Cer(d18:1(4E)/19:0(2OH));Cer(d18:1(4E)/19:0(3OH));Cer(t18:1(6OH)/19:0),C37H73NO4
41,597.5332,Cer(t18:1(6OH)/18:0(2OH)),C36H71NO5
42,605.5383,"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",C38H71NO4
43,605.5747,Cer(d18:2/21:0),C39H75NO3
44,607.554,"Cer(d14:2(4E,6E)/24:0(2OH));Cer(d16:2(4E,6E)/22:0(2OH));Cer(d18:2(4E,8Z)/20:0(2OH[R]))",C38H73NO4
45,607.5903,Cer(d15:1/24:0);Cer(d16:1/23:0);Cer(d18:1/21:0),C39H77NO3
