,MASS,COMMON_NAME,FORMULA
0,517.475,DG(14:0/0:0/14:0) (d5),C31H55D5O5
1,545.5063,DG(15:0/0:0/15:0) (d5),C33H59D5O5
2,550.4961,DG(P-14:0/18:1(9Z)),C35H66O4
3,568.5067,DG(16:0/16:0/0:0);DG(16:0/16:0/0:0)[rac],C35H68O5
4,569.5063,DG(16:1(9Z)/0:0/16:1(9Z)) (d5),C35H59D5O5
5,573.5376,DG(16:0/0:0/16:0) (d5),C35H63D5O5
6,580.5431,DG(O-16:0/18:1(9Z)),C37H72O4
7,594.5223,DG(16:0/18:1(11Z)/0:0);DG(16:0/18:1(9Z)/0:0);DG(17:1(9Z)/18:1(9Z)/0:0);DG(18:1(11E)/16:0/0:0);DG(18:1(9Z)/16:0/0:0),C37H70O5;C37[13]CH70O5
8,596.538,DG(18:0/16:0/0:0),C37H72O5
9,601.5689,DG(17:0/0:0/17:0) (d5),C37H67D5O5
10,621.5376,"DG(18:2(9Z,12Z)/0:0/18:2(9Z,12Z)) (d5)",C39H63D5O5
11,624.5693,DG(18:0/18:0/0:0)[rac],C39H76O5
12,625.5689,DG(18:1(9Z)/0:0/18:1(9Z)) (d5),C39H67D5O5
13,629.6002,DG(18:0/0:0/18:0) (d5),C39H71D5O5
14,652.6006,DG(20:0/18:0),C41H80O5
15,657.6315,DG(19:0/0:0/19:0) (d5),C41H75D5O5
16,665.5063,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/20:5(5Z,8Z,11Z,14Z,17Z)) (d5)",C43H59D5O5
17,669.5376,"DG(20:4(5Z,8Z,11Z,14Z)/0:0/20:4(5Z,8Z,11Z,14Z)) (d5)",C43H63D5O5
18,677.6002,"DG(20:2(11Z,14Z)/0:0/20:2(11Z,14Z)) (d5)",C43H71D5O5
19,685.6628,DG(20:0/0:0/20:0) (d5),C43H79D5O5
20,700.5126,MGDG(14:0/16:1(9Z)),C39H72O10
21,702.5282,MGDG(14:0/16:0),C39H74O10
22,726.5282,"MGDG(14:0/18:2(9Z,12Z))",C41H74O10
23,728.5439,MGDG(14:0/18:1(9Z));MGDG(16:0/16:1(9Z)),C41H76O10
24,738.4588,SQDG(14:0/14:0),C37H70O12S
25,742.4656,"MGDG(18:4(6Z,9Z,12Z,15Z)/16:4(4Z,7Z,10Z,13Z))",C43H66O10
26,744.4813,"MGDG(18:3(9Z,12Z,15Z)/16:4(4Z,7Z,10Z,13Z))",C43H68O10
27,746.4969,"MGDG(18:3(9Z,12Z,15Z)/16:3(7Z,10Z,13Z))",C43H70O10
28,752.5439,"MGDG(16:0/18:3(9Z,12Z,15Z))",C43H76O10
29,754.502,"MGDG(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))",C45H70O9
30,754.5595,"MGDG(16:0/18:2(9Z,12Z))",C43H78O10
31,756.5176,"MGDG(18:3(9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))",C45H72O9
32,756.5752,MGDG(16:0/18:1(9Z)),C43H80O10
33,760.4762,Linolipin F,C43H68O11
