,MASS,COMMON_NAME,FORMULA
0,104.011,Malonic acid,C3H4O4
1,118.0266,Methylmalonic acid;Succinic acid,C4H6O4
2,128.011,Glutinic acid,C5H4O4
3,130.0266,Citraconic acid;Glutaconic acid;Itaconic acid;Mesaconic acid;cis-Glutaconic acid,C5H6O4
4,131.0219,Iminoaspartic acid,C4H5NO4
5,132.0059,2-hydroxy-2-butenedioic acid;Oxalacetic acid,C4H4O5
6,132.0423,Ethylmalonic acid;Methylsuccinic acid;dimethyl-malonic acid,C5H8O4
7,142.0266,"cis,cis-muconic acid;trans-trans-muconic acid",C6H6O4
8,144.0423,(E)-hex-2-enedioic acid;2E-methyl-glutaconic acid;3-hexenedioic acid;3E-methylglutaconic acid,C6H8O4
9,146.0579,"2,2-dimethyl-succinic acid;2-methyl-glutaric acid;Adipic acid;Methylglutaric acid",C6H10O4
10,157.0375,2-amino-muconic acid,C6H7NO4
11,158.0215,"(Z)-5-oxohex-2-enedioic acid;2-methylene-4-oxo-pentanedioic acid;3-hydroxy-cis,cis-muconic acid;fumarylacetic acid",C6H6O5
12,160.0372,3-oxo-adipic acid;Oxoadipic acid,C6H8O5
13,160.0736,"3,3-dimethyl-glutaric acid;3-methyl-adipic acid;Pimelic acid",C7H12O4
14,161.0688,Aminoadipic acid,C6H11NO4
15,162.0528,2-Hydroxyadipic acid;2S-hydroxyadipic acid;3-hydroxy-adipic acid;3-hydroxymethyl-glutaric acid,C6H10O5
16,172.0736,2-octenedioic acid;cis-4-octenedioic acid,C8H12O4
17,174.0528,3-oxopimelic acid,C7H10O5
18,174.0892,Ethyladipic acid;Suberic acid,C8H14O4
19,176.0685,"2,3-dimethyl-3-hydroxy-glutaric acid;2-isopropyl-malic acid;3-propylmalic acid",C7H12O5
20,186.0164,3-maleylpyruvic acid,C7H6O6
21,188.1049,Azelaic acid,C9H16O4
22,190.0477,"2,4-dihydroxy-2-heptenedioc acid;4-hydroxy-2-oxo-Heptanedioic acid",C7H10O6
23,190.0841,3-hydroxy-suberic acid,C8H14O5
24,190.0954,diamino-pimelic acid,C7H14N2O4
25,194.0579,"2E,4E,6E,8E-Decatetraenedioic acid;2E,4E,6Z,8Z-Decatetraenedioic acid;2E,4Z,6Z,8Z-Decatetraenedioic acid",C10H10O4
26,200.0321,4-fumarylacetoacetic acid;Maleylacetoacetic acid,C8H8O6
27,200.1049,"2,6R-Dimethyl-2E-octen-1,8-dioic acid;2E-Decenedioic acid;4E-Decenedioic acid;4Z-Decenedioic acid;Callosobruchusic acid",C10H16O4
28,202.0114,"4-carboxy-2-hydroxy-cis,cis-muconic acid",C7H6O7
29,202.1205,"2,6-Dimethyl-1,8-octanedioic acid;Sebacic acid",C10H18O4
30,204.0998,2-hydroxy-7-methyl-Octanedioic acid,C9H16O5
31,210.0376,Galactaric acid;Glucaric acid,C6H10O8
32,214.1205,Pantheric Acid C,C11H18O4
33,216.1362,Undecanedioic acid,C11H20O4
34,218.1154,2-hydroxy-decanedioic acid;3-hydroxy-sebacic acid,C10H18O5
35,222.0892,"2E,4E,8E,10E-Dodecatetraenedioic acid",C12H14O4
36,226.1205,"3,7-Dimethyl-2E,6E-decadien-1,10-dioic acid ",C12H18O4
37,228.0998,Asperitaconic acid C,C11H16O5
38,228.1362,2Z-Dodecenedioic acid;3Z-dodecenedioic acid;Traumatic acid,C12H20O4
39,229.0586,"5-(L-alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde",C9H11NO6
40,230.1518,Dodecanedioic acid,C12H22O4
41,244.0947,Tensyuic acid A;Tensyuic acid F,C11H16O6
42,244.1311,Asperitaconic acid A,C12H20O5
43,244.1675,2-methyl-dodecanedioic acid;3-methyl-dodecanedioic acid;4-methyl-dodecanedioic acid;6-methyl-dodecanedioic acid;Brassylic acid,C13H24O4
44,246.1467,3-hydroxy-dodecanedioic acid,C12H22O5
45,258.1103,Tensyuic acid B,C12H18O6
46,258.1831,2-methyl-tridecanedioic acid;3-methyl-tridecanedioic acid;4-methyl-tridecanedioic acid;Tetradecanedioic acid,C14H26O4
47,272.126,Asperitaconic acid B;Tensyuic acid C;Tensyuic acid D,C13H20O6
48,272.1988,3-methyl-tetradecanedioic acid;5-methyl-tetradecanedioic acid;Pentadecanedioic acid,C15H28O4
49,274.178,3-hydroxy-tetradecanedioic acid,C14H26O5
50,286.1416,Tensyuic acid E,C14H22O6
51,286.2144,10-hydroxy-16-oxo-hexadecanoic acid;9-hydroxy-16-oxo-hexadecanoic acid;Thapsic acid,C16H30O4
52,288.1573,Cladosporester C,C14H24O6
53,298.2144,8E-Heptadecenedioic acid,C17H30O4
54,300.2301,2-methyl-hexadecanedioic acid;3-methyl-hexadecanedioic acid;4-methyl-hexadecanedioic acid;5-methyl-hexadecanedioic acid;8-methyl-hexadecanedioic acid;Heptadecanedioic acid,C17H32O4
55,302.2093,"10-hydroxy-hexadecan-1,16-dioic acid;9-hydroxy-hexadecan-1,16-dioic acid",C16H30O5
56,310.2144,-;Graminoxin A2;Graminoxin B2,C18H30O4
57,312.2301,9Z-Octadecenedioic acid;Graminoxin A1;Graminoxin B1,C18H32O4
58,314.2457,Octadecanedioic acid,C18H34O4
59,326.2457,Ceriporic acid A,C19H34O4
60,328.2614,Nonadecandioic acid,C19H36O4
61,332.1835,"(2S,3S)-2-hydroxytridecane-1,2,3-tricarboxylic acid",C16H28O7
62,334.2144,"5Z,8Z,11Z,14Z-Eicosatetraenedioic acid",C20H30O4
63,336.2301,"5Z,8Z,11Z-Eicosatrienedioic acid",C20H32O4
64,338.1729,18-hydroxy-18-oxo-dinorleukotriene B4,C18H26O6
65,342.277,Eicosanedioic acid,C20H38O4
66,346.1992,"(3S,4S)-3-hydroxytetradecane-1,3,4-tricarboxylic acid",C17H30O7
67,346.2355,Floionic acid,C18H34O6
68,352.2614,Ceriporic acid C,C21H36O4
69,354.277,Ceriporic acid B,C21H38O4
70,356.2927,Japanic acid,C21H40O4
71,370.3083,Phellogenic acid ,C22H42O4
72,384.324,Tricosanedioic acid,C23H44O4
73,398.3396,Tetracosanedioic acid,C24H46O4
74,426.3709,Hexacosanedioic acid,C26H50O4
75,430.1839,Cissoic acid,C20H30O10
76,440.3866,Heptacosanedioic acid,C27H52O4
77,468.4179,"Nonacosane-1,29-dioic acid",C29H56O4
78,482.4335,"13,14-dimethyloctacosanedioic acid;Equisetolic acid",C30H58O4
