,MASS,COMMON_NAME,FORMULA
0,102.0317,4-hydroxy-crotonic acid,C4H6O3
1,104.0473,(+/-)alpha-hydoxy butyric acid;(R)-2-hydroxybutyric acid;(S)-3-Hydroxybutyric acid;2S-Hydroxybutanoic acid;3R-hydroxy-butanoic acid;3R-hydroxy-isobutyric acid;4-hydroxy-butyric acid;D(-)-beta-hydroxy butyric acid;alpha-hydroxy-isobutyric acid,C4H8O3
2,118.0266,xi-3-Hydroxy-2-oxobutanoic acid,C4H6O4
3,118.063,"2-Hydroxy-3-methylbutyric acid;2-ethyl-hydracrylic acid;2-hydroxy-2-methyl-butyric acid;2-hydroxy-3-methyl-butyric acid;2-methyl-3-hydroxybutyric acid;3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid;3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid;3-hydroxy valeric acid;3-hydroxy-2-methyl-[R-(R,S)]-butanoic acid;3-hydroxy-isovaleric acid;4-hydroxy-isovaleric acid;4-hydroxy-valeric acid;5-hydroxy valeric acid;DL-2-hydroxy valeric acid",C5H10O3
4,120.0423,"(S)-3,4-Dihydroxybutyric acid;2,4-dihydroxy-butanoic acid;3S,4-dihydroxy-butyric acid;4-deoxy-erythronic acid;a,b-dihydroxy-isobutyric acid",C4H8O4
5,128.0473,6-hydroxy-2-hexynoic acid,C6H8O3
6,128.1201,oct-1-en-3S-ol,C8H16O
7,132.0423,(S)-2-Acetolactate;(S)-4-hydroxy-2-oxopentanoic acid;2-Acetolactate;2-Hydroxy-4-oxopentanoic acid,C5H8O4
8,132.0786,"(2R,3S)-2-hydroxy-3-methylpentanoic acid;(2S,3R)-3-hydroxy-2-methylpentanoic acid;(S)-3-hydroxyhexanoic acid;2-ethyl-2-hydroxy-butyric acid;2-hydroxy-3-methyl-pentanoic acid;3R-hydroxy-hexanoic acid;5-hydroxy caproic acid;5R-hydroxy-hexanoic acid;6-hydroxy caproic acid;D-Leucic acid;DL-2-hydroxy caproic acid;DL-3-hydroxy caproic acid;DL-4-hydroxy caproic acid;Leucinic acid;hydroxy-isocaproic acid",C6H12O3
9,134.0579,"(R)-2,3-Dihydroxy-isovalerate;2,3-Dihydroxy-2-methylbutanoic acid;2,3-dihydroxy-valeric acid",C5H10O4
10,135.0532,"(+)-threo-2-Amino-3,4-dihydroxybutanoic acid",C4H9NO4
11,142.063,7-hydroxy-5-heptynoic acid,C7H10O3
12,146.0579,(R)-3-hydroxy-3-methyl-2-oxopentanoic acid;(R)-4-Dehydropantoate;(S)-3-hydroxy-3-methyl-2-oxopentanoic acid;(S)-4-hydroxy-2-oxohexanoic acid;2-oxo-4-hydroxy-hexanoic acid;2S-acetyl-2-hydroxy-butanoic acid;Acetohydroxybutyrate,C6H10O4
13,146.0943,2-hydroxy enanthoic acid;4-hydroxy enanthoic acid;6-hydroxy-heptanoic acid;6R-hydroxy-heptanoic acid;delta-hydroxy enanthoic acid;omega-hydroxy enanthoic acid,C7H14O3
14,147.0895,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",C6H13NO3
15,148.0372,2-dehydro-3-deoxy-D-arabinonic acid;2-dehydro-3-deoxy-L-arabinonic acid;2-hydroxyglutaric acid,C5H8O5
16,148.0736,"(R) 2,3-Dihydroxy-3-methylvalerate;2,3-Dihydroxy-3-methylpentanoic acid;Mevalonic acid",C6H12O4
17,150.0351,2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S
18,150.0528,2-Deoxyribonic acid;2-deoxy-ribonic acid,C5H10O5
19,160.1099,(S)-3-hydroxyoctanoic acid;2-hydroxy caprylic acid;2R-hydroxy-octanoic acid;3-Hydroxyvalproic acid;3-hydroxy caprylic acid;3-hydroxy-isoheptanoic acid;3R-hydroxy-octanoic acid;4-Hydroxyvalproic acid;4-hydroxy-octanoic acid;4R-hydroxy-octanoic acid;5-hydroxy-octanoic acid;6-hydroxy caprylic acid;7-hydroxy-octanoic acid;7R-hydroxy-octanoic acid;7S-hydroxy-octanoic acid;8-hydroxy caprylic acid,C8H16O3
20,162.0528,"(R)-2-ethylmalic acid;2,3-dimethylmalic acid",C6H10O5
21,164.0685,Digitoxic acid,C6H12O5
22,172.1099,9-hydroxy-5Z-nonenoic acid,C9H16O3
23,174.0528,"6,7-dihydroxy-4-oxo-2-heptenoic acid",C7H10O5
24,174.1256,(+)-3-hydroxy pelargonic acid;(R)-2-hydroxynonanoic acid;2-hydroxy pelargonic acid;4-hydroxy pelargonic acid;6-hydroxy-nonanoic acid;7-hydroxy pelargonic acid;8-hydroxy-nonanoic acid;8R-hydroxy-nonanoic acid;9-hydroxy pelargonic acid,C9H18O3
25,176.0321,"(4S,5S)-4,5-dihydroxy-2,6-dioxohexanoic acid;2-hydroxy-3-oxoadipic acid;3-deoxy-D-glycero-hexo-2,5-diulosonic acid",C6H8O6
26,176.1049,"6,8-dihydroxy-octanoic acid",C8H16O4
27,178.0477,2-Keto-3-deoxy-D-gluconic acid;2-dehydro-3-deoxy-D-gluconic acid,C6H10O6
28,180.0634,Fuconic acid ,C6H12O6
29,184.1099,Curvulalic acid;Gallicynoic acid I;Ieodomycin D,C10H16O3
30,186.1256,10-hydroxy-2E-decenoic acid;10-hydroxy-2Z-decenoic acid;10-hydroxy-8E-decenoic acid;6-hydroxy-3-isopropenylheptanoic acid;9-hydroxy-2E-decenoic acid;9R-hydroxy-2E-decenoic acid;9S-hydroxy-2E-decenoic acid,C10H18O3
31,188.1412,"10-hydroxy capric acid;2-hydroxy capric acid;2S-hydroxy-decanoic acid;3-hydroxy-decanoic acid;3R-hydroxy-decanoic acid;3S-hydroxy-decanoic acid;4-hydroxy capric acid;5-hydroxy capric acid;6-hydroxy-3,7-dimethyloctanoic acid;6-hydroxy-decanoic acid;7-hydroxy-decanoic acid;9-hydroxy-decanoic acid;9R-hydroxy-decanoic acid;9S-hydroxy-decanoic acid",C10H20O3
32,190.0477,"3,7-dideoxy-D-threo-hepto-2,6-diuolosonic acid",C7H10O6
33,191.0794,"2-amino-2,3,7-trideoxy-D-lyxo-hept-6-ulosonic acid",C7H13NO5
34,192.027,"2,5-didehydro-D-gluconic acid",C6H8O7
35,192.0423,"2,10-dihydroxy-4,6,8-decatriynoic acid",C10H8O4
36,200.1049,Cladosporacid E,C10H16O4
37,200.1412,(S)-9-Hydroxy-10-undecenoic acid;2-hydroxy-10-undecenoic acid;2R-hydroxy-10-undecenoic acid;2S-hydroxy-10-undecenoic acid,C11H20O3
38,202.1205,"9,10-dihydroxy-2-decenoic acid",C10H18O4
39,202.1569,10-hydroxy-undecanoic acid;2-hydroxy hendecanoic acid;3-hydroxy-undecanoic acid;3S-hydroxy-undecanoic acid;4-hydroxy-undecanoic acid;omega-hydroxy hendecanoic acid,C11H22O3
40,204.1362,"3,10-dihydroxydecanoic acid",C10H20O4
41,206.0427,"(2R,3S)-2-methylcitric acid;(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",C7H10O7
42,208.0219,Garcinia acid,C6H8O8
43,212.1412,"12-hydroxy-3Z,6Z-dodecadienoic acid;8-Hydroxy-4,8-dimethyl-4E,9-decadienoic acid",C12H20O3
44,214.1569,10-hydroxy-11-dodecenoic acid;12-hydroxy-10-dodecenoic acid;12-hydroxy-3Z-dodecenoic acid;3R-hydroxy-5Z-dodecenoic acid,C12H22O3
45,216.1725,11-hydroxy-dodecanoic acid;11R-hydroxy-dodecanoic acid;2R-hydroxylauric acid;2S-hydroxylauric acid;3R-hydroxy-dodecanoic acid;3S-hydroxy-dodecanoic acid;4-hydroxy lauric acid;4R-hydroxylauric acid;4S-hydroxylauric acid;7-hydroxy-dodecanoic acid;9-hydroxy-dodecanoic acid;Sabinic acid;alpha-hydroxy lauric acid;beta-hydroxylauric acid;xi-5-Hydroxydodecanoic acid,C12H24O3
46,220.0219,"2-hydroxy-4-oxobutane-1,2,4-tricarboxylic acid",C7H8O8
47,228.0399,Mevalonate-P,C6H13O7P
48,228.1362,9-hydroxy-traumatin;Cladosporacid D;Gallicynoic acid G;Ieodomycin C,C12H20O4
49,228.1725,11-Hydroxy-9-tridecenoic acid,C13H24O3
50,230.1518,Cladosporacid A;Cladosporacid B;Cladosporacid C,C12H22O4
51,230.1882,13-hydroxy-tridecanoic acid;2-hydroxy-tridecanoic acid;3-hydroxy-tridecanoic acid;3R-hydroxy-tridecanoic acid;4-hydroxy-tridecanoic acid,C13H26O3
52,233.1739,Hypusine,C10H23N3O3
53,242.1518,Ieodomycin A,C13H22O4
54,242.1882,12-hydroxy-13-tetradecenoic acid;14-hydroxy-12-tetradecenoic acid;14-hydroxy-12Z-tetradecenoic acid;14-hydroxy-5Z-tetradecenoic acid,C14H26O3
55,244.1059,"(2S,4S)-Pinnatanine",C10H16N2O5
56,244.1675,Cladosporester A;Cladosporester B,C13H24O4
57,244.2038,10-hydroxy-tetradecanoic acid;11-hydroxy-tetradecanoic acid;11S-hydroxy-tetradecanoic acid;2-Hydroxymyristic acid;3-hydroxy-tetradecanoic acid;3R-hydroxy-tetradecanoic acid;3S-hydroxy-tetradecanoic acid;5-hydroxy-tetradecanoic acid;6-hydroxy-tetradecanoic acid;9-Hydroxymyristic acid;Butolic acid;alpha-hydroxy myristic acid;omega-hydroxy myristic acid,C14H28O3
58,254.1154,methyl 4-[2-(2-formyl-vinyl)-3-hydroxy-5-oxo-cyclopentyl]-butanoate,C13H18O5
59,254.1518,Gallicynoic acid A,C14H22O4
60,258.2195,15-hydroxy-pentadecanoic acid;2-hydroxy-pentadecanoic acid;2R-hydroxy-pentadecanoic acid;3-hydroxy-pentadecanoic acid;3R-hydroxy-pentadecanoic acid;3R-hydroxymyristic acid methyl ester;3S-hydroxy-pentadecanoic acid;4-hydroxy-pentadecanoic acid;9-hydroxy-pentadecanoic acid;Convolvulinolic acid,C15H30O3
61,260.1988,Ipurolic acid,C14H28O4
62,264.1725,"all-trans-7-hydroxyhexadeca-2,4,8,10-tetraenoic acid",C16H24O3
63,266.0919,10-phospho-2E-decenoic acid,C10H19O6P
64,266.1882,9S-HHTrE;Tetranor-12R-HETE,C16H26O3
65,268.1675,Gallicynoic acid B,C15H24O4
66,270.2195,(+)-12-hydroxy-9Z-hexadecenoic acid;16-hydroxy-5-hexadecenoic acid;16-hydroxy-6-hexadecenoic acid;16-hydroxy-9E-hexadecenoic acid;16-hydroxy-9Z-hexadecenoic acid;9S-hydroxy-7E-hexadecenoic acid;Ambrettolic acid,C16H30O3
