,MASS,COMMON_NAME,FORMULA
0,72.0211,Acrylic acid,C3H4O2
1,86.0368,Crotonic acid;Isocrotonic acid;Vinyl acetic acid;but-2-enoic acid,C4H6O2
2,98.0368,"beta-vinyl acrylic acid;penta-2,4-dienoic acid",C5H6O2
3,100.0524,Allyl acetic acid;beta-ethyl acrylic acid;beta-penteic acid;cis-pent-2-enoic acid;cis-pent-3-enoic acid,C5H8O2
4,102.0317,3-hydroxybut-2-enoic acid,C4H6O3
5,112.0524,"(2Z,4Z)-hexa-2,4-dienoic acid;3,5-hexadienoic acid;3-hexynoic acid;4-hexynoic acid;5-hexynoic acid;Sorbic acid;hexa-2,4-dienoic acid",C6H8O2
6,114.0681,2-Methyl-2-pentenoic acid;2-Methyl-4-pentenoic acid;2Z-Hexenoic acid;4-Methyl-2-pentenoic acid;Hydrosorbic acid;Isohydrosorbic acid;cis-hex-3-enoic acid;delta-hexenoic acid;gamma-hexenoic acid,C6H10O2
7,124.0524,"cis,trans-hepta-2,4,6-trienoic acid;trans,trans-hepta-2,4,6-trienoic acid",C7H8O2
8,126.0681,"3-heptynoic acid;4-Methyl-3Z,5-hexadienoic acid;4-heptynoic acid;6-heptynoic acid",C7H10O2
9,128.0473,"(2Z,4Z)-2-hydroxyhexa-2,4-dienoic acid;C11354",C6H8O3
10,128.0837,"2,4-Dimethyl-2-pentenoic acid;3-Methyl-2E-hexenoic acid;3-Methyl-2Z-hexenoic acid;4Z-heptenoic acid;alpha-heptenoic acid;beta-heptenoic acid;delta-heptenoic acid;epsilon-heptenoic acid;gamma-heptenoic acid",C7H12O2
11,132.0211,"2,4,6-Octatriynoic acid",C8H4O2
12,134.0368,"6E-Octene-2,4-diynoic acid;6Z-Octene-2,4-diynoic acid",C8H6O2
13,140.0837,"2-octynoic acid;2E,7-Octadienoic acid;4Z,7-octadienoic acid;5,7-octadienoic acid;7-octynoic acid",C8H12O2
14,142.0266,"(2E,4Z)-2-hydroxy-6-oxohexa-2,4-dienoic acid;(2E,4Z)-4-hydroxy-6-oxohexa-2,4-dienoic acid;2-hydroxy-6-oxohexa-2,4-dienoic acid",C6H6O4
15,142.0994,"(3E)-2-Propylpent-3-enoic acid;(3Z)-2-Propylpent-3-enoic acid;(E)-4-Octenoic acid;2,4-Dimethyl-2-hexenoic acid;2-ene-Valproic acid;3-Methyl-2Z-heptenoic acid;3-Methyl-3E-heptenoic acid;3-Methyl-3Z-heptenoic acid;3-Methyleneheptanoic acid;4-ene-Valproic acid;7-octenoic acid;cis-alpha-octenoic acid;cis-beta-octenoic acid;cis-delta-octenoic acid;cis-epsilon-octenoic acid;cis-gamma-octenoic acid;trans-alpha-octenoic acid;trans-beta-octenoic acid;trans-delta-octenoic acid;trans-epsilon-octenoic acid",C8H14O2
16,154.0994,"2,6-nonadienoic acid;2-nonynoic acid;2E,6Z-nonadienoic acid;2Z,4E-nonadienoic acid;4-nonynoic acid;5,7-nonadienoic acid;5-nonynoic acid;6-nonynoic acid;7-nonynoic acid;8-nonynoic acid",C9H14O2
17,156.0786,"8-hydroxy-5,6-Octadienoic acid",C8H12O3
18,156.115,"2,6-Dimethyl-5-heptenoic acid;2E-nonenoic acid;3Z-nonenoic acid;4E-nonenoic acid;6E-nonenoic acid;6Z-Nonenoic acid;8-nonylenic acid;alpha-nonylenic acid;beta-nonylenic acid",C9H16O2
19,158.0368,Dehydromatricaric acid ,C10H6O2
20,158.0579,hept-2-enedioic acid,C7H10O4
21,159.0895,5-Acetamidovalerate,C7H13NO3
22,160.0524,"Matricaric acid;Z,E-Matricaric acid;Z,Z-Matricaric acid;methyl 2Z,8Z-nonadien-4,6-diynoate",C10H8O2
23,162.0681,8Z-Dihydromatricaria acid;cis-Lachnophyllic acid,C10H10O2
24,164.0473,"9-hydroxy-7E-Nonene-3,5-diynoic acid;9-hydroxy-7Z-Nonene-3,5-diynoic acid",C9H8O3
25,164.0837,"2,4-decadiynoic acid",C10H12O2
26,166.0994,"2,4,7-Decatrienoic acid;2E,4E,6Z-Decatrienoic acid;2E,6E,8E-decatrienoic acid;2E,6Z,8E-decatrienoic acid;2Z,4E,6Z-Decatrienoic acid;3E,5Z,7E-Decatrienoic acid;3Z,5E,7E-Decatrienoic acid",C10H14O2
27,168.115,"2,3-decadienoic acid;2,5-decadienoic acid;2E,4E-decadienoic acid;2E,6E-decadienoic acid;2E,6Z-decadienoic acid;2E,7E-decadienoic acid;2E,7Z-decadienoic acid;2Z,4E-decadienoic acid;2Z,6E-decadienoic acid;2Z,6Z-decadienoic acid;3,4-decadienoic acid;3,5-decadienoic acid;3-decynoic acid;3E,5Z-decadienoic acid;3Z,5E-decadienoic acid;4,8-decadienoic acid;4-decynoic acid;4E,6E-decadienoic acid;4E,9-decadienoic acid;5-decynoic acid;5E,8E-decadienoic acid;5E,9-decadienoic acid;6-decynoic acid;6E,8E-decadienoic acid;7,9-decadienoic acid;7-decynoic acid;8-decynoic acid;9-decynoic acid;Aleprestic acid;Geranic acid;Nerolic acid;cis, cis-stillingic acid;trans, cis-stillingic acid",C10H16O2
28,170.1307,(E)-6-decenoic acid;2-decylenic acid;3-decylenic acid;3Z-decenoic acid;4Z-decenoic acid;5-Decenoic acid;8-Methylnonenoate;Caproleic acid;Isodecenoic acid;Obtusilic acid;cis-dec-2-enoic acid,C10H18O2
29,172.0524,"4E-Undecene-6,8,10-triynoic acid;Drosophilin C;Drosophilin D",C11H8O2
30,172.1463,4-Ethyloctanoic acid,C10H20O2
31,174.0681,"2E,8Z-Undecadiene-4,6-diynoic acid",C11H10O2
32,175.9876,2-chloromuconic acid;3-chloromuconic acid,C6H5O4Cl
33,176.0473,"10-hydroxy-2E,8E-Decadiene-4,6-diynoic acid;10-hydroxy-2E,8Z-Decadiene-4,6-diynoic acid;10-hydroxy-2Z,8Z-Decadiene-4,6-diynoic acid;10-hydroxy-8E-Decene-2,4,6-triynoic acid",C10H8O3
34,178.063,"10-hydroxy-8E-Decene-4,6-diynoic acid;10-hydroxy-8Z-Decene-4,6-diynoic acid;8S-hydroxy-2-Decene-4,6-diynoic acid;8S-hydroxy-2E-Decene-4,6-diynoic acid;Antibiotic LA-1",C10H10O3
35,182.0943,5-oxo-7-decynoic acid,C10H14O3
36,182.1307,"10-undecynoic acid;2-undecynoic acid;2E,4E-undecadienoic acid;3-Methyl-2Z,4E-decadienoic acid;3-undecynoic acid;4-undecynoic acid;5-undecynoic acid;6-undecynoic acid;7-undecynoic acid;8-undecynoic acid;9-undecynoic acid",C11H18O2
37,184.0736,4-Formyl-3-(formylmethyl)-4-hexenoic acid,C9H12O4
38,184.1099,(E)-10-Oxo-8-decenoic acid,C10H16O3
39,184.1463,2-hendecenoic acid;2Z-undecenoic acid;3E-undecenoic acid;4-undecenoic acid;5E-undecenoic acid;5Z-undecenoic acid;6-undecenoic acid;6Z-undecenoic acid;7-undecenoic acid;8Z-undecenoic acid;9-hendecenoic acid;9Z-undecenoic acid;Undecylenic acid,C11H20O2
40,186.0164,"2-carboxy-cis,cis-muconic acid",C7H6O6
41,188.0321,"but-1-ene-1,2,4-tricarboxylic acid",C7H8O6
42,188.0837,"5,8,11-dodecatriynoic acid",C12H12O2
43,188.1049,3-Methylsubericacid,C9H16O4
44,190.0266,"Deca-2,4,6-triynedioic acid",C10H6O4
45,190.063,Nemotinic acid,C11H10O3
46,190.0994,"3,5,7,9,11-dodecapentaenoic acid;Ajenoic acid",C12H14O2
47,192.115,"2E,4E,8Z,10E-dodecatetraenoic acid;2E,6E,8E,10E-dodecatetraenoic acid;2E,6E,8Z,10E-dodecatetraenoic acid;5,11-dodecadiynoic acid",C12H16O2
48,196.1463,"10-dodecynoic acid;11-dodecynoic acid;2E,4E-dodecadienoic acid;2E,6Z-dodecadienoic acid;2E,8E-dodecadienoic acid;2E,8Z-dodecadienoic acid;2Z,8E-dodecadienoic acid;2Z,8Z-dodecadienoic acid;3-dodecynoic acid;4-dodecynoic acid;5-dodecynoic acid;5E,7E-dodecadienoic acid;6-dodecynoic acid;7-dodecynoic acid;7Z,9E-dodecadienoic acid;8-dodecynoic acid;8E,10E-dodecadienoic acid;8Z,10E-dodecadienoic acid;9-dodecynoic acid;Aleprylic acid;cis,cis-dodeca-3,6-dienoic acid",C12H20O2
49,198.0681,Isomycomycin;Mycomycin,C13H10O2
50,198.162,10-Lauroleic acid;10Z-dodecenoic acid;11-lauroleic acid;2-lauroleic acid;2E-Lauroleic acid;2Z-dodecenoic acid;5E-dodecenoic acid;6-lauroleic acid;6Z-dodecenoic acid;7-lauroleic acid;7Z-dodecenoic acid;9-lauroleic acid;Lauroleic acid;Lauroleinic acid;Linderic acid;cis-dodec-3-enoic acid;trans-dodec-3-enoic acid,C12H22O2
51,200.0321,"5-formyl-2-hydroxyhepta-2,4-dienedioic acid",C8H8O6
52,204.0786,Odyssic acid,C12H12O3
53,209.9487,"2,4-dichloromuconic acid",C6H4O4Cl2
54,210.162,"10-tridecynoic acid;11-tridecynoic acid;12-tridecynoic acid;3-tridecynoic acid;3E,5E-tridecadienoic acid;3Z,5E-tridecadienoic acid;4-tridecynoic acid;5-tridecynoic acid;6-tridecynoic acid;7-tridecynoic acid;8-tridecynoic acid;9-tridecynoic acid",C13H22O2
55,212.0837,"(-)-Mycomycin;2E,4E,6E,12E-Tetradecatetraene-8,10-diynoic acid;2E,4E,6E,12Z-Tetradecatetraene-8,10-diynoic acid",C14H12O2
56,212.1412,"10-Hydroxy-3,7-dimethyl-2E,6E-decadienoic acid",C12H20O3
57,212.1776,11-methyl-2E-dodecenoic acid;12-tridecenoic acid;13:1(8);2Z-tridecenoic acid;3-n-decyl acrylic acid;7-tridecenoic acid;9Z-tridecenoic acid;Isotridecenoic acid,C13H24O2
58,214.0994,"4E,6E,12Z-Tetradecatriene-8,10-diynoic acid",C14H14O2
59,216.115,"10E,12E-tetradecadiene-4,6-diynoic acid;7E,11E-tetradecadiene-5,9-diynoic acid;Anacyclic acid",C14H16O2
60,218.1307,"5,7,9,11,13-tetradecapentaenoic acid",C14H18O2
61,220.1463,"Tetradecan-7,9-diynoic acid",C14H20O2
62,224.0604,Aurantoic acid,C12H13O2Cl
63,224.1776,"10-tetradecynoic acid;10Z,12E-tetradecadienoic acid;11-tetradecynoic acid;12-tetradecynoic acid;13-tetradecynoic acid;14:2(6,9);2E,4E-tetradecadienoic acid;3,4-tetradecadienoic acid;3-tetradecynoic acid;3Z,5E-tetradecadienoic acid;3Z,5Z-tetradecadienoic acid;4-tetradecynoic acid;5,8-tetradecadienoic acid;5-tetradecynoic acid;6-tetradecynoic acid;7-tetradecynoic acid;8-tetradecynoic acid;9-tetradecynoic acid;Alepric acid;Goshuyic acid;Megatomic acid",C14H24O2
64,226.1933,2-tetradecenoic acid;2Z-tetradecenoic acid;3E-tetradecenoic acid;5E-Tetradecenoic acid;6Z-tetradecenoic acid;7E-tetradecenoic acid;7Z-tetradecenoic acid;8Z-tetradecenoic acid;Myristelaidic acid;Myristoleic acid;Physeteric acid;Tsuzuic acid;cis-tetradec-11-enoic acid;trans-tetradec-11-enoic acid,C14H26O2
65,230.1307,"15-octadecene-9,11,13-triynoic acid;6,8,10-Pentadecatriynoic acid  ",C15H18O2
66,232.1099,"6-hydroxytetradeca-7,8-dien-10,12-diynoic acid",C14H16O3
67,232.1463,"10E-Pentadecen-6,8-diynoic acid",C15H20O2
68,238.1569,"5-oxo-6E,8E-tetradecadienoic acid;5-oxo-6E,8Z-tetradecadienoic acid",C14H22O3
69,238.1933,"14-pentadecynoic acid;3-pentadecynoic acid;3S,7,11-Trimethyl-6,10-dodecadienoic acid",C15H26O2
70,240.2089,10Z-pentadecenoic acid;14-pentadecenoic acid;15:1(7Z);15:1(9Z);2-pentadecenoic acid;2Z-pentadecenoic acid;5Z-pentadecenoic acid;6-pentadecenoic acid;6Z-pentadecenoic acid,C15H28O2
71,242.1307,"6E,8E,14E-Hexadecatriene-10,12-diynoic acid;6E,8E,14Z-Hexadecatriene-10,12-diynoic acid",C16H18O2
72,244.1463,"6E,8E,12E,14E-Hexadecatetraen-10-ynoic acid;6E,8E,12E-Hexadecatrien-10-ynoic acid",C16H20O2
73,246.0892,Corticrocin,C14H14O4
74,246.1256,Phomallenic acid A,C15H18O3
75,246.162,"11Z-Hexadecen-7,9-diynoic acid;4Z,7Z,9E,11E,13Z-hexadecapentaenoic acid",C16H22O2
76,248.1776,"(6Z,10E)-hexadec-6,10-dien-8-ynoic acid;16:4(4Z,7Z,10Z,13Z);16:4(6,9,12,15);16:4(6Z,9Z,12Z,15Z);2,6-hexadecadiynoic acid;2E,6Z,8Z,12E-hexadecatetraenoic acid;2E,6Z,8Z,12Z-hexadecatetraenoic acid;2Z,5Z,8Z,11Z-Hexadecatetraenoic acid;2Z,6Z,8Z,12E-hexadecatetraenoic acid;2Z,6Z,8Z,12Z-hexadecatetraenoic acid;3,9-hexadecadiynoic acid;4,7,11,14-hexadecatetraenoic acid;4,8,12,16-hexadecatetraenoic acid;7,10-hexadecadiynoic acid;8,10-hexadecadiynoic acid",C16H24O2
77,250.1933,"(Z)-hexadec-13-en-11-ynoic acid;16:3(6Z,9Z,12Z);4,7,10,13-Hexadecatetraenoic acid;4,7,10-hexadecatrienoic acid;5E,8E,11E-hexadecatrienoic acid;6,9,12-Hexadecatrienoic acid;6,9,12-hexadecatrienoic acid;6Z,10Z,14Z-Hexadecatrienoic acid;7,10,13-hexadecatrienoic acid;7Z,11Z,14Z-Hexadecatrienoic acid;9,12,15-hexadecatrienoic acid;9Z,12Z,15Z-hexadecatrienoic acid;Hiragonic acid",C16H26O2
78,252.2089,"10-hexadecynoic acid;10Z,12E-hexadecadienoic acid;14-methyl-5Z,9Z-pentadecadienoic acid;2-hexadecynoic acid;2E,4E-hexadecadienoic acid;2E,4Z-hexadecadienoic acid;3Z,9Z-hexadecadienoic acid;4-hexadecynoic acid;4Z,7Z-Hexadecadienoic acid;5Z,9Z-hexadecadienoic acid;6,9-hexadecadienoic acid;6Z,9Z-hexadecadienoic acid;7,10-hexadecadienoic acid;7-hexadecynoic acid;7Z,10Z-hexadecadienoic acid;8Z,10Z-hexadecadienoic acid;9,12-hexadecadienoic acid;Palmitolinoleic acid",C16H28O2
