,MASS,COMMON_NAME,FORMULA
0,274.2144,-,C15H30O4
1,330.277,MG(0:0/16:0/0:0);MG(16:0/0:0/0:0);MG(16:0/0:0/0:0)[rac],C19H38O4
2,344.2927,MG(17:0/0:0/0:0)[rac],C20H40O4
3,354.277,"2-linoleoyl-sn-glycerol;MG(18:2(9Z,12Z)/0:0/0:0)[rac]",C21H38O4
4,356.2927,MG(0:0/18:1(9Z)/0:0);MG(18:1(11E)/0:0/0:0)[rac];MG(18:1(9Z)/0:0/0:0)[rac],C21H40O4
5,358.3083,MG(18:0/0:0/0:0)[rac],C21H42O4
6,376.2614,"MG(0:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",C23H36O4
7,378.277,"1-Juniperoyl glycerol;1-arachidonoyl-sn-glycerol;2-Juniperoyl glycerol;MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)",C23H38O4
8,380.2927,Sciadonoyl-2-glycerol,C23H40O4
9,383.3079,2-arachidonoyl glycerol-d5,C23H33D5O4
10,386.3396,MG(20:0/0:0/0:0)[rac],C23H46O4
11,394.2719,12-HETE-G;15-HETE-G,C23H38O5
12,402.277,"MG(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",C25H38O4
13,404.2927,"MG(0:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",C25H40O4
