,MASS,COMMON_NAME,FORMULA
0,368.16,PA(6:0/6:0),C15H29O8P
1,424.2226,PA(8:0/8:0),C19H37O8P
2,480.2852,PA(10:0/10:0),C23H45O8P
3,536.3478,PA(12:0/12:0),C27H53O8P
4,550.3635,PA(12:0/13:0),C28H55O8P
5,564.3791,PA(16:0/10:0),C29H57O8P
6,592.4104,PA(14:0/14:0);PA(18:0/10:0),C31H61O8P
7,632.4417,PA(17:0/14:1(9Z)),C34H65O8P
8,646.4574,PA(14:0/18:1(9Z)),C35H67O8P
9,648.473,PA(16:0/16:0);PA(16:0/16:0)[rac],C35H69O8P
10,672.473,"PA(16:0/18:2(9Z,12Z))",C37H69O8P
11,674.4887,PA(16:0/18:1(11Z));PA(16:0/18:1(9Z)),C37H71O8P
12,692.4417,"PA(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))",C39H65O8P
13,696.473,"PA(16:0/20:4(5Z,8Z,11Z,14Z))",C39H69O8P
14,700.5043,"PA(18:0/18:2(9Z,12Z))",C39H73O8P
15,702.52,PA(18:0/18:1(9Z)),C39H75O8P
16,704.5356,PA(18:0/18:0),C39H77O8P
17,710.4887,"PA(17:0/20:4(5Z,8Z,11Z,14Z))",C40H71O8P
18,720.473,"PA(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C41H69O8P
19,724.5043,"PA(18:0/20:4(5Z,8Z,11Z,14Z))",C41H73O8P
20,746.4887,"PA(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C43H71O8P
21,748.5043,"PA(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C43H73O8P
22,760.5982,PA(18:0/22:0),C43H85O8P
23,790.5513,"PA(21:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C46H79O8P
24,792.473,"PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C47H69O8P
25,796.5043,"PA(22:4(7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C47H73O8P
26,804.5669,"PA(22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C47H81O8P
