,MASS,COMMON_NAME,FORMULA
0,299.1134,PC(0:0/2:0);PC(2:0/0:0),C10H22NO7P
1,311.1134,PC(0:0/3:1(2E)),C11H22NO7P
2,313.129,PC(0:0/3:0);PC(3:0/0:0);PC(O-1:0/2:0),C11H24NO7P
3,327.1447,PC(0:0/4:0);PC(4:0/0:0);PC(O-2:0/2:0),C12H26NO7P
4,327.1811,PC(O-5:0/0:0)[R],C13H30NO6P
5,341.124,PC(2:0/2:0),C12H24NO8P
6,341.1603,PC(0:0/5:0),C13H28NO7P
7,355.176,PC(0:0/6:0);PC(6:0/0:0),C14H30NO7P
8,369.1553,PC(3:0/3:0),C14H28NO8P
9,369.1916,PC(0:0/7:0);PC(7:0/0:0),C15H32NO7P
10,383.2073,PC(8:0/0:0),C16H34NO7P
11,395.2437,PC(O-10:1(9E)/0:0),C18H38NO6P
12,397.1866,PC(4:0/4:0),C16H32NO8P
13,397.2229,PC(9:0/0:0),C17H36NO7P
14,411.2386,PC(10:0/0:0);PC(O-8:0/2:0),C18H38NO7P
15,425.2179,PC(5:0/5:0),C18H36NO8P
16,425.2542,PC(11:0/0:0),C19H40NO7P
17,437.2542,PC(O-10:1(9E)/2:0),C20H40NO7P
18,439.2699,PC(12:0/0:0),C20H42NO7P
19,445.1866,"PC(6:2(2E,4E)/6:2(2E,4E))",C20H32NO8P
20,451.2699,PC(O-11:1(10E)/2:0),C21H42NO7P
21,451.3063,PC(P-14:0/0:0),C22H46NO6P
22,453.2492,PC(6:0/6:0),C20H40NO8P
23,453.2855,PC(13:0/0:0),C21H44NO7P
24,453.3219,PC(O-14:0/0:0),C22H48NO6P
25,465.2855,PC(14:1(9Z)/0:0),C22H44NO7P
26,465.3219,PC(P-15:0/0:0),C23H48NO6P
27,467.3012,PC(0:0/14:0);PC(14:0/0:0);PC(O-12:0/2:0),C22H46NO7P
28,467.3376,PC(O-15:0/0:0),C23H50NO6P
29,479.3012,PC(15:1(9Z)/0:0),C23H46NO7P
30,479.3376,PC(O-16:1(11Z)/0:0);PC(O-16:1(3Z)/0:0);PC(O-16:1(4Z)/0:0);PC(O-16:1(9E)/0:0);PC(O-16:1(9Z)/0:0);PC(P-16:0/0:0),C24H50NO6P
31,481.2805,PC(10:0/4:0);PC(12:0/2:0);PC(6:0/8:0);PC(7:0/7:0);PC(8:0/6:0);PC(9:0/5:0),C22H44NO8P
32,481.3168,PC(15:0/0:0),C23H48NO7P
33,481.3532,PC(O-16:0/0:0),C24H52NO6P
34,493.3168,PC(16:1(9E)/0:0);PC(16:1(9Z)/0:0),C24H48NO7P
35,493.3532,PC(P-17:0/0:0),C25H52NO6P
36,495.3325,PC(0:0/16:0);PC(16:0/0:0);PC(16:0/0:0)[rac];PC(O-14:0/2:0),C24H50NO7P
37,495.3689,PC(O-16:0(15Me)/0:0);PC(O-17:0/0:0),C25H54NO6P
38,501.2492,"PC(8:2(2E,4E)/8:2(2E,4E))",C24H40NO8P
39,505.3168,"PC(17:2(9Z,12Z)/0:0)",C25H48NO7P
40,505.3532,PC(P-18:1(9Z)/0:0),C26H52NO6P
41,507.3325,PC(17:1(10Z)/0:0);PC(17:1(9Z)/0:0),C25H50NO7P
42,507.3689,PC(O-18:1(11Z)/0:0);PC(O-18:1(3Z)/0:0);PC(O-18:1(4Z)/0:0);PC(O-18:1(9Z)/0:0);PC(P-18:0/0:0),C26H54NO6P
43,509.3118,PC(14:0/2:0);PC(8:0/8:0),C24H48NO8P
