,MASS,COMMON_NAME,FORMULA
0,494.2645,POB-PA,C23H43O9P
1,508.2801,POV-PA,C24H45O9P
2,510.2594,PS-PA,C23H43O10P
3,517.2805,PE(0:0/20:4;O),C25H44NO8P
4,520.2801,OOB-PA,C25H45O9P
5,524.275,PG-PA,C24H45O10P
6,533.2754,PE(0:0/20:4;O2),C25H44NO9P
7,534.2958,OOV-PA,C26H47O9P
8,536.275,OS-PA,C25H45O10P
9,537.3067,POB-PE,C25H48NO9P
10,548.275,PKOHA-PA,C26H45O10P
11,549.2703,PE(0:0/PGE2),C25H44NO10P
12,550.2907,OG-PA;PHOHA-PA,C26H47O10P
13,551.3223,POV-PE,C26H50NO9P
14,553.3016,PS-PE,C25H48NO10P
15,559.3274,PC(0:0/20:4;O),C28H50NO8P
16,562.2907,PKOOA-PA,C27H47O10P
17,563.3223,OOB-PE,C27H50NO9P
18,564.27,PKHdiA-PA,C26H45O11P
19,564.3063,PHOOA-PA,C27H49O10P
20,564.3427,PON-PA,C28H53O9P
21,566.2856,PHHdiA-PA,C26H47O11P
22,567.3172,PG-PE,C26H50NO10P
23,568.3013,POB-PG,C26H49O11P
24,574.2907,OKOHA-PA,C28H47O10P
25,575.3223,PC(0:0/20:4;O2),C28H50NO9P
26,576.3063,OHOHA-PA,C28H49O10P
27,577.338,OOV-PE,C28H52NO9P
28,578.2856,PKODiA-PA,C27H47O11P
29,579.3172,OS-PE,C27H50NO10P
30,579.3536,POB-PC,C28H54NO9P
31,580.3013,PHODiA-PA,C27H49O11P
32,580.3376,PA-PA,C28H53O10P
33,581.2965,POB-PS,C26H48NO11P
34,582.3169,POV-PG,C27H51O11P
35,584.2962,PS-PG,C26H49O12P
36,588.3063,OKOOA-PA,C29H49O10P
37,590.2856,OKHdiA-PA,C28H47O11P
38,590.322,OHOOA-PA,C29H51O10P
39,590.3584,OON-PA,C30H55O9P
40,591.3172,PC(0:0/PGE2);PKOHA-PE,C28H50NO10P
41,592.3013,OHHdiA-PA,C28H49O11P
42,593.3329,OG-PE;PHOHA-PE,C28H52NO10P
43,593.3693,PC(16:0/5:0(CHO)),C29H56NO9P
44,594.3169,OOB-PG,C28H51O11P
45,595.3122,POV-PS,C27H50NO11P
46,595.3485,PS-PC,C28H54NO10P
47,597.2914,PS-PS,C26H48NO12P
48,598.3118,PG-PG,C27H51O12P
49,604.3013,OKODiA-PA,C29H49O11P
50,605.3329,PKOOA-PE,C29H52NO10P
51,605.3693,OOB-PC,C30H56NO9P
52,606.3169,OHODiA-PA,C29H51O11P
53,606.3533,OA-PA,C30H55O10P
54,607.3122,OOB-PS;PKHdiA-PE,C28H50NO11P
55,607.3485,PHOOA-PE,C29H54NO10P
56,607.3849,PON-PE,C30H58NO9P
57,608.3326,OOV-PG,C29H53O11P
58,609.3278,PHHdiA-PE,C28H52NO11P
59,609.3642,PC(16:0/5:0(COOH)),C29H56NO10P
60,610.3118,OS-PG,C28H51O12P
61,611.3071,PG-PS,C27H50NO12P
62,617.3329,OKOHA-PE,C30H52NO10P
63,618.3533,PKODA-PA,C31H55O10P
64,619.3485,OHOHA-PE,C30H54NO10P
65,619.3849,OOV-PC,C31H58NO9P
66,620.3689,PHODA-PA,C31H57O10P
67,621.3278,OOV-PS;PKODiA-PE,C29H52NO11P
68,621.3642,OS-PC,C30H56NO10P
69,622.3118,PKOHA-PG,C29H51O12P
70,623.3071,OS-PS,C28H50NO12P
71,623.3435,PHODiA-PE,C29H54NO11P
72,623.3798,PA-PE,C30H58NO10P
73,624.3275,OG-PG;PHOHA-PG,C29H53O12P
74,631.3485,OKOOA-PE,C31H54NO10P
75,633.3278,OKHdiA-PE,C30H52NO11P
76,633.3642,OHOOA-PE;PKOHA-PC,C31H56NO10P
77,633.4006,OON-PE,C32H60NO9P
78,634.3482,PKDdiA-PA,C31H55O11P
79,635.3071,PKOHA-PS,C29H50NO12P
80,635.3435,OHHdiA-PE,C30H54NO11P
81,635.3798,OG-PC;PHOHA-PC,C31H58NO10P
82,636.3275,PKOOA-PG,C30H53O12P
83,636.3639,PHDdiA-PA,C31H57O11P
84,637.3227,OG-PS;PHOHA-PS,C29H52NO12P
85,638.3067,PKHdiA-PG,C29H51O13P
86,638.3431,PHOOA-PG,C30H55O12P
87,638.3795,PON-PG,C31H59O11P
88,640.3224,PHHdiA-PG,C29H53O13P
89,644.3689,OKODA-PA,C33H57O10P
90,646.3846,OHODA-PA,C33H59O10P
91,647.3435,OKODiA-PE,C31H54NO11P
92,647.3798,PKOOA-PC,C32H58NO10P
93,648.3275,OKOHA-PG,C31H53O12P
94,649.3227,PKOOA-PS,C30H52NO12P
95,649.3591,OHODiA-PE;PKHdiA-PC,C31H56NO11P
96,649.3955,OA-PE;PHOOA-PC,C32H60NO10P
97,649.4319,PON-PC,C33H64NO9P
98,650.3431,OHOHA-PG,C31H55O12P
99,651.302,PKHdiA-PS,C29H50NO13P
100,651.3384,PHOOA-PS,C30H54NO12P
101,651.3748,PHHdiA-PC;PON-PS,C31H58NO11P
102,652.3224,PKODiA-PG,C30H53O13P
103,653.3176,PHHdiA-PS,C29H52NO13P
104,654.338,PHODiA-PG;POB-PI,C30H55O13P
105,654.3744,PA-PG,C31H59O12P
106,659.3798,OKOHA-PC,C33H58NO10P
107,660.3639,OKDdiA-PA,C33H57O11P
108,661.3227,OKOHA-PS,C31H52NO12P
109,661.3955,OHOHA-PC;PKODA-PE,C33H60NO10P
110,662.3431,OKOOA-PG,C32H55O12P
111,662.3795,OHDdiA-PA,C33H59O11P
112,663.3384,OHOHA-PS,C31H54NO12P
113,663.3748,PKODiA-PC,C32H58NO11P
114,663.4111,PHODA-PE,C33H62NO10P
115,664.3224,OKHdiA-PG,C31H53O13P
116,664.3588,OHOOA-PG,C32H57O12P
117,664.3952,OON-PG,C33H61O11P
118,665.3176,PKODiA-PS,C30H52NO13P
119,665.3904,PHODiA-PC,C32H60NO11P
120,665.4268, PC(16:0/9:0(COOH)),C33H64NO10P
121,666.338,OHHdiA-PG,C31H55O13P
122,667.3333,PHODiA-PS,C30H54NO13P
123,667.3697,PA-PS,C31H58NO12P
124,668.3537,POV-PI,C31H57O13P
125,670.3329,PS-PI,C30H55O14P
126,673.3955,OKOOA-PC,C34H60NO10P
127,675.3384,OKOOA-PS,C32H54NO12P
128,675.3748,OKHdiA-PC,C33H58NO11P
129,675.4111,OHOOA-PC;PKDdiA-PE,C34H62NO10P
130,675.4475,OON-PC,C35H66NO9P
131,677.3176,OKHdiA-PS,C31H52NO13P
132,677.354,OHOOA-PS,C32H56NO12P
133,677.3904,OHHdiA-PC;OON-PS,C33H60NO11P
134,678.338,OKODiA-PG,C32H55O13P
135,679.3333,OHHdiA-PS,C31H54NO13P
136,679.4061,PHDdiA-PE,C33H62NO11P
137,680.3537,OHODiA-PG,C32H57O13P
138,680.3901,OA-PG,C33H61O12P
139,682.3329,OOB-PI,C31H55O14P
140,684.3486,PG-PI,C31H57O14P
141,687.4111,OKODA-PE,C35H62NO10P
142,689.3904,OKODiA-PC,C34H60NO11P
143,689.4268,OHODA-PE,C35H64NO10P
144,691.3333,OKODiA-PS,C32H54NO13P
145,691.4061,OHODiA-PC,C34H62NO11P
146,691.4424,OA-PC,C35H66NO10P
147,692.3901,PKODA-PG,C34H61O12P
148,693.3489,OHODiA-PS,C32H56NO13P
149,693.3853,OA-PS,C33H60NO12P
150,694.4057,PHODA-PG,C34H63O12P
151,696.3486,OOV-PI,C32H57O14P
