,MASS,COMMON_NAME,FORMULA
0,411.2022,PE(6:0/6:0),C17H34NO8P
1,467.2648,PE(8:0/8:0),C21H42NO8P
2,523.3274,PE(10:0/10:0),C25H50NO8P
3,565.3744,PE-NMe(11:0/11:0),C28H56NO8P
4,579.39,PE(12:0/12:0),C29H58NO8P
5,593.4057,PE(12:0/13:0);PE-NMe(12:0/12:0),C30H60NO8P
6,607.4213,PE(12:0/14:0);PE(13:0/13:0);PE(16:0/10:0);PE-NMe2(12:0/12:0),C31H62NO8P
7,635.4526,PE(12:0(11Me)/14:0(13Me));PE(14:0/14:0);PE(16:0/12:0);PE(18:0/10:0),C33H66NO8P
8,649.4683,PE(14:0/14:0(13Me));PE-NMe(14:0/14:0),C34H68NO8P
9,663.4839,PE(14:0(13Me)/14:0(13Me));PE(14:0/16:0);PE(15:0/15:0);PE(16:0/14:0);PE-NMe2(14:0/14:0),C35H70NO8P
10,675.4839,PE(14:0/16:0(9Cp));PE(16:1(11Z)/15:0);PE(16:1(5Z)/15:0);PE(17:0/14:1(9Z)),C36H70NO8P
11,687.4839,PE(16:1(11Z)/16:1(11Z));PE(16:1(5Z)/16:1(5Z));PE(16:1(9Z)/16:1(9Z)),C37H70NO8P
12,689.4996,PE(15:0/16:0(9Cp)),C37H72NO8P
13,691.5152,PE(16:0(15Me)/14:0(13Me));PE(16:0/16:0),C37H74NO8P
14,703.5152,PE(16:0/16:0(9Cp)),C38H74NO8P
15,705.5309,PE-NMe(16:0/16:0),C38H76NO8P
16,713.4996,"PE(16:0/18:3(9Z,12Z,15Z));PE(18:3(9Z,12Z,15Z)/16:0)",C39H72NO8P
17,715.5152,"PE(16:0(9Cp)/16:0(9Cp));PE(16:0/18:2(9Z,12Z))",C39H74NO8P
18,717.5309,PE(16:0/18:1(11Z));PE(16:0/18:1(7Z));PE(16:0/18:1(9Z));PE(18:1(9Z)/16:0),C39H76NO8P
19,719.5465,PE-NMe2(16:0/16:0),C39H78NO8P
20,731.5465,PE(16:0/18:0(11Cp));PE-NMe(16:0/18:1(9Z));PE-NMe(18:1(9Z)/16:0),C40H78NO8P
21,733.5622,PE(16:0/19:0);PE(18:0(10(R)Me)/16:0);PE(19:0/16:0),C40H80NO8P
22,739.5152,"PE(16:0/20:4(5Z,8Z,11Z,14Z));PE(18:2(6Z,9Z)/18:2(6Z,9Z));PE(18:2(9Z,12Z)/18:2(9Z,12Z))",C41H74NO8P
23,741.5309,"PE(18:1(9Z)/18:2(9Z,12Z))",C41H76NO8P
24,743.5465,"PE(18:0(11Cp)/16:0(9Cp));PE(18:0/18:2(9Z,12Z));PE(18:1(6Z)/18:1(6Z));PE(18:1(9E)/18:1(9E));PE(18:1(9Z)/18:1(9Z))",C41H78NO8P
25,745.5622,PE(16:0/20:1(11Z));PE(18:0/18:1(7Z));PE(18:0/18:1(9Z));PE(18:1(9Z)/18:0);PE-NMe2(16:0/18:1(9Z));PE-NMe2(18:1(9Z)/16:0),C41H80NO8P
26,747.5778,PE(16:0/20:0);PE(18:0/18:0),C41H82NO8P
27,753.5309,"PE(17:0/20:4(5Z,8Z,11Z,14Z))",C42H76NO8P
28,757.5622,PE-NMe(18:1(9E)/18:1(9E));PE-NMe(18:1(9Z)/18:1(9Z)),C42H80NO8P
29,761.5935,PE(17:0/20:0);PE-NMe(18:0/18:0),C42H84NO8P
30,763.5152,"PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C43H74NO8P
31,767.5465,"PE(16:0/22:4(7Z,10Z,13Z,16Z));PE(18:0/20:4(5E,8E,11E,14E));PE(18:0/20:4(5Z,8Z,11Z,14Z));PE(18:1(9Z)/20:3(5Z,8Z,11Z));PE(20:0/18:4(6Z,9Z,12Z,15Z))",C43H78NO8P
32,771.5778,"PE(18:0/20:2(11Z,14Z));PE(18:1(9Z)/20:1(11Z));PE(20:0/18:2(9Z,12Z));PE(20:2(5Z,8Z)/18:0);PE-NMe2(18:1(9E)/18:1(9E));PE-NMe2(18:1(9Z)/18:1(9Z))",C43H82NO8P
