,MASS,COMMON_NAME,FORMULA
0,428.2175,PG(12:0/0:0),C18H37O9P
1,442.1968,PG(6:0/6:0),C18H35O10P
2,442.2332,PG(13:0/0:0),C19H39O9P
3,454.2332,PG(14:1(9Z)/0:0),C20H39O9P
4,456.2488,PG(14:0/0:0),C20H41O9P
5,468.2488,PG(15:1(9Z)/0:0),C21H41O9P
6,468.2852,PG(P-16:0/0:0),C22H45O8P
7,470.2645,PG(15:0/0:0),C21H43O9P
8,470.3009,PG(O-16:0/0:0),C22H47O8P
9,482.2645,PG(16:1(9Z)/0:0),C22H43O9P
10,484.2801,PG(16:0/0:0),C22H45O9P
11,494.2645,"PG(17:2(9Z,12Z)/0:0)",C23H43O9P
12,496.2801,PG(17:1(9Z)/0:0),C23H45O9P
13,496.3165,PG(P-18:0/0:0),C24H49O8P
14,498.2594,PG(8:0/8:0),C22H43O10P
15,498.2958,PG(17:0/0:0),C23H47O9P
16,498.3322,PG(O-18:0/0:0),C24H51O8P
17,504.2488,"PG(18:4(6Z,9Z,12Z,15Z)/0:0)",C24H41O9P
18,506.2645,"PG(18:3(6Z,9Z,12Z)/0:0);PG(18:3(9Z,12Z,15Z)/0:0)",C24H43O9P
19,508.2801,"PG(18:2(9Z,12Z)/0:0)",C24H45O9P
20,510.2958,PG(18:1(9Z)/0:0),C24H47O9P
21,512.3114,PG(18:0/0:0),C24H49O9P
22,524.3114,PG(19:1(9Z)/0:0),C25H49O9P
23,524.3478,PG(P-20:0/0:0),C26H53O8P
24,526.3271,PG(19:0/0:0),C25H51O9P
25,526.3635,PG(O-20:0/0:0),C26H55O8P
26,530.2645,"PG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",C26H43O9P
27,532.2801,"PG(20:4(5Z,8Z,11Z,14Z)/0:0)",C26H45O9P
28,534.2958,"PG(20:3(8Z,11Z,14Z)/0:0)",C26H47O9P
29,536.3114,"PG(20:2(11Z,14Z)/0:0)",C26H49O9P
30,538.3271,PG(20:1(11Z)/0:0),C26H51O9P
31,540.3427,PG(20:0/0:0),C26H53O9P
32,554.322,PG(10:0/10:0),C26H51O10P
33,554.3584,PG(21:0/0:0),C27H55O9P
34,556.2801,"PG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",C28H45O9P
35,560.3114,"PG(22:4(7Z,10Z,13Z,16Z)/0:0)",C28H49O9P
36,564.3427,"PG(22:2(13Z,16Z)/0:0)",C28H53O9P
37,566.3584,PG(22:1(11Z)/0:0),C28H55O9P
38,568.374,PG(22:0/0:0),C28H57O9P
39,610.3846,PG(10:0/14:0);PG(12:0/12:0),C30H59O10P
40,624.4002,PG(12:0/13:0);PG(13:0/12:0),C31H61O10P
41,636.4002,PG(12:0/14:1(9Z));PG(14:1(9Z)/12:0),C32H61O10P
42,638.4159,PG(12:0/14:0);PG(13:0/13:0);PG(14:0/12:0),C32H63O10P
43,650.4159,PG(12:0/15:1(9Z));PG(13:0/14:1(9Z));PG(14:1(9Z)/13:0);PG(15:1(9Z)/12:0),C33H63O10P
44,650.4523,PG(P-16:0/12:0),C34H67O9P
45,652.4315,PG(12:0/15:0);PG(13:0/14:0);PG(14:0/13:0);PG(15:0/12:0),C33H65O10P
46,652.4679,PG(O-16:0/12:0),C34H69O9P
47,662.4159,PG(14:1(9Z)/14:1(9Z)),C34H63O10P
