,MASS,COMMON_NAME,FORMULA
0,712.4163,PI(12:0/13:0),C34H65O13P
1,724.4163,PI(10:0/16:1(9Z)),C35H65O13P
2,726.4319,PI(10:0/16:0),C35H67O13P
3,754.4632,PI(10:0/18:0),C37H71O13P
4,794.4945,PI(17:0/14:1(9Z)),C40H75O13P
5,810.5258,PI(16:0/16:0),C41H79O13P
6,836.5415,PI(16:0/18:1(9Z)),C43H81O13P
7,866.5884,PI(18:0/18:0),C45H87O13P
8,872.5415,"PI(17:0/20:4(5Z,8Z,11Z,14Z))",C46H81O13P
9,882.5258,"PI(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C47H79O13P
10,886.5571,"PI(18:0/20:4(5Z,8Z,11Z,14Z))",C47H83O13P
11,908.5415,"PI(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C49H81O13P
12,910.5571,"PI(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C49H83O13P
13,952.6041,"PI(21:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C52H89O13P
