,MASS,COMMON_NAME,FORMULA
0,441.2128,PS(12:0/0:0),C18H36NO9P
1,455.192,PS(6:0/6:0),C18H34NO10P
2,455.2284,PS(13:0/0:0),C19H38NO9P
3,467.2284,PS(14:1(9Z)/0:0),C20H38NO9P
4,469.2441,PS(14:0/0:0),C20H40NO9P
5,481.2441,PS(15:1(9Z)/0:0),C21H40NO9P
6,481.2805,PS(P-16:0/0:0),C22H44NO8P
7,483.2597,1-(2-methoxy-6Z-tetradecenyl)-sn-glycero-3-phosphoserine;PS(15:0/0:0),C21H42NO9P
8,483.2961,PS(O-16:0/0:0),C22H46NO8P
9,485.2754,1-(2-methoxy-tetradecanyl)-sn-glycero-3-phosphoserine,C21H44NO9P
10,495.2597,PS(16:1(9Z)/0:0),C22H42NO9P
11,497.2754,1-(2-methoxy-13-methyl-6Z-tetradecenyl)-sn-glycero-3-phosphoserine;1-(2-methoxy-6Z-pentadecenyl)-sn-glycero-3-phosphoserine;PS(16:0/0:0),C22H44NO9P
12,499.291,1-(2-methoxy-13-methyl-tetradecanyl)-sn-glycero-3-phosphoserine;1-(2-methoxy-pentadecanyl)-sn-glycero-3-phosphoserine,C22H46NO9P
13,507.2597,"PS(17:2(9Z,12Z)/0:0)",C23H42NO9P
14,509.2754,PS(17:1(9Z)/0:0),C23H44NO9P
15,509.3118,PS(P-18:0/0:0),C24H48NO8P
16,511.2546,PS(8:0/8:0),C22H42NO10P
17,511.291,1-(2-methoxy-5Z-hexadecenyl)-sn-glycero-3-phosphoserine;1-(2-methoxy-6Z-hexadecenyl)-sn-glycero-3-phosphoserine;PS(17:0/0:0),C23H46NO9P
18,511.3274,PS(O-18:0/0:0),C24H50NO8P
19,513.3067,1-(2-methoxy-13-methyl-pentadecanyl)-sn-glycero-3-phosphoserine;1-(2-methoxy-14-methyl-pentadecanyl)-sn-glycero-3-phosphoserine;1-(2-methoxy-hexadecanyl)-sn-glycero-3-phosphoserine,C23H48NO9P
20,517.2441,"PS(18:4(6Z,9Z,12Z,15Z)/0:0)",C24H40NO9P
