,MASS,COMMON_NAME,FORMULA
0,646.505,SM(d18:1/12:0),C35H71N2O6P
1,648.5206,SM(d16:0/14:0);SM(d18:0/12:0),C35H73N2O6P
2,662.5363,SM(d18:0/13:0),C36H75N2O6P
3,672.5206,SM(d18:2/14:0),C37H73N2O6P
4,674.5363,SM(d16:1/16:0);SM(d18:1/14:0),C37H75N2O6P
5,676.5519,SM(d16:0/16:0);SM(d18:0/14:0),C37H77N2O6P
6,686.5363,SM(d18:2/15:0),C38H75N2O6P
7,688.5519,SM(d16:1/17:0);SM(d18:1/15:0),C38H77N2O6P
8,690.5676,SM(d18:0/15:0),C38H79N2O6P
9,700.5519,SM(d16:1/18:1);SM(d18:1/16:1);SM(d18:2/16:0),C39H77N2O6P
10,702.5676,SM(d16:1/18:0);SM(d17:1/17:0);SM(d18:1/16:0),C39H79N2O6P
11,704.5832,SM(d16:0/18:0);SM(d18:0/16:0),C39H81N2O6P
12,716.5832,SM(d18:1/17:0);SM(d19:1/16:0),C40H81N2O6P
13,718.5625,SM(d18:1/16:0(2OH)),C39H79N2O7P
14,718.5989,SM(d18:0/17:0),C40H83N2O6P
15,726.5676,SM(d18:2/18:1),C41H79N2O6P
16,728.5832,SM(d16:1/20:1);SM(d18:0/18:2);SM(d18:1/18:1(9Z));SM(d18:2/18:0);SM(d19:1/17:1),C41H81N2O6P
17,730.5989,SM(d16:1/20:0);SM(d18:0/18:1(9Z));SM(d18:1/18:0),C41H83N2O6P
18,732.6145,SM(d16:0/20:0);SM(d18:0/18:0);SM(d19:0/17:0),C41H85N2O6P
19,744.6145,SM(d18:1/19:0);SM(d19:1/18:0),C42H85N2O6P
20,754.5989,SM(d18:2/20:1),C43H83N2O6P
21,756.6145,SM(d16:1/22:1);SM(d18:1/20:1);SM(d18:2/20:0),C43H85N2O6P
22,758.6302,SM(d16:1/22:0);SM(d18:1/20:0),C43H87N2O6P
23,760.6458,SM(d16:0/22:0);SM(d18:0/20:0),C43H89N2O6P
24,770.6302,SM(d18:2/21:0),C44H87N2O6P
25,772.6458,SM(d16:1/23:0);SM(d17:1/22:0);SM(d18:1/21:0);SM(d19:1/20:0);SM(d20:1/19:0),C44H89N2O6P
26,774.6615,SM(d16:0/23:0);SM(d17:0/22:0),C44H91N2O6P
27,782.6302,SM(d18:2/22:1),C45H87N2O6P
28,784.6458,SM(d16:1/24:1);SM(d18:1/22:1);SM(d18:2/22:0),C45H89N2O6P
29,786.6615,SM(d16:1/24:0);SM(d18:1/22:0),C45H91N2O6P
30,788.6771,SM(d16:0/24:0);SM(d18:0/22:0),C45H93N2O6P
31,798.6615,SM(d17:1/24:1);SM(d18:2/23:0),C46H91N2O6P
32,800.6771,SM(d16:1/25:0);SM(d17:1/24:0);SM(d18:1/23:0),C46H93N2O6P
33,802.6928,SM(d16:0/25:0);SM(d18:0/23:0),C46H95N2O6P
34,810.6615,SM(d18:2/24:1),C47H91N2O6P
35,812.6771,SM(d18:1/24:1(15Z));SM(d18:2/24:0),C47H93N2O6P
36,814.6928,SM(d18:0/24:1(15Z));SM(d18:1/24:0),C47H95N2O6P
37,816.7084,SM(d18:0/24:0),C47H97N2O6P
38,826.6928,SM(d17:1/26:1);SM(d18:2/25:0);SM(d19:1/24:1),C48H95N2O6P
39,828.7084,SM(d18:1/25:0);SM(d19:0/24:1);SM(d19:1/24:0);SM(d20:1/23:0),C48H97N2O6P
40,840.7084,SM(d18:1/26:1(17Z)),C49H97N2O6P
41,842.7241,SM(d18:0/26:1(17Z));SM(d18:1/26:0);SM(d20:0/24:1),C49H99N2O6P
42,844.7397,SM(d17:0/27:0);SM(d18:0/26:0),C49H101N2O6P
