,MASS,COMMON_NAME,FORMULA
0,500.3349,TG(18:0(11S-acetoxy)/2:0/2:0),C27H48O8
1,722.6424,TG(14:0/14:0/14:0),C45H86O6
2,750.7101,TG(O-14:0(13Me)_14:0(13Me)_14:0(13Me)),C48H94O5
3,753.689,TG(14:0/16:1(9Z)/14:0) (d5),C47H83D5O6
4,778.705,TG(12:0/16:0/18:0),C49H94O6
5,795.7359,TG(15:0/17:1(9Z)/15:0),C50H89D5O6
6,806.7363,TG(16:0/16:0/16:0),C51H98O6
7,809.7516,TG(15:0/18:1(9Z)/15:0) (d5),C51H91D5O6
8,832.752,TG(16:0/16:0/18:1(11E));TG(16:0/16:0/18:1(9Z)),C53H100O6
9,834.7676,TG(16:0/16:0/18:0),C53H102O6
10,839.7985,TG(16:0/18:0/16:0) (d5);TG(19:0/12:0/19:0) (d5),C53H97D5O6
11,851.7985,TG(17:0/17:1(10Z)/17:0) (d5),C54H97D5O6
12,884.7833,TG(18:1(6Z)/18:1(9Z)/18:1(6Z));TG(18:1(9Z)/18:1(6Z)/18:1(9Z)),C57H104O6
13,890.8302,TG(18:0/18:0/18:0),C57H110O6
14,931.7672,"TG(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)) (d5)",C61H93D5O6
15,937.8142,"TG(20:2(11Z,14Z)/18:3(6Z,9Z,12Z)/20:2(11Z,14Z)) (d5)",C61H99D5O6
16,974.9241,TG(20:0/20:0/20:0),C63H122O6
17,975.7359,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z)) (d5)",C65H89D5O6
18,977.9394,TG(20:0/20:1(11Z)/20:0) (d5),C63H115D5O6
