,MASS,COMMON_NAME,FORMULA
0,334.2508,Tetrahydrodeoxycorticosterone,C21H34O3
1,350.2457,Tetrahydrodeoxycortisol,C21H34O4
2,433.3192,Glycolithocholic Acid,C26H43NO4
3,445.2828,3beta-Hydroxy-7-oxochol-5-en-24-oyl-glycine;N-(7alpha-Hydroxy-3-oxochol-4-en-24-oyl)-glycine,C26H39NO5
4,447.2985,"N-(3beta,7beta,dihydroxycholest-5-en-24-oyl) glycine",C26H41NO5
5,449.3141,Glycochenodeoxycholic acid;Glycoursodeoxycholic acid;glycodeoxycholic acid,C26H43NO5
6,465.309,"3a,7b,12a-Trihydroxyoxocholanyl-Glycine;3beta,5alpha,6beta-Trihydroxy-cholanoyl-glycine;Glycocholic Acid",C26H43NO6
7,513.276,Sulfoglycolithocholate,C26H43NO7S
8,529.2709,-;glycochenodeoxycholic acid 7-sulfate,C26H43NO8S
9,545.2659,-,C26H43NO9S
