,MASS,COMMON_NAME
0,733.489384,PS(14:1(9Z)/18:0); 1-Myristoleoyl-2-stearoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(14:1/18:0); Phosphatidylserine(14:1n5/18:0); Phosphatidylserine(14:1W5/18:0); Phosphatidylserine(32:1); PS(14:1/18:0); PS(14:1N5/18:0); PS(14:1W5/18:0); PS(32:1); pSer(14:1/18:0); pSer(14:1n5/18:0); pSer(14:1W5/18:0); pSer(32:1); 1-(9Z-Tetradecenoyl)-2-octadecanoyl-sn-glycero-3-phosphoserine; PS(14:1(9Z)/18:0);PS(18:0/14:1(9Z)); 1-Stearoyl-2-myristoleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:0/14:1); Phosphatidylserine(18:0/14:1n5); Phosphatidylserine(18:0/14:1W5); Phosphatidylserine(32:1); PS(18:0/14:1); PS(18:0/14:1N5); PS(18:0/14:1W5); PS(32:1); pSer(18:0/14:1); pSer(18:0/14:1n5); pSer(18:0/14:1W5); pSer(32:1); 1-Octadecanoyl-2-(9Z-tetradecenoyl)-sn-glycero-3-phosphoserine; PS(18:0/14:1(9Z))
1,733.4893845,PS(14:0/18:1(9Z)); 1-Myristoyl-2-oleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(14:0/18:1); Phosphatidylserine(14:0/18:1n9); Phosphatidylserine(14:0/18:1W9); Phosphatidylserine(32:1); PS(14:0/18:1); PS(14:0/18:1N9); PS(14:0/18:1W9); PS(32:1); pSer(14:0/18:1); pSer(14:0/18:1n9); pSer(14:0/18:1W9); pSer(32:1); 1-Tetradecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine; PS(14:0/18:1(9Z));PS(16:0/16:1(9Z)); 1-Palmitoyl-2-palmitoleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:0/16:1); Phosphatidylserine(16:0/16:1n7); Phosphatidylserine(16:0/16:1W7); Phosphatidylserine(32:1); PS(16:0/16:1); PS(16:0/16:1N7); PS(16:0/16:1W7); PS(32:1); pSer(16:0/16:1); pSer(16:0/16:1n7); pSer(16:0/16:1W7); pSer(32:1); 1-Hexadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphoserine; PS(16:0/16:1(9Z));PS(16:1(9Z)/16:0); 1-Palmitoleoyl-2-palmitoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:1/16:0); Phosphatidylserine(16:1n7/16:0); Phosphatidylserine(16:1W7/16:0); Phosphatidylserine(32:1); PS(16:1/16:0); PS(16:1N7/16:0); PS(16:1W7/16:0); PS(32:1); pSer(16:1/16:0); pSer(16:1n7/16:0); pSer(16:1W7/16:0); pSer(32:1); 1-(9Z-Hexadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphoserine; PS(16:1(9Z)/16:0);PS(18:1(9Z)/14:0); 1-Oleoyl-2-myristoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:1/14:0); Phosphatidylserine(18:1n9/14:0); Phosphatidylserine(18:1W9/14:0); Phosphatidylserine(32:1); PS(18:1/14:0); PS(18:1N9/14:0); PS(18:1W9/14:0); PS(32:1); pSer(18:1/14:0); pSer(18:1n9/14:0); pSer(18:1W9/14:0); pSer(32:1); 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphoserine; PS(18:1(9Z)/14:0)
2,759.5050341,"PS(16:0/18:2(9Z,12Z)); 1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:0/18:2); Phosphatidylserine(16:0/18:2n6); Phosphatidylserine(16:0/18:2W6); Phosphatidylserine(34:2); PS(16:0/18:2); PS(16:0/18:2N6); PS(16:0/18:2W6); PS(34:2); pSer(16:0/18:2); pSer(16:0/18:2n6); pSer(16:0/18:2W6); pSer(34:2); 1-Hexadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoserine; PS(16:0/18:2(9Z,12Z));PS(18:2(9Z,12Z)/16:0); 1-Linoleoyl-2-palmitoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:2/16:0); Phosphatidylserine(18:2n6/16:0); Phosphatidylserine(18:2W6/16:0); Phosphatidylserine(34:2); PS(18:2/16:0); PS(18:2N6/16:0); PS(18:2W6/16:0); PS(34:2); pSer(18:2/16:0); pSer(18:2n6/16:0); pSer(18:2W6/16:0); pSer(34:2); 1-(9Z,12Z-Octadecadienoyl)-2-hexadecanoyl-sn-glycero-3-phosphoserine; PS(18:2(9Z,12Z)/16:0)"
3,759.5050346,PS(16:1(9Z)/18:1(9Z)); 1-Palmitoleoyl-2-oleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:1/18:1); Phosphatidylserine(16:1n7/18:1n9); Phosphatidylserine(16:1W7/18:1W9); Phosphatidylserine(34:2); PS(16:1/18:1); PS(16:1N7/18:1N9); PS(16:1W7/18:1W9); PS(34:2); pSer(16:1/18:1); pSer(16:1n7/18:1n9); pSer(16:1W7/18:1W9); pSer(34:2); 1-(9Z-Hexadecenoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine; PS(16:1(9Z)/18:1(9Z));PS(18:1(9Z)/16:1(9Z)); 1-(9Z)-Octadecenoyl-2-(9Z)-hexadecenoyl-sn-glycero-3-phospho-L-serine; 1-(9Z-Octadecenoyl)-2-(9Z-hexadecenoyl)-glycero-3-phosphoserine; 1-C18:1(Omega-9)-2-C16:1(omega-7)-phosphatidylserine; 1-Oleoyl-2-palmitoleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:1/16:1); Phosphatidylserine(18:1omega9/16:1omega7); Phosphatidylserine(34:2); PS(18:1/16:1); PS(18:1OMEGA9/16:1OMEGA7); PS(34:2); Phosphatidylserine(18:1n9/16:1n7); Phosphatidylserine(18:1W9/16:1W7); PS(18:1N9/16:1N7); PS(18:1W9/16:1W7); pSer(18:1/16:1); pSer(18:1n9/16:1n7); pSer(18:1W9/16:1W7); pSer(34:2); 1-(9Z-Octadecenoyl)-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphoserine; PS(18:1(9Z)/16:1(9Z))
4,761.5206846,PS(16:0/18:1(9Z)); 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine; 1-Palmitoyl-2-oleoyl-glycero-3-phosphoserine; 1-Palmitoyl-2-oleoylglycero-3-phosphoserine; 1-Palmitoyl-2-oleoylphosphatidylserine; 1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:0/18:1); Phosphatidylserine(16:0/18:1n9); Phosphatidylserine(16:0/18:1W9); Phosphatidylserine(34:1); PS(16:0/18:1); PS(16:0/18:1N9); PS(16:0/18:1W9); PS(34:1); pSer(16:0/18:1); pSer(16:0/18:1n9); pSer(16:0/18:1W9); pSer(34:1); POPS lipid; Palmitoyloleoyl-GPS; PS(16:0/18:1(9Z));PS(16:1(9Z)/18:0); 1-Palmitoleoyl-2-stearoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:1/18:0); Phosphatidylserine(16:1n7/18:0); Phosphatidylserine(16:1W7/18:0); Phosphatidylserine(34:1); PS(16:1/18:0); PS(16:1N7/18:0); PS(16:1W7/18:0); PS(34:1); pSer(16:1/18:0); pSer(16:1n7/18:0); pSer(16:1W7/18:0); pSer(34:1); 1-(9Z-Hexadecenoyl)-2-octadecanoyl-sn-glycero-3-phosphoserine; PS(16:1(9Z)/18:0);PS(18:0/16:1(9Z)); 1-Stearoyl-2-palmitoleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:0/16:1); Phosphatidylserine(18:0/16:1n7); Phosphatidylserine(18:0/16:1W7); Phosphatidylserine(34:1); PS(18:0/16:1); PS(18:0/16:1N7); PS(18:0/16:1W7); PS(34:1); pSer(18:0/16:1); pSer(18:0/16:1n7); pSer(18:0/16:1W7); pSer(34:1); 1-Octadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphoserine; PS(18:0/16:1(9Z));PS(18:1(9Z)/16:0); 1-(9Z)-Octadecenoyl-2-hexadecanoyl-sn-glycero-3-phospho-L-serine; 1-(9Z-Octadecenoyl)-2-hexadecanoyl-glycero-3-phosphoserine; 1-C18:1(Omega-9)-2-C16:0-phosphatidylserine; 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphoserine; O-{hydroxy[(2R)-3-[(9Z)-octadec-9-enoyloxy]-2-(palmitoyloxy)propoxy]phosphoryl}-L-serine; Phosphatidylserine(18:1omega9/16:0); Phosphatidylserine(34:1); PS(18:1/16:0); PS(18:1OMEGA9/16:0); PS(34:1); Phosphatidylserine(18:1/16:0); Phosphatidylserine(18:1n9/16:0); Phosphatidylserine(18:1W9/16:0); PS(18:1N9/16:0); PS(18:1W9/16:0); pSer(18:1/16:0); pSer(18:1n9/16:0); pSer(18:1W9/16:0); pSer(34:1); 1-(9Z-Octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphoserine; PS(18:1(9Z)/16:0)
5,763.5363347,PS(16:0/18:0); 1-Hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:0/18:0); pSer(16:0/18:0); pSer(34:0); 1-Palmitoyl-2-stearoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(34:0); PS(34:0); PS(16:0/18:0);PS(18:0/16:0); 1-Stearoyl-2-palmitoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:0/16:0); Phosphatidylserine(34:0); PS(34:0); pSer(18:0/16:0); pSer(34:0); 1-Octadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphoserine; PS(18:0/16:0)
6,783.5050341,"PS(16:0/20:4(5Z,8Z,11Z,14Z)); 1-Palmitoyl-2-arachidonoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:0/20:4); Phosphatidylserine(16:0/20:4n6); Phosphatidylserine(16:0/20:4W6); Phosphatidylserine(36:4); PS(16:0/20:4); PS(16:0/20:4N6); PS(16:0/20:4W6); PS(36:4); pSer(16:0/20:4); pSer(16:0/20:4n6); pSer(16:0/20:4W6); pSer(36:4); 1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoserine; PS(16:0/20:4(5Z,8Z,11Z,14Z));PS(16:1(9Z)/20:3(8Z,11Z,14Z)); 1-Palmitoleoyl-2-homo-g-linolenoyl-sn-glycero-3-phosphoserine; 1-Palmitoleoyl-2-homo-gamma-linolenoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:1/20:3); Phosphatidylserine(16:1n7/20:3n6); Phosphatidylserine(16:1W7/20:3W6); Phosphatidylserine(36:4); PS(16:1/20:3); PS(16:1N7/20:3N6); PS(16:1W7/20:3W6); PS(36:4); pSer(16:1/20:3); pSer(16:1n7/20:3n6); pSer(16:1W7/20:3W6); pSer(36:4); 1-(9Z-Hexadecenoyl)-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycero-3-phosphoserine; PS(16:1(9Z)/20:3(8Z,11Z,14Z));PS(18:1(9Z)/18:3(9Z,12Z,15Z)); 1-Oleoyl-2-a-linolenoyl-sn-glycero-3-phosphoserine; 1-Oleoyl-2-alpha-linolenoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:1/18:3); Phosphatidylserine(18:1n9/18:3n3); Phosphatidylserine(18:1W9/18:3W3); Phosphatidylserine(36:4); PS(18:1/18:3); PS(18:1N9/18:3N3); PS(18:1W9/18:3W3); PS(36:4); pSer(18:1/18:3); pSer(18:1n9/18:3n3); pSer(18:1W9/18:3W3); pSer(36:4); 1-(9Z-Octadecenoyl)-2-(9Z,12Z,15Z-octadeatrienoyl)-sn-glycero-3-phosphoserine; PS(18:1(9Z)/18:3(9Z,12Z,15Z));PS(18:2(9Z,12Z)/18:2(9Z,12Z)); 1,2-Dilinoleoyl-rac-glycero-3-phosphoserine; Phosphatidylserine(18:2/18:2); Phosphatidylserine(18:2n6/18:2n6); Phosphatidylserine(18:2W6/18:2W6); Phosphatidylserine(36:4); PS(18:2/18:2); PS(18:2N6/18:2N6); PS(18:2W6/18:2W6); PS(36:4); pSer(18:2/18:2); pSer(18:2n6/18:2n6); pSer(18:2W6/18:2W6); pSer(36:4); 1,2-Di(9Z,12Z-octadecadienoyl)-rac-glycero-3-phosphoserine; PS(18:2(9Z,12Z)/18:2(9Z,12Z));PS(18:3(9Z,12Z,15Z)/18:1(9Z)); 1-a-Linolenoyl-2-oleoyl-sn-glycero-3-phosphoserine; 1-alpha-Linolenoyl-2-oleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:3/18:1); Phosphatidylserine(18:3n3/18:1n9); Phosphatidylserine(18:3W3/18:1W9); Phosphatidylserine(36:4); PS(18:3/18:1); PS(18:3N3/18:1N9); PS(18:3W3/18:1W9); PS(36:4); pSer(18:3/18:1); pSer(18:3n3/18:1n9); pSer(18:3W3/18:1W9); pSer(36:4); 1-(9Z,12Z,15Z-Octadeatrienoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine; PS(18:3(9Z,12Z,15Z)/18:1(9Z));PS(20:3(8Z,11Z,14Z)/16:1(9Z)); 1-Homo-g-linolenoyl-2-palmitoleoyl-sn-glycero-3-phosphoserine; 1-Homo-gamma-linolenoyl-2-palmitoleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(20:3/16:1); Phosphatidylserine(20:3n6/16:1n7); Phosphatidylserine(20:3W6/16:1W7); Phosphatidylserine(36:4); PS(20:3/16:1); PS(20:3N6/16:1N7); PS(20:3W6/16:1W7); PS(36:4); pSer(20:3/16:1); pSer(20:3n6/16:1n7); pSer(20:3W6/16:1W7); pSer(36:4); 1-(8Z,11Z,14Z-Eicosatrienoyl)-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphoserine; PS(20:3(8Z,11Z,14Z)/16:1(9Z));PS(20:4(5Z,8Z,11Z,14Z)/16:0); 1-Arachidonoyl-2-palmitoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(20:4/16:0); Phosphatidylserine(20:4n6/16:0); Phosphatidylserine(20:4W6/16:0); Phosphatidylserine(36:4); PS(20:4/16:0); PS(20:4N6/16:0); PS(20:4W6/16:0); PS(36:4); pSer(20:4/16:0); pSer(20:4n6/16:0); pSer(20:4W6/16:0); pSer(36:4); 1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-2-hexadecanoyl-sn-glycero-3-phosphoserine; PS(20:4(5Z,8Z,11Z,14Z)/16:0)"
7,785.5206842,"PS(16:0/20:3(8Z,11Z,14Z)); 1-Palmitoyl-2-homo-g-linolenoyl-sn-glycero-3-phosphoserine; 1-Palmitoyl-2-homo-gamma-linolenoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(16:0/20:3); Phosphatidylserine(16:0/20:3n6); Phosphatidylserine(16:0/20:3W6); Phosphatidylserine(36:3); PS(16:0/20:3); PS(16:0/20:3N6); PS(16:0/20:3W6); PS(36:3); pSer(16:0/20:3); pSer(16:0/20:3n6); pSer(16:0/20:3W6); pSer(36:3); 1-Hexadecanoyl-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycero-3-phosphoserine; PS(16:0/20:3(8Z,11Z,14Z));PS(18:0/18:3(9Z,12Z,15Z)); 1-Stearoyl-2-a-linolenoyl-sn-glycero-3-phosphoserine; 1-Stearoyl-2-alpha-linolenoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:0/18:3); Phosphatidylserine(18:0/18:3n3); Phosphatidylserine(18:0/18:3W3); Phosphatidylserine(36:3); PS(18:0/18:3); PS(18:0/18:3N3); PS(18:0/18:3W3); PS(36:3); pSer(18:0/18:3); pSer(18:0/18:3n3); pSer(18:0/18:3W3); pSer(36:3); 1-Octadecanoyl-2-(9Z,12Z,15Z-octadeatrienoyl)-sn-glycero-3-phosphoserine; PS(18:0/18:3(9Z,12Z,15Z));PS(18:1(9Z)/18:2(9Z,12Z)); 1-(9Z)-Octadecenoyl-2-(9Z,12Z)-octadienoyl-sn-glycero-3-phospho-L-serine; 1-(9Z-Octadecenoyl)-2-(9Z,12Z-octadecadienoyl)-glycero-3-phosphoserine; 1-18:1-2-18:2-Phosphatidylserine; 1-C18:1(Omega-9)-2-C18:2(omega-6)-phosphatidylserine; 18:1-18:2-PS; Phosphatidylserine(18:1/18:2); Phosphatidylserine(18:1omega9/18:2omega6); Phosphatidylserine(36:3); PS(18:1/18:2); PS(18:1OMEGA9/18:2OMEGA6); PS(36:3); 1-Oleoyl-2-linoleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:1n9/18:2n6); Phosphatidylserine(18:1W9/18:2W6); PS(18:1N9/18:2N6); PS(18:1W9/18:2W6); pSer(18:1/18:2); pSer(18:1n9/18:2n6); pSer(18:1W9/18:2W6); pSer(36:3); 1-(9Z-Octadecenoyl)-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoserine; PS(18:1(9Z)/18:2(9Z,12Z));PS(18:2(9Z,12Z)/18:1(9Z)); 1-Linoleoyl-2-oleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:2/18:1); Phosphatidylserine(18:2n6/18:1n9); Phosphatidylserine(18:2W6/18:1W9); Phosphatidylserine(36:3); PS(18:2/18:1); PS(18:2N6/18:1N9); PS(18:2W6/18:1W9); PS(36:3); pSer(18:2/18:1); pSer(18:2n6/18:1n9); pSer(18:2W6/18:1W9); pSer(36:3); 1-(9Z,12Z-Octadecadienoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine; PS(18:2(9Z,12Z)/18:1(9Z));PS(18:3(9Z,12Z,15Z)/18:0); 1-a-Linolenoyl-2-stearoyl-sn-glycero-3-phosphoserine; 1-alpha-Linolenoyl-2-stearoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:3/18:0); Phosphatidylserine(18:3n3/18:0); Phosphatidylserine(18:3W3/18:0); Phosphatidylserine(36:3); PS(18:3/18:0); PS(18:3N3/18:0); PS(18:3W3/18:0); PS(36:3); pSer(18:3/18:0); pSer(18:3n3/18:0); pSer(18:3W3/18:0); pSer(36:3); 1-(9Z,12Z,15Z-Octadeatrienoyl)-2-octadecanoyl-sn-glycero-3-phosphoserine; PS(18:3(9Z,12Z,15Z)/18:0);PS(20:3(8Z,11Z,14Z)/16:0); 1-Homo-g-linolenoyl-2-palmitoyl-sn-glycero-3-phosphoserine; 1-Homo-gamma-linolenoyl-2-palmitoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(20:3/16:0); Phosphatidylserine(20:3n6/16:0); Phosphatidylserine(20:3W6/16:0); Phosphatidylserine(36:3); PS(20:3/16:0); PS(20:3N6/16:0); PS(20:3W6/16:0); PS(36:3); pSer(20:3/16:0); pSer(20:3n6/16:0); pSer(20:3W6/16:0); pSer(36:3); 1-(8Z,11Z,14Z-Eicosatrienoyl)-2-hexadecanoyl-sn-glycero-3-phosphoserine; PS(20:3(8Z,11Z,14Z)/16:0)"
8,787.5363342,"PS(18:0/18:2(9Z,12Z)); 1-Octadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho-L-serine; 1-Octadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoserine; 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:0/18:2); Phosphatidylserine(18:0/18:2n6); Phosphatidylserine(18:0/18:2W6); PS(18:0/18:2); PS(18:0/18:2N6); pSer(18:0/18:2); pSer(18:0/18:2n6); pSer(18:0/18:2W6); pSer(36:2); Phosphatidylserine(36:2); PS(18:0/18:2W6); PS(36:2); PS(18:0/18:2(9Z,12Z)); 1-Stearoyl-2-linoleoyl-GPS; Phosphatidylserine(18:0/18:2(9Z,12Z)); Pser(18:0/18:2(9Z,12Z));PS(18:2(9Z,12Z)/18:0); 1-Linoleoyl-2-stearoyl-sn-glycero-3-phosphoserine; Phosphatidylserine(18:2/18:0); Phosphatidylserine(18:2n6/18:0); Phosphatidylserine(18:2W6/18:0); Phosphatidylserine(36:2); PS(18:2/18:0); PS(18:2N6/18:0); PS(18:2W6/18:0); PS(36:2); pSer(18:2/18:0); pSer(18:2n6/18:0); pSer(18:2W6/18:0); pSer(36:2); 1-(9Z,12Z-Octadecadienoyl)-2-octadecanoyl-sn-glycero-3-phosphoserine; PS(18:2(9Z,12Z)/18:0)"
9,787.5363347,"PS(18:1(9Z)/18:1(9Z)); 1,2-Dioleoyl-sn-glycero-3-phosphoserine; 1,2-Dioleoylphosphatidylserine; 1,2-DLPS; Dioleoyl phosphatidylserine; DOPS; DOPSE; Phosphatidylserine(18:1/18:1); Phosphatidylserine(18:1omega9/18:1omega9); Phosphatidylserine(36:2); PS(18:1/18:1); PS(18:1OMEGA9/18:1OMEGA9); PS(36:2); 1,2-Dioleoyl-rac-glycero-3-phosphoserine; Phosphatidylserine(18:1n9/18:1n9); Phosphatidylserine(18:1W9/18:1W9); PS(18:1N9/18:1N9); PS(18:1W9/18:1W9); pSer(18:1/18:1); pSer(18:1n9/18:1n9); pSer(18:1W9/18:1W9); pSer(36:2); 1,2-Dioleoylphosphatidylserine, monosodium salt, (R-(Z,Z))-isomer; 1,2-Dioleoylphosphatidylserine, sodium salt, (Z,Z)-isomer; 1,2-Dioleoylphosphatidylserine, (Z,Z)-isomer; 1,2-Di(9Z-octadecenoyl)-rac-glycero-3-phosphoserine; PS(18:1(9Z)/18:1(9Z))"
