,MASS,COMMON_NAME,FORMULA
0,461.3353,Glucosyl sphingosine,C24H47NO7
1,641.4867,"GlcCer(d14:2(4E,6E)/16:0)",C36H67NO8
2,643.5023,GlcCer(d14:1/16:0);GlcCer(d18:1/12:0),C36H69NO8
3,667.5023,"GlcCer(d14:2(4E,6E)/18:1(9Z))",C38H69NO8
4,669.518,"GlcCer(d14:1/18:1);GlcCer(d14:2(4E,6E)/18:0)",C38H71NO8
5,671.5336,GlcCer(d14:1/18:0);GlcCer(d18:1/14:0),C38H73NO8
6,673.5493,GlcCer(d18:0/14:0),C38H75NO8
7,683.5336,"GlcCer(d15:2(4E,6E)/18:0)",C39H73NO8
8,685.5129,"GlcCer(d14:2(4E,6E)/18:0(2OH))",C38H71NO9
9,685.5493,GlcCer(d15:1/18:0),C39H75NO8
10,697.5493,"GalCer(d18:2/16:0);GlcCer(d14:2(4E,6E)/20:0);GlcCer(d16:2(4E,6E)/18:0);GlcCer(d17:2(4E,8E)(9Me)/16:0);GlcCer(d18:2(4E,8Z)/16:0);GlcCer(d18:2/16:0)",C40H75NO8
11,699.5649,GalCer(d18:1/16:0);GlcCer(d14:1/20:0);GlcCer(d16:1/18:0);GlcCer(d18:1/16:0),C40H77NO8
12,701.5806,GalCer(d18:0/16:0);GlcCer(d18:0/16:0),C40H79NO8
13,709.5493,"GlcCer(d18:3(4E,8E,10E)(9Me)/16:0)",C41H75NO8
14,711.5285,Chrysogeside A;Chrysogeside C,C40H73NO9
15,711.5649,"GlcCer(d15:2(4E,6E)/20:0);GlcCer(d18:2(4E,8E)(9Me)/16:0)",C41H77NO8
16,713.5442,"-;Cerebroside E;Crispin A;GlcCer(d14:2(4E,6E)/20:0(2OH));GlcCer(d16:2(4E,6E)/18:0(2OH));GlcCer(d18:2(4E,8E)/16:0(2OH[R]));GlcCer(d18:2(4E,8Z)/16:0(2OH[R]));GlcCer(d18:2(4E,8Z)/16:0(2OH[S]));GlcCer(d18:2(5E,12E)/16:0(2OH[R]))",C40H75NO9
17,713.5806,GlcCer(d15:1/20:0),C41H79NO8
18,715.5598,GlcCer(d14:1(4E)/20:0(2OH));GlcCer(d18:1(8Z)/16:0(2OH[R])),C40H77NO9
19,717.5755,GlcCer(d18:0/16:0(2OH[R])),C40H79NO9
20,725.5442,Cerebroside A;Chrysogeside B;Phalluside-1,C41H75NO9
21,725.5806,"GlcCer(d14:2(4E,6E)/22:0);GlcCer(d16:2(4E,6E)/20:0);GlcCer(d18:1/18:1(9Z))",C42H79NO8
22,727.5598,"-;Cerebroside B;Chrysogeside E;GlcCer(d15:2(4E,6E)/20:0(2OH));GlcCer(d18:2(4E,8Z)/17:0(2OH[R]))",C41H77NO9
23,727.5962,GalCer(d18:1/18:0);GlcCer(d14:1/22:0);GlcCer(d16:1/20:0);GlcCer(d18:0/18:1(9Z));GlcCer(d18:1/18:0),C42H81NO8
24,729.6119,GlcCer(d18:0/18:0),C42H83NO8
25,731.5547,GlcCer(t18:1(8Z)/16:0(2OH[S])),C40H77NO10
26,739.5962,"GlcCer(d15:2(4E,6E)/22:0)",C43H81NO8
27,741.5755,"-;Dracontioside A;GlcCer(d14:1(4E)/22:1(13Z)(2OH));GlcCer(d14:2(4E,6E)/22:0(2OH));GlcCer(d16:2(4E,6E)/20:0(2OH));GlcCer(d18:2(4E,8E)/18:0(2OH[R]));GlcCer(d18:2(4E,8Z)/18:0(2OH[R]))",C42H79NO9
28,741.6119,GlcCer(d15:1/22:0),C43H83NO8
29,743.5547,Termitomycesphin A;Termitomycesphin C,C41H77NO10
30,743.5911,GlcCer(d14:1(4E)/22:0(2OH));GlcCer(d16:1(4E)/20:0(2OH));GlcCer(d18:1(8E)/18:0(2OH[R]));GlcCer(d18:1(8Z)/18:0(2OH[R])),C42H81NO9
31,745.5704,Termitomycesphin E,C41H79NO10
32,751.5962,GalCer(d18:2/20:1);GlcCer(d18:2/20:1),C44H81NO8
33,753.5755,"Cerebroside C;Chrysogeside D;Flavicerebroside B;Flavuside B;GalCer(d18:2(4E,8E)(9Me)/18:1(3E)(2OH[S]));GlcCer(d18:2(4E,8E)(9Me)/18:1(3E)(2OH[S]))",C43H79NO9
34,753.6119,"GalCer(d18:2/20:0);GlcCer(d14:1/24:1);GlcCer(d14:2(4E,6E)/24:0);GlcCer(d16:2(4E,6E)/22:0);GlcCer(d18:2/20:0)",C44H83NO8
35,755.5911,"-;Allantoside;Cerebroside D;Flavicerebroside A;Flavuside A;GlcCer(d15:2(4E,6E)/22:0(2OH));GlcCer(d18:2(4E,8E)(9Me)/18:0(2OH[S]));GlcCer(d18:2(4E,8Z)/19:0(2OH[R]))",C43H81NO9
36,755.6275,GalCer(d16:1/22:0);GalCer(d18:1/20:0);GlcCer(d14:1/24:0);GlcCer(d16:1/22:0);GlcCer(d18:1/20:0),C44H85NO8
37,757.6068,GlcCer(d21:1(8E)(9Me)/15:0(2OH[R])),C43H83NO9
38,757.6432,GalCer(d18:0/20:0);GlcCer(d18:0/20:0),C44H87NO8
39,759.586,GlcCer(t18:1(8Z)/18:0(2OH[S])),C42H81NO10
40,767.6275,GalCer(d18:2/21:0);GlcCer(d18:2/21:0),C45H85NO8
