,MASS,COMMON_NAME,FORMULA
0,341.293,Cer(d18:1/2:0),C20H39NO3
1,421.2593,CerP(d18:1/2:0),C20H40NO6P
2,427.4025,Cer(d12:0/14:0),C26H53NO3
3,479.4338,"Cer(d14:2(4E,6E)/16:0)",C30H57NO3
4,481.4495,Cer(d14:1/16:0);Cer(d18:1/12:0),C30H59NO3
5,495.4651,Cer(d15:1/16:0),C31H61NO3
6,497.4808,Cer(d18:0/13:0),C31H63NO3
7,505.3532,CerP(d18:1/8:0),C26H52NO6P
8,505.4495,"Cer(d14:2(4E,6E)/18:1(9Z))",C32H59NO3
9,507.4651,"Cer(d14:1/18:1);Cer(d14:2(4E,6E)/18:0);Cer(d18:2(4E,8E)/14:0);Cer(d18:2/14:0)",C32H61NO3
10,509.4808,Cer(d14:1/18:0);Cer(d18:1/14:0),C32H63NO3
11,511.4964,Cer(d16:0/16:0);Cer(d18:0/14:0),C32H65NO3
12,513.4757,Cer(t15:0/16:0),C31H63NO4
13,521.4444,"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",C32H59NO4
14,521.4808,Cer(d18:2/15:0),C33H63NO3
15,523.4601,"Cer(d14:1(4E)/18:1(9Z)(2OH));Cer(d14:2(4E,6E)/18:0(2OH));Cer(d18:2(4E,8E)/14:0(2OH))",C32H61NO4
16,523.4964,Cer(d16:1/17:0);Cer(d18:1/15:0),C33H65NO3
17,525.4757,Cer(d18:1(4E)/14:0(2OH));Cer(t18:1(6OH)/14:0),C32H63NO4
18,525.5121,Cer(d18:0/15:0),C33H67NO3
19,527.4914,Cer(t18:0/14:0),C32H65NO4
20,533.4808,"Cer(d14:2(4E,6E)/20:1(11Z))",C34H63NO3
21,535.4964,"Cer(d14:1/20:1);Cer(d14:2(4E,6E)/20:0);Cer(d16:2(4E,6E)/18:0);Cer(d18:2/16:0)",C34H65NO3
22,537.5121,Cer(d14:1/20:0);Cer(d16:1/18:0);Cer(d18:1/16:0),C34H67NO3
23,539.4914,Cer(d18:1(4E)/15:0(2OH));Cer(t18:1(6OH)/15:0),C33H65NO4
24,539.5277,Cer(d18:0/16:0),C34H69NO3
25,541.4706,Cer(t18:1(6OH)/14:0(2OH)),C32H63NO5
26,541.507,Cer(t18:0/15:0),C33H67NO4
27,543.4863,Stylissamide  A,C32H65NO5
28,549.4757,"Cer(d14:2(4E,6E)/20:1(11Z)(2OH));Cer(d16:2(4E,6E)/18:1(9Z)(2OH))",C34H63NO4
29,549.5121,"Cer(d15:2(4E,6E)/20:0)",C35H67NO3
30,551.4914,"Cer(d14:1(4E)/20:1(11Z)(2OH));Cer(d14:2(4E,6E)/20:0(2OH));Cer(d16:1(4E)/18:1(9Z)(2OH));Cer(d16:2(4E,6E)/18:0(2OH));Cer(d18:2/16:0(2OH))",C34H65NO4
31,551.5277,Cer(d15:1/20:0);Cer(d18:1/17:0),C35H69NO3
32,553.507,Cer(d14:1(4E)/20:0(2OH));Cer(d18:1(4E)/16:0(2OH));Cer(d18:1(4E)/16:0(3OH));Cer(d18:1(8E)/16:0(2OH[R]));Cer(d18:1(8Z)/16:0(2OH[R]));Cer(t18:1(6OH)/16:0),C34H67NO4
33,553.5434,Cer(d18:0/17:0),C35H71NO3
