,MASS,COMMON_NAME,FORMULA
0,456.3815,DG(12:0/12:0/0:0)[iso2],C27H52O5
1,484.4128,DG(13:0/13:0/0:0),C29H56O5
2,508.4128,DG(14:1(9Z)/14:1(9Z)/0:0),C31H56O5
3,510.4284,DG(12:0/16:1(9Z)/0:0)[iso2],C31H58O5
4,512.4441,"1,2-dimyristoyl-sn-glycerol;DG(12:0/16:0/0:0)[iso2]",C31H60O5
5,512.5168,"1,2-(13-methyl-tetradecanyl)-sn-glycerol",C33H68O3
6,517.475,DG(14:0/0:0/14:0) (d5),C31H55D5O5
7,522.4284,"DG(12:0/17:2(9Z,12Z)/0:0)[iso2]",C32H58O5
8,524.4441,DG(12:0/17:1(9Z)/0:0)[iso2];DG(13:0/16:1(9Z)/0:0)[iso2],C32H60O5
9,526.4597,DG(12:0/17:0/0:0)[iso2];DG(13:0/16:0/0:0)[iso2],C32H62O5
10,534.4284,"DG(12:0/18:3(9Z,12Z,15Z)/0:0)[iso2]",C33H58O5
11,536.4441,"DG(12:0/18:2(9Z,12Z)/0:0)[iso2];DG(13:0/17:2(9Z,12Z)/0:0)[iso2];DG(14:1(9Z)/16:1(9Z)/0:0)[iso2];DG(15:1(9Z)/15:1(9Z)/0:0)",C33H60O5
12,538.4597,DG(12:0/18:1(9Z)/0:0)[iso2];DG(13:0/17:1(9Z)/0:0)[iso2];DG(14:0/16:1(9Z)/0:0)[iso2];DG(14:1(9Z)/16:0/0:0)[iso2],C33H62O5
13,540.4754,DG(12:0/18:0/0:0)[iso2];DG(13:0/17:0/0:0)[iso2];DG(14:0/16:0/0:0)[iso2];DG(15:0/15:0/0:0),C33H64O5
14,545.5063,DG(15:0/0:0/15:0) (d5),C33H59D5O5
15,548.4441,"DG(13:0/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(14:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]",C34H60O5
16,550.4597,"DG(13:0/18:2(9Z,12Z)/0:0)[iso2];DG(14:0/17:2(9Z,12Z)/0:0)[iso2];DG(14:1(9Z)/17:1(9Z)/0:0)[iso2];DG(15:1(9Z)/16:1(9Z)/0:0)[iso2]",C34H62O5
17,550.4961,DG(P-14:0/18:1(9Z)),C35H66O4
18,552.4754,DG(13:0/18:1(9Z)/0:0)[iso2];DG(14:0/17:1(9Z)/0:0)[iso2];DG(14:1(9Z)/17:0/0:0)[iso2];DG(15:0/16:1(9Z)/0:0)[iso2];DG(15:1(9Z)/16:0/0:0)[iso2],C34H64O5
19,554.491,DG(12:0/19:0/0:0)[iso2];DG(13:0/18:0/0:0)[iso2];DG(14:0/17:0/0:0)[iso2];DG(15:0/16:0/0:0)[iso2],C34H66O5
20,558.4284,"DG(12:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C35H58O5
21,560.4441,"DG(12:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(14:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C35H60O5
22,560.5168,-;1-(12-methyl-tridecanyl)-2-(8-[1]-ladderane-octanyl)-sn-glycerol;1-(tetradecanyl)-2-(8-[1]-ladderane-octanyl)-sn-glycerol,C37H68O3
23,562.4597,"DG(12:0/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(14:0/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(14:1(9Z)/18:2(9Z,12Z)/0:0)[iso2];DG(15:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]",C35H62O5
24,564.4754,"DG(12:0/20:2(11Z,14Z)/0:0)[iso2];DG(14:0/18:2(9Z,12Z)/0:0)[iso2];DG(14:1(9Z)/18:1(9Z)/0:0)[iso2];DG(15:0/17:2(9Z,12Z)/0:0)[iso2];DG(15:1(9Z)/17:1(9Z)/0:0)[iso2];DG(16:1(9Z)/16:1(9Z)/0:0)",C35H64O5
25,566.491,DG(12:0/20:1(11Z)/0:0)[iso2];DG(14:0/18:1(9Z)/0:0)[iso2];DG(14:1(9Z)/18:0/0:0)[iso2];DG(15:0/17:1(9Z)/0:0)[iso2];DG(15:1(9Z)/17:0/0:0)[iso2];DG(16:0/16:1(9Z)/0:0)[iso2],C35H66O5
26,568.5067,DG(12:0/20:0/0:0)[iso2];DG(13:0/19:0/0:0)[iso2];DG(14:0/18:0/0:0)[iso2];DG(15:0/17:0/0:0)[iso2];DG(16:0/16:0/0:0);DG(16:0/16:0/0:0)[rac],C35H68O5
27,569.5063,DG(16:1(9Z)/0:0/16:1(9Z)) (d5),C35H59D5O5
28,572.4441,"DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C36H60O5
29,573.5376,DG(16:0/0:0/16:0) (d5),C35H63D5O5
30,574.4597,"DG(13:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(15:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C36H62O5
31,576.4754,"DG(13:0/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(15:0/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(15:1(9Z)/18:2(9Z,12Z)/0:0)[iso2];DG(16:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]",C36H64O5
32,578.491,"DG(13:0/20:2(11Z,14Z)/0:0)[iso2];DG(15:0/18:2(9Z,12Z)/0:0)[iso2];DG(15:1(9Z)/18:1(9Z)/0:0)[iso2];DG(16:0/17:2(9Z,12Z)/0:0)[iso2];DG(16:1(9Z)/17:1(9Z)/0:0)[iso2]",C36H66O5
33,580.5067,DG(13:0/20:1(11Z)/0:0)[iso2];DG(14:1(9Z)/19:0/0:0)[iso2];DG(15:0/18:1(9Z)/0:0)[iso2];DG(15:1(9Z)/18:0/0:0)[iso2];DG(16:0/17:1(9Z)/0:0)[iso2];DG(16:1(9Z)/17:0/0:0)[iso2],C36H68O5
34,580.5431,DG(O-16:0/18:1(9Z)),C37H72O4
