,MASS,COMMON_NAME,FORMULA
0,60.0211,Acetic acid,C2H4O2
1,72.0211,Acrylic acid,C3H4O2
2,74.0368,Propionic acid,C3H6O2
3,86.0368,Crotonic acid;Isocrotonic acid;Vinyl acetic acid;but-2-enoic acid,C4H6O2
4,88.016,Pyruvic acid,C3H4O3
5,88.0524,Butyric acid;Isobutyric acid,C4H8O2
6,93.9822,2-chloro-acetic acid,C2H3ClO2
7,98.0368,"beta-vinyl acrylic acid;penta-2,4-dienoic acid",C5H6O2
8,100.0524,"2-ethyl acrylic acid;Allyl acetic acid;Angelic acid;Isopropenylacetic acid;Tiglic acid;beta,beta-dimethyl acrylic acid;beta-ethyl acrylic acid;beta-penteic acid;cis-pent-2-enoic acid;cis-pent-3-enoic acid",C5H8O2
9,102.0317,(S)-Methylmalonic acid semialdehyde;2-methyl-3-oxo-propanoic acid;3-hydroxybut-2-enoic acid;3-methyl pyruvic acid;4-hydroxy-crotonic acid;Acetoacetic acid,C4H6O3
10,102.0681,Isovaleric acid;Pivalic acid;Valeric acid;alpha-methyl butyric Acid,C5H10O2
11,103.0633,(R)-b-amino-isobutyric acid;(S)-b-amino-isobutyric acid;2-amino-isobutyric acid;2R-amino-butanoic acid;2S-amino-butanoic acid;3-amino-isobutanoic acid;4-amino-butanoic acid,C4H9NO2
12,104.011,Malonic acid,C3H4O4
13,104.0473,(+/-)alpha-hydoxy butyric acid;(R)-2-hydroxybutyric acid;(S)-3-Hydroxybutyric acid;2S-Hydroxybutanoic acid;3R-hydroxy-butanoic acid;3R-hydroxy-isobutyric acid;4-hydroxy-butyric acid;D(-)-beta-hydroxy butyric acid;alpha-hydroxy-isobutyric acid,C4H8O3
14,104.0586,"2,3-diamino-propionic acid",C3H8N2O2
15,105.0426,2-Amino-3-hydroxypropanoic acid,C3H7NO3
16,105.9822,(E)-3-chloroacrylic acid;2-chloroacrylic acid,C3H3ClO2
