,MASS,COMMON_NAME,FORMULA
0,88.0524,Isobutyric acid,C4H8O2
1,100.0524,"2-ethyl acrylic acid;Angelic acid;Isopropenylacetic acid;Tiglic acid;beta,beta-dimethyl acrylic acid",C5H8O2
2,102.0681,Isovaleric acid;Pivalic acid;alpha-methyl butyric Acid,C5H10O2
3,114.0681,"2,2-dimethyl-3-butenoic acid;3-Methyl-3Z-Pentenoic Acid;3-isopropyl acrylic acid;3-methyl-2Z-pentenoic acid;3-methyl-4-pentenoic acid;4-methyl-4-pentenoic acid;Pyroterebic acid;trimethyl acrylic acid",C6H10O2
4,116.0473,3-methyl-2-oxo-butanoic acid,C5H8O3
5,116.0837,"2-methyl valeric acid;3,3-dimethyl-butanoic acid;3-methyl valeric acid;Isocaproic acid;diethyl acetic acid;dimethyl ethyl acetic acid",C6H12O2
6,128.0837,"2,2-dimethyl-4-pentenoic acid;2-butyl acrylic acid;2-isopropyl trans-crotonic acid;2-methyl-2E-hexenoic acid;2-methyl-2Z-hexenoic acid;3-isopropyl-3-butenoic acid;4,4-dimethyl-2E-pentenoic acid;4,4-dimethyl-2Z-pentenoic acid;5-methyl-5-hexenoic acid",C7H12O2
7,130.063,2oxo-3R-methyl-pentanoic acid;3-oxo-4-methyl-pentanoic acid;3S-methyl-2-oxo-pentanoic acid,C6H10O3
8,130.0994,"2-ethyl-2-methyl-butanoic acid;2-methyl-hexanoic acid;3,4-dimethyl valeric acid;3-methyl-hexanoic acid;4,4-dimethyl valeric acid;4-methyl-hexanoic acid;5-methyl-hexanoic acid;alpha,alpha-dimethyl valeric acid;alpha-ethyl valeric acid;beta,beta-dimethyl valeric acid",C7H14O2
9,132.0423,3-hydroxy-3-methyl-2-oxo-butanoic acid,C5H8O4
10,132.0786,L-Isoleucic acid,C6H12O3
11,142.0994,2-ethyl-3E-hexenoic acid;2-methyl-2E-heptenoic acid;3-Methyl-2E-heptenoic acid;3-tert-butyl-3-butenoic acid;6-methyl-5-heptenoic acid,C8H14O2
12,144.0423,2-methylideneglutaric acid,C6H8O4
13,144.115,"2,2-dimethyl-hexanoic acid;2-Methylheptanoic acid;2-ethyl-2-methyl valeric ccid;3-methyl-heptanoic acid;3R-Methylheptanoic acid;4-ethyl-hexanoic acid;5-methyl-heptanoic acid;Isocaprylic acid;Valproic acid;alpha-ethyl caproic acid",C8H16O2
14,146.0579,3-hydroxy-3-methyl-2-oxo-pentanoic acid,C6H10O4
15,154.0994,Dendryphiellic acid A,C9H14O2
