,MASS,COMMON_NAME,FORMULA
0,276.2089,"8Z,11Z,14Z,17Z-octadecatetraenoic acid",C18H28O2
1,278.1882,12-KHT,C17H26O3
2,280.2038,12S-HHTrE,C17H28O3
3,290.1518,clavirin I;clavirin II,C17H22O4
4,296.3079,Thromboxane,C20H40O
5,298.178,Tetranor-PGD1;Tetranor-PGE1 ,C16H26O5
6,300.1937,Tetranor-PGF1alpha ,C16H28O5
7,300.2089,"5Z,8Z,10E,12E,14Z,17Z-eicosahexaenoic acid",C20H28O2
8,302.2246,"7Z,10Z,13Z,16Z,19Z-eicosapentaenoic acid",C20H30O2
9,304.2402,"7Z,10Z,13Z,16Z-eicosatraenoic acid",C20H32O2
10,310.2144,-,C18H30O4
11,310.2872,Prostanoic acid skeleton,C20H38O2
12,312.2301,-,C18H32O4
13,316.2038,"12-deoxy-J2-IsoP;15-deoxy-delta-12,14-PGA2;15-deoxy-delta-12,14-PGJ2;5-deoxy-J2-IsoP;8-deoxy-J2-IsoP ;PGA2 1,15-lactone;ent-12-deoxy-J2-IsoP;ent-15-deoxy-J2-IsoP;ent-5-deoxy-J2-IsoP;ent-8-deoxy-J2-IsoP;preclavulone lactone I;preclavulone lactone II",C20H28O3
14,318.2195,"(+/-)-11-HEPE;(+/-)-12-HEPE;(+/-)-15-HEPE;(+/-)-18-HEPE;(+/-)-5-HEPE;(+/-)-8-HEPE;(+/-)-9-HEPE;(5Z,8R,11Z,14Z)-8,9-epoxy-5,9,11,14-eicosatetraenoic acid;11(12)-EpETE;11-oxo-5E,8Z,12Z,14Z-Eicosatetraenoic acid;11R-HEPE;11S-HEPE;12-oxo-ETE;12R-HEPE;12S-HEPE;14(15)-EpETE;14,15-LTA4;14-HEPE;15-Oxo-ETE;15R-HEPE;15S-HEPE;15d-PGA1;16-HEPE;17(18)-EpETE;17R,18S-EpETE;18R-HEPE;18S-HEPE;4,5-LTA4;5-Oxo-ETE;5-epi-LTA4;5R-HEPE;5S-HEPE;6-epi-LTA4;8(9)-EpETE;8-oxo-5E,9Z,11Z,14Z-eicosatetraenoic acid;8R-HEPE;8S-HEPE;9-oxo-5E,7Z,11Z,14Z-eicosatetraenoic acid;9S-HEPE;LTA4",C20H30O3
15,320.2285,"15-deoxy-delta-12,14-PGJ2-d4",C20H24D4O3
