,MASS,COMMON_NAME,FORMULA
0,164.1201,cis-Jasmone,C11H16O
1,210.1256,"(3R,7S)-iso-jasmonic acid;(3S,7R)-iso-jasmonic acid;(3S,7S)-Jasmonic acid;Jasmonic acid",C12H18O3
2,212.1412,"(+)-7-epi--9,10-dihydrojasmonic acid;(+)-9,10-dihydrojasmonic acid;(+)-cucurbic acid;(-)-7-epi--9,10-dihydrojasmonic acid;(-)-9,10-dihydrojasmonic acid",C12H20O3
3,224.1412,Methyl jasmonate;methyl (+)-7-isojasmonate,C13H20O3
4,226.1205,12-hydroxyjasmonic acid;Tuberonic acid;epi-4'-hydroxyjasmonic acid,C12H18O4
5,228.1362,"(-)-11-hydroxy-9,10-dihydrojasmonic acid;(-)-12-hydroxy-9,10-dihydrojasmonic acid",C12H20O4
6,238.1569,"(9R,13R)-1a,1b-dihomo-jasmonic acid;(9S,13S)-1a,1b-dihomo-jasmonic acid",C14H22O3
7,240.1725,"(1R,2R)-3-oxo-2-pentyl-cyclopentanebutanoic acid;(1S,2S)-3-oxo-2-pentyl-cyclopentanebutanoic acid",C14H24O3
8,264.1725,dinor-12-oxo PDA,C16H24O3
9,266.1882,"(9R,13R)-1a,1b-dinor-10,11-dihydro-12-oxo-15-phytoenoic acid;(9S,13S)-1a,1b-dinor-10,11-dihydro-12-oxo-15-phytoenoic acid",C16H26O3
10,268.2038,"(1R,2R)-3-oxo-2-pentyl-cyclopentanehexanoic acid;(1S,2S)-3-oxo-2-pentyl-cyclopentanehexanoic acid",C16H28O3
11,274.1933,"5Z,8Z,11Z,14Z,17Z-octadecapentaenoic acid",C18H26O2
12,276.2089,"3Z,6Z,9Z,12Z-Octadecatetraenoic acid;4Z,8Z,12Z,15Z-Octadecatetraenoic acid;5E,9Z,12Z,15Z-Octadecatetraenoic acid;6Z,8E,10E,12Z-octadecatetraenoic acid;9Z,11Z,13Z,15Z-octadecatetraenoic acid;Ixoric acid ",C18H28O2
13,278.2246,"3Z,6Z,9Z-Octadecatrienoic acid;6E,9E,11E-octadecatrienoic acid;6Z,9E,11E-octadecatrienoic acid;8Z,11Z,14Z-octadecatrienoic acid;9E,11E,15Z-octadecatrienoic acid;Isorumelenic acid;Rumelenic acid",C18H30O2
14,280.2402,"11-cis-Linoleic acid;3Z,9Z-Octadecadienoic acid;Vaccelenic acid",C18H32O2
15,288.1725,"8-hydroxy-13,17-octadecadiene-9,11-diynoic acid",C18H24O3
16,290.1882,"4-oxo-9Z,11Z,13E,15E-octadecatetraenoic acid;8-hydroxy-13Z-octadecene-9,11-diynoic acid;8-hydroxy-17-octadecene-10,12-diynoic acid;8-oxo-9,11-octadecadiynoic acid;Chrysobalanic acid;Isanolic acid",C18H26O3
17,290.2246,(Z)-Stellettic acid C,C19H30O2
18,292.2038,"(-)-8-hydroxy-11E,17-octadecadien-9-ynoic acid;-;12,13S-EOT;12-Keto-9Z,13Z,15Z-octadecatrienoic acid;12-oxo-PDA;13-keto-9Z,11E,15Z-octadecatrienoic acid;13S-HODTA;8-hydroxy-10,12-octadecadiynoic acid;8-hydroxy-9,11-octadecadiynoic acid;9-KOT;9-hydroxy-10E,14Z-octadecadien-12-ynoic acid;alpha-Licanic acid;beta-Licanic acid",C18H28O3
19,292.2402,-,C19H32O2
20,294.2195," 9,10-epoxy-3E,12Z-Octadecadienoic acid;(9R,13R)-10,11-dihydro-12-oxo-15-phytoenoic acid;(9R,13R)-10-oxo-11-phytoenoic acid;(9R,13R)-15,16-dihydro-12-oxo-10-phytoenoic acid;(9S,13S)-10,11-dihydro-12-oxo-15-phytoenoic acid;(9S,13S)-10-oxo-11-phytoenoic acid;(9S,13S)-15,16-dihydro-12-oxo-10-phytoenoic acid;-;12,13S-EpODE;12-oxo-9-octadecynoic acid;12R,13S-epoxy-6E,9Z-octadecadienoic acid;12R,13S-epoxy-6Z,9Z-octadecadienoic acid;13-HOTE;13-Hydroxy-3E,9Z,11E-octadecatrienoic acid;13-Oxo-ODE;13-OxoODE;13S-HOTrE;13S-HOTrE(gamma);13S-hydroxy-11E-octadec-9-ynoic acid;15R,16S-epoxy-9Z,12E-octadienoic acid;17-hydroxy-linolenic acid;2-HoTrE;2R-HOTrE;8-hydroxy-11Z-octadecen-9-ynoic acid;9,10-EpODE;9-Hydroxy-3,10,12-octadecatrienoic acid;9-OxoODE;9S-HOTrE;Helenynolic acid;alpha-12(13)-EpODE;alpha-15(16)-EpODE;alpha-9(10)-EpODE;alpha-kamlolenic acid;beta-kamlolenic acid;gamma- 12(13)-EpODE;gamma- 6(7)-EpODE;gamma- 9(10)-EpODE",C18H30O3
21,294.2559,"16-methyl-octadeca-9Z,12Z-dienoic acid",C19H34O2
22,296.2351," 9-oxo-12Z-Octadecenoic acid;(1R,2R)-3-oxo-2-pentyl-cyclopentaneoctanoic acid;(1S,2S)-3-oxo-2-pentyl-cyclopentaneoctanoic acid;-;10-hydroxy-9Z,12Z-octadecadienoic acid;10-keto-12Z-octadecenoic acid;10R-HODE;10S-HODE;12(13)-EpOME;12,13-EpOME(9);12-OxoOME(10E);12-OxoOME(10Z);12-OxoOME(9E);12-OxoOME(9Z);12-hydroxy-10-octadecynoic acid;12-hydroxy-9-octadecynoic acid;12R-HODE;12S,13R-EpOME;12S-hydroxy-9-octadecynoic acid;13-hydroxy-9Z,12Z-octadecadienoic acid;13-keto-trans-9-octadecenoic acid;13R-HODE;13S-HODE;15-Hydroxy-9Z,15Z-octadecadienoic acid;15-hydroxy-9Z,12Z-Octadecadienoic acid;2-hydroxy-9Z,12Z-Octadecadienoic acid;2R-hydroxy-linoleic acid;6-HODE;8-hydroxy-11Z,14Z-Octadecadienoic acid;8R-HODE;8S-HODE;9(10)-EpOME;9,10-EpOME(12);9-HODE;9-hydroxy-10,12-Octadecadienoic acid;9-keto-11Z-octadecenoic acid;9R,10S-EpOME;9R-HODE;9S-HODE;Avenoleic acid;Coriolic acid;Densipolic acid;Dimorphecolic acid;alpha-artemisic acid;beta-Dimorphecolic acid",C18H32O3
23,298.2508,"10-HOME(8);10-hydroxy-12E-octadecenoic acid;10-hydroxy-12Z-octadecenoic acid;10-keto stearic acid;10R-HOME(11Z);10R-HOME(8E);10S-HOME(11Z);11-HOME(9);11-hydroxy-12E-octadecenoic acid;11-oxo-octadecanoic acid;11R-HOME(12E);11R-HOME(12Z);11S-HOME(12E);11S-HOME(12Z);12-HOME(10E);12R-HOME(10E);12R-HOME(13E);12R-HOME(13Z);12R-HOME(9E);12S-HOME(10E);12S-HOME(13E);12S-HOME(13Z);12S-HOME(9E);12S-HOME(9Z);13-HpOME(14E);13-oxo-octadecanoic acid;13R-HOME(11E);13S-HOME(11E);14-oxo-octadecanoic acid;15-oxo-octadecanoic acid;16-methyl-10-oxo-heptadecanoic acid;16-oxo-octadecanoic acid;17-HOME(9Z);17-oxo-octadecanoic acid;19-HOME(9Z);2-methyl-4-oxo-heptadecanoic acid;2-oxo-octadecanoic acid;2R-hydroxy-oleic acid;3-keto stearic acid;4-keto stearic acid;5-HOME(2);5-keto stearic acid;6R,7S-epoxy-octadecanoic acid;7-keto-stearic acid;8-HOME(9);8-oxo-octadecanoic acid;8R-HOME(9Z);9,10-epoxystearic acid;9-HOME(10E);9-HOME(10Z);9-HOME(12);9-hydroxy-11Z-Octadecenoic acid;9-keto stearic acid;9R,10S-epoxy-stearic acid;9R-HOME(10E);9R-HOME(12E);9R-HOME(12Z);9S,10R-epoxy-stearic acid;Isoricinoleic Acid;Isoricinoleic acid;Lactarinic acid;Lycaonic acid;Ricinelaidic acid;Ricinoleic acid",C18H34O3
24,300.2598,13S-HODE-(d4);9S-HODE-d4,C18H28D4O3
