,MASS,COMMON_NAME,FORMULA
0,60.0211,Acetic acid,C2H4O2
1,74.0368,Propionic acid,C3H6O2
2,88.0524,Butyric acid,C4H8O2
3,102.0681,Valeric acid,C5H10O2
4,116.0837,Caproic acid,C6H12O2
5,130.0994,Heptylic acid,C7H14O2
6,144.115,Caprylic acid,C8H16O2
7,158.1307,Pelargonic acid,C9H18O2
8,172.1463,Capric acid,C10H20O2
9,186.162,Undecylic acid,C11H22O2
10,200.1776,Lauric acid,C12H24O2
11,203.1962,Lauric acid(d3),C12H21D3O2
12,214.1933,Tridecylic acid,C13H26O2
13,228.2089,"3R,5S-Dimethyldodecanoic acid;Myristic acid",C14H28O2
14,231.2275,Myristic acid(d3),C14H25D3O2
15,242.2246,Pentadecylic acid,C15H30O2
16,245.2431,Pentadecylic acid(d3),C15H27D3O2
17,256.2402,Palmitic acid,C16H32O2
18,259.2588,Palmitic acid(d3),C16H29D3O2
19,270.2559,Margaric acid,C17H34O2
20,273.2744,Margaric acid(d3),C17H31D3O2
21,284.2715,Stearic acid,C18H36O2
22,287.2901,Stearic acid(d3),C18H33D3O2
23,298.2872,Nonadecylic acid,C19H38O2
24,312.3028,Arachidic acid,C20H40O2
25,315.3214,Arachidic acid(d3),C20H37D3O2
26,326.3185,Heneicosylic acid,C21H42O2
27,340.3341,Behenic acid,C22H44O2
28,343.3527,Behenic acid(d3),C22H41D3O2
29,354.3498,Tricosylic acid,C23H46O2
30,368.3654,Lignoceric acid,C24H48O2
31,371.384,Lignoceric acid(d3),C24H45D3O2
32,382.3811,Hyenic acid,C25H50O2
33,396.3967,Cerotic acid,C26H52O2
34,399.4153,Cerotic acid(d3),C26H49D3O2
35,410.4124,Carboceric acid,C27H54O2
36,424.428,Montanic acid,C28H56O2
37,438.4437,nonacosanoic acid,C29H58O2
38,452.4593,Melissic acid,C30H60O2
39,466.475,hentriacontanoic acid,C31H62O2
40,480.4906,Lacceroic acid,C32H64O2
41,494.5063,Psyllic acid,C33H66O2
42,508.5219,Gheddic acid,C34H68O2
43,522.5376,Ceroplastic acid,C35H70O2
44,536.5532,Hexatriacontylic acid,C36H72O2
45,550.5689,heptatriacontanoic acid,C37H74O2
46,564.5845,octatriacontanoic acid,C38H76O2
47,676.7097,hexatetracontanoic acid,C46H92O2
