,MASS,COMMON_NAME,FORMULA
0,397.2229,PE(12:0/0:0),C17H36NO7P
1,411.2022,PE(6:0/6:0),C17H34NO8P
2,411.2386,PE(13:0/0:0),C18H38NO7P
3,423.2386,PE(0:0/14:1(9Z));PE(14:1(9Z)/0:0),C19H38NO7P
4,425.2542,PE(0:0/14:0);PE(14:0/0:0),C19H40NO7P
5,437.2542,PE(15:1(9Z)/0:0),C20H40NO7P
6,437.2906,PE(P-16:0/0:0),C21H44NO6P
7,439.2699,1-(2-methoxy-6Z-tetradecenyl)-sn-glycero-3-phosphoethanolamine;PE(0:0/15:0);PE(15:0/0:0),C20H42NO7P
8,439.3063,PE(O-16:0/0:0),C21H46NO6P
9,441.2855,1-(2-methoxy-tetradecanyl)-sn-glycero-3-phosphoethanolamine,C20H44NO7P
10,451.2699,PE(0:0/16:1(9Z));PE(16:1(9Z)/0:0),C21H42NO7P
11,453.2855,1-(2-methoxy-13-methyl-6Z-tetradecenyl)-sn-glycero-3-phosphoethanolamine;1-(2-methoxy-6Z-pentadecenyl)-sn-glycero-3-phosphoethanolamine;PE(0:0/16:0);PE(16:0/0:0),C21H44NO7P
12,455.3012,1-(2-methoxy-13-methyl-tetradecanyl)-sn-glycero-3-phosphoethanolamine;1-(2-methoxy-pentadecanyl)-sn-glycero-3-phosphoethanolamine,C21H46NO7P
13,463.2699,"PE(17:2(9Z,12Z)/0:0)",C22H42NO7P
14,465.2855,PE(17:1(9Z)/0:0),C22H44NO7P
15,465.3219,PE(O-18:1(9Z)/0:0);PE(P-18:0/0:0),C23H48NO6P
16,467.2648,PE(8:0/8:0),C21H42NO8P
17,467.3012,1-(2-methoxy-5Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine;1-(2-methoxy-6Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine;PE(17:0/0:0),C22H46NO7P
18,467.3376,PE(O-18:0/0:0),C23H50NO6P
19,469.3168,1-(2-methoxy-13-methyl-pentadecanyl)-sn-glycero-3-phosphoethanolamine;1-(2-methoxy-14-methyl-pentadecanyl)-sn-glycero-3-phosphoethanolamine;1-(2-methoxy-hexadecanyl)-sn-glycero-3-phosphoethanolamine,C22H48NO7P
20,473.2542,"PE(0:0/18:4(6Z,9Z,12Z,15Z));PE(18:4(6Z,9Z,12Z,15Z)/0:0)",C23H40NO7P
21,475.2699,"PE(0:0/18:3(6Z,9Z,12Z));PE(0:0/18:3(9Z,12Z,15Z));PE(18:3(6Z,9Z,12Z)/0:0);PE(18:3(9Z,12Z,15Z)/0:0)",C23H42NO7P
22,477.2855,"PE(0:0/18:2(9Z,12Z));PE(18:2(9Z,12Z)/0:0)",C23H44NO7P
23,477.3219,PE(P-19:1(12Z)/0:0),C24H48NO6P
24,479.3012,PE(0:0/18:1(11Z));PE(0:0/18:1(9Z));PE(18:1(11Z)/0:0);PE(18:1(9Z)/0:0),C23H46NO7P
25,481.3168,1-(2-methoxy-6Z-heptadecenyl)-sn-glycero-3-phosphoethanolamine;PE(0:0/18:0);PE(18:0/0:0),C23H48NO7P
26,487.3063,-,C25H46NO6P
27,493.3168,PE(19:1(9Z)/0:0),C24H48NO7P
28,493.3532,PE(P-20:0/0:0),C25H52NO6P
29,495.3325,1-(2-methoxy-6Z-octadecenyl)-sn-glycero-3-phosphoethanolamine;PE(19:0/0:0),C24H50NO7P
30,495.3689,PE(O-20:0/0:0),C25H54NO6P
31,497.3481,1-(2-methoxy-octadecanyl)-sn-glycero-3-phosphoethanolamine,C24H52NO7P
32,499.2699,"PE(0:0/20:5(5Z,8Z,11Z,14Z,17Z));PE(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",C25H42NO7P
33,501.2855,"PE(0:0/20:4(5Z,8Z,11Z,14Z));PE(0:0/20:4(8Z,11Z,14Z,17Z));PE(20:4(5Z,8Z,11Z,14Z)/0:0);PE(20:4(8Z,11Z,14Z,17Z)/0:0)",C25H44NO7P
34,503.3012,"PE(0:0/20:3(11Z,14Z,17Z));PE(0:0/20:3(5Z,8Z,11Z));PE(0:0/20:3(8Z,11Z,14Z));PE(20:3(11Z,14Z,17Z)/0:0);PE(20:3(5Z,8Z,11Z)/0:0);PE(20:3(8Z,11Z,14Z)/0:0)",C25H46NO7P
35,505.3168,"PE(0:0/20:2(11Z,14Z));PE(20:2(11Z,14Z)/0:0)",C25H48NO7P
36,507.3325,PE(0:0/20:1(11Z));PE(20:1(11Z)/0:0),C25H50NO7P
37,509.3481,PE(0:0/20:0);PE(20:0/0:0),C25H52NO7P
38,511.3638,1-(2-methoxy-nonadecanyl)-sn-glycero-3-phosphoethanolamine,C25H54NO7P
39,523.3274,PE(10:0/10:0),C25H50NO8P
40,523.3638,PE(21:0/0:0),C26H54NO7P
41,525.2855,"PE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z));PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",C27H44NO7P
42,525.3794,1-(2-methoxy-eicosanyl)-sn-glycero-3-phosphoethanolamine,C26H56NO7P
43,527.3012,"PE(0:0/22:5(4Z,7Z,10Z,13Z,16Z));PE(0:0/22:5(7Z,10Z,13Z,16Z,19Z));PE(22:5(4Z,7Z,10Z,13Z,16Z)/0:0);PE(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",C27H46NO7P
44,529.3168,"PE(0:0/22:4(7Z,10Z,13Z,16Z));PE(22:4(7Z,10Z,13Z,16Z)/0:0)",C27H48NO7P
45,533.3481,"PE(0:0/22:2(13Z,16Z));PE(22:2(13Z,16Z)/0:0)",C27H52NO7P
46,535.3638,PE(0:0/22:1(13Z));PE(22:1(11Z)/0:0);PE(22:1(13Z)/0:0),C27H54NO7P
47,537.3794,PE(0:0/22:0);PE(22:0/0:0),C27H56NO7P
48,539.3951,1-(2-methoxy-heneicosanyl)-sn-glycero-3-phosphoethanolamine,C27H58NO7P
49,553.3168,"PE(0:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z));PE(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/0:0)",C29H48NO7P
50,553.4107,1-(2-methoxy-docosanyl)-sn-glycero-3-phosphoethanolamine,C28H60NO7P
51,563.3951,PE(0:0/24:1(15Z));PE(24:1(15Z)/0:0),C29H58NO7P
52,565.3744,PE-NMe(11:0/11:0),C28H56NO8P
53,565.4107,1-(2-methoxy-16Z-tricosenyl)-sn-glycero-3-phosphoethanolamine;PE(0:0/24:0);PE(24:0/0:0),C29H60NO7P
54,567.4264,1-(2-methoxy-tricosanyl)-sn-glycero-3-phosphoethanolamine,C29H62NO7P
55,572.2962,1-hexadecanoyl-sn--glycero-3-phospho-D-myo-inositol,C25H49O12P
56,579.39,PE(12:0/12:0),C29H58NO8P
57,579.4264,1-(2-methoxy-17Z-tetracosenyl)-sn-glycero-3-phosphoethanolamine,C30H62NO7P
58,581.442,1-(2-methoxy-tetracosanyl)-sn-glycero-3-phosphoethanolamine,C30H64NO7P
59,593.4057,PE(12:0/13:0);PE(13:0/12:0);PE-NMe(12:0/12:0),C30H60NO8P
