,MASS,COMMON_NAME,FORMULA
0,602.4424,"PE-Cer(d14:2(4E,6E)/16:0)",C32H63N2O6P
1,604.458,PE-Cer(d14:1(4E)/16:0),C32H65N2O6P
2,618.4373,"PE-Cer(d14:2(4E,6E)/16:0(2OH))",C32H63N2O7P
3,628.458,"PE-Cer(d14:2(4E,6E)/18:1(9Z))",C34H65N2O6P
4,630.4737,"PE-Cer(d14:1(4E)/18:1(9Z));PE-Cer(d14:2(4E,6E)/18:0);PE-Cer(d16:2(4E,6E)/16:0)",C34H67N2O6P
5,632.4893,PE-Cer(d14:1(4E)/18:0);PE-Cer(d16:1(4E)/16:0),C34H69N2O6P
6,634.505,PE-Cer(d18:0(17Me)/14:0)13Me)),C34H71N2O6P
7,644.4893,"PE-Cer(d14:2(4E,6E)/19:0);PE-Cer(d15:2(4E,6E)/18:0)",C35H69N2O6P
8,646.4686,"PE-Cer(d14:2(4E,6E)/18:0(2OH));PE-Cer(d16:2(4E,6E)/16:0(2OH))",C34H67N2O7P
9,646.505,PE-Cer(d14:1(4E)/19:0);PE-Cer(d15:1(4E)/18:0);SM(d18:1/12:0),C35H71N2O6P
10,648.4842,PE-Cer(d14:1(4E)/18:0(2OH)),C34H69N2O7P
11,648.5206,SM(d16:0/14:0);SM(d18:0/12:0),C35H73N2O6P
12,650.4999,PE-Cer(d18:0(17Me(3OH))/14:0)13Me)),C34H71N2O7P
13,656.4893,"PE-Cer(d14:2(4E,6E)/20:1(11Z));PE-Cer(d16:2(4E,6E)/18:1(9Z))",C36H69N2O6P
14,658.505,"PE-Cer(d14:1(4E)/20:1(11Z));PE-Cer(d14:2(4E,6E)/20:0);PE-Cer(d16:2(4E,6E)/18:0)",C36H71N2O6P
15,660.4842,"PE-Cer(d15:2(4E,6E)/18:0(2OH))",C35H69N2O7P
16,660.5206,PE-Cer(d14:1(4E)/20:0);PE-Cer(d16:1(4E)/18:0),C36H73N2O6P
17,662.5363,SM(d18:0/13:0),C36H75N2O6P
18,672.4842,"PE-Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",C36H69N2O7P
19,672.5206,"PE-Cer(d14:2(4E,6E)/21:0);PE-Cer(d15:2(4E,6E)/20:0);PE-Cer(d16:2(4E,6E)/19:0);SM(d18:2/14:0)",C37H73N2O6P
20,674.4999,"PE-Cer(d14:1(4E)/20:1(11Z)(2OH));PE-Cer(d14:2(4E,6E)/20:0(2OH));PE-Cer(d16:1(4E)/18:1(9Z)(2OH));PE-Cer(d16:2(4E,6E)/18:0(2OH))",C36H71N2O7P
21,674.5363,PE-Cer(d14:1(4E)/21:0);PE-Cer(d15:1(4E)/20:0);PE-Cer(d16:1(4E)/19:0);SM(d16:1/16:0);SM(d18:1/14:0),C37H75N2O6P
22,676.5155,PE-Cer(d14:1(4E)/20:0(2OH));PE-Cer(d16:1(4E)/18:0(2OH)),C36H73N2O7P
23,676.5519,SM(d16:0/16:0);SM(d18:0/14:0),C37H77N2O6P
24,684.5206,"PE-Cer(d14:2(4E,6E)/22:1(13Z));PE-Cer(d16:2(4E,6E)/20:1(11Z))",C38H73N2O6P
25,686.5363,"PE-Cer(d14:1(4E)/22:1(13Z));PE-Cer(d14:2(4E,6E)/22:0);PE-Cer(d16:2(4E,6E)/20:0);SM(d18:2/15:0)",C38H75N2O6P
26,688.5155,"PE-Cer(d15:2(4E,6E)/20:0(2OH))",C37H73N2O7P
27,688.5519,PE-Cer(d14:1(4E)/22:0);PE-Cer(d16:1(4E)/20:0);SM(d16:1/17:0);SM(d18:1/15:0),C38H77N2O6P
28,690.5312,PE-Cer(d15:1(4E)/20:0(2OH)),C37H75N2O7P
29,690.5676,SM(d18:0/15:0),C38H79N2O6P
30,700.5155,"PE-Cer(d14:2(4E,6E)/22:1(13Z)(2OH));PE-Cer(d16:2(4E,6E)/20:1(11Z)(2OH))",C38H73N2O7P
31,700.5519,"PE-Cer(d14:2(4E,6E)/23:0);PE-Cer(d15:2(4E,6E)/22:0);PE-Cer(d16:2(4E,6E)/21:0);SM(d16:1/18:1);SM(d18:1/16:1);SM(d18:2/16:0)",C39H77N2O6P
32,702.5312,"PE-Cer(d14:1(4E)/22:1(13Z)(2OH));PE-Cer(d14:2(4E,6E)/22:0(2OH));PE-Cer(d16:1(4E)/20:1(11Z)(2OH));PE-Cer(d16:2(4E,6E)/20:0(2OH))",C38H75N2O7P
33,702.5676,PE-Cer(d14:1(4E)/23:0);PE-Cer(d15:1(4E)/22:0);PE-Cer(d16:1(4E)/21:0);SM(d16:1/18:0);SM(d17:1/17:0);SM(d18:1/16:0),C39H79N2O6P
34,704.5468,PE-Cer(d14:1(4E)/22:0(2OH));PE-Cer(d16:1(4E)/20:0(2OH)),C38H77N2O7P
35,704.5832,SM(d16:0/18:0);SM(d18:0/16:0),C39H81N2O6P
36,706.5625,"PE-Cer(d18:0(17Me)/16:0(3OH,15Me))",C38H79N2O7P
37,712.5519,"PE-Cer(d14:2(4E,6E)/24:1(15Z));PE-Cer(d16:2(4E,6E)/22:1(13Z))",C40H77N2O6P
38,714.5676,"PE-Cer(d14:1(4E)/24:1(15Z));PE-Cer(d14:2(4E,6E)/24:0);PE-Cer(d16:1(4E)/22:1(13Z));PE-Cer(d16:2(4E,6E)/22:0)",C40H79N2O6P
39,716.5468,"PE-Cer(d15:2(4E,6E)/22:0(2OH))",C39H77N2O7P
40,716.5832,PE-Cer(d14:1(4E)/24:0);PE-Cer(d16:1(4E)/22:0);SM(d18:1/17:0);SM(d19:1/16:0),C40H81N2O6P
41,718.5625,PE-Cer(d15:1(4E)/22:0(2OH));SM(d18:1/16:0(2OH)),C39H79N2O7P
42,718.5989,SM(d18:0/17:0),C40H83N2O6P
43,726.5676,SM(d18:2/18:1),C41H79N2O6P
44,728.5468,"PE-Cer(d14:2(4E,6E)/24:1(15Z)(2OH));PE-Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",C40H77N2O7P
45,728.5832,"PE-Cer(d14:2(4E,6E)/25:0);PE-Cer(d15:2(4E,6E)/24:0);PE-Cer(d16:2(4E,6E)/23:0);SM(d16:1/20:1);SM(d18:0/18:2);SM(d18:1/18:1(9Z));SM(d18:2/18:0);SM(d19:1/17:1)",C41H81N2O6P
46,730.5625,"PE-Cer(d14:1(4E)/24:1(15Z)(2OH));PE-Cer(d14:2(4E,6E)/24:0(2OH));PE-Cer(d16:1(4E)/22:1(13Z)(2OH));PE-Cer(d16:2(4E,6E)/22:0(2OH))",C40H79N2O7P
47,730.5989,PE-Cer(d14:1(4E)/25:0);PE-Cer(d15:1(4E)/24:0);PE-Cer(d16:1(4E)/23:0);SM(d16:1/20:0);SM(d18:0/18:1(9Z));SM(d18:1/18:0),C41H83N2O6P
48,732.5781,PE-Cer(d14:1(4E)/24:0(2OH));PE-Cer(d16:1(4E)/22:0(2OH)),C40H81N2O7P
49,732.6145,SM(d16:0/20:0);SM(d18:0/18:0);SM(d19:0/17:0),C41H85N2O6P
50,740.5832,"PE-Cer(d16:2(4E,6E)/24:1(15Z))",C42H81N2O6P
51,742.5989,"PE-Cer(d14:2(4E,6E)/26:0);PE-Cer(d16:1(4E)/24:1(15Z));PE-Cer(d16:2(4E,6E)/24:0)",C42H83N2O6P
52,744.5781,"PE-Cer(d15:2(4E,6E)/24:0(2OH))",C41H81N2O7P
53,744.6145,PE-Cer(d14:1(4E)/26:0);PE-Cer(d16:1(4E)/24:0);SM(d18:1/19:0);SM(d19:1/18:0),C42H85N2O6P
54,751.5,PI-Cer(d18:1/14:0),C38H74NO11P
55,753.5156,PI-Cer(d16:0(15Me(3OH))/14:0(13Me)),C38H76NO11P
56,754.5989,SM(d18:2/20:1),C43H83N2O6P
57,756.5781,"PE-Cer(d16:2(4E,6E)/24:1(15Z)(2OH))",C42H81N2O7P
58,756.6145,SM(d16:1/22:1);SM(d18:1/20:1);SM(d18:2/20:0),C43H85N2O6P
59,758.5938,"PE-Cer(d16:2(4E,6E)/24:0(2OH))",C42H83N2O7P
60,758.6302,SM(d16:1/22:0);SM(d18:1/20:0),C43H87N2O6P
61,760.6094,PE-Cer(d16:1(4E)/24:0(2OH)),C42H85N2O7P
62,760.6458,SM(d16:0/22:0);SM(d18:0/20:0),C43H89N2O6P
63,769.5105,PI-Cer(d16:0(15Me(3OH))/14:0(13Me(2OH)),C38H76NO12P
64,770.6302,SM(d18:2/21:0),C44H87N2O6P
65,772.6458,SM(d16:1/23:0);SM(d17:1/22:0);SM(d18:1/21:0);SM(d19:1/20:0);SM(d20:1/19:0),C44H89N2O6P
66,774.6615,SM(d16:0/23:0);SM(d17:0/22:0),C44H91N2O6P
67,779.5313,PI-Cer(d20:1/14:0),C40H78NO11P
68,781.5469,PI-Cer(d18:0/16:0);PI-Cer(d20:0/14:0),C40H80NO11P
69,782.6302,SM(d18:2/22:1),C45H87N2O6P
70,784.6458,SM(d16:1/24:1);SM(d18:1/22:1);SM(d18:2/22:0),C45H89N2O6P
71,786.6615,SM(d16:1/24:0);SM(d18:1/22:0),C45H91N2O6P
72,788.6771,SM(d16:0/24:0);SM(d18:0/22:0),C45H93N2O6P
73,797.5418,PI-Cer(d18:0/16:0(2OH));PI-Cer(t18:0/16:0);PI-Cer(t20:0/14:0),C40H80NO12P
74,798.6615,SM(d17:1/24:1);SM(d18:2/23:0),C46H91N2O6P
75,800.6771,SM(d16:1/25:0);SM(d17:1/24:0);SM(d18:1/23:0),C46H93N2O6P
76,802.6928,SM(d16:0/25:0);SM(d18:0/23:0),C46H95N2O6P
77,807.5626,PI-Cer(d20:1/16:0),C42H82NO11P
78,809.5782,PI-Cer(d18:0/18:0);PI-Cer(d20:0/16:0),C42H84NO11P
79,810.6615,SM(d18:2/24:1),C47H91N2O6P
80,812.6771,SM(d18:1/24:1(15Z));SM(d18:2/24:0),C47H93N2O6P
81,813.5367,PI-Cer(t18:0/16:0(2OH)),C40H80NO13P
82,814.6928,SM(d18:0/24:1(15Z));SM(d18:1/24:0),C47H95N2O6P
83,816.7084,SM(d18:0/24:0),C47H97N2O6P
84,825.5731,PI-Cer(d18:0/18:0(2OH));PI-Cer(d20:0/16:0(2OH));PI-Cer(t18:0/18:0);PI-Cer(t20:0/16:0),C42H84NO12P
85,826.6928,SM(d17:1/26:1);SM(d18:2/25:0);SM(d19:1/24:1),C48H95N2O6P
86,828.7084,SM(d18:1/25:0);SM(d19:0/24:1);SM(d19:1/24:0);SM(d20:1/23:0),C48H97N2O6P
87,837.6095,PI-Cer(d18:0/20:0);PI-Cer(d20:0/18:0),C44H88NO11P
88,840.7084,SM(d18:1/26:1(17Z)),C49H97N2O6P
89,841.568,PI-Cer(t18:0/18:0(2OH));PI-Cer(t20:0/16:0(2OH)),C42H84NO13P
90,842.7241,SM(d18:0/26:1(17Z));SM(d18:1/26:0);SM(d20:0/24:1),C49H99N2O6P
91,844.7397,SM(d17:0/27:0);SM(d18:0/26:0),C49H101N2O6P
92,853.6044,PI-Cer(d18:0/20:0(2OH));PI-Cer(d20:0/18:0(2OH));PI-Cer(t18:0/20:0);PI-Cer(t20:0/18:0),C44H88NO12P
93,863.6252,PI-Cer(d18:1/22:0),C46H90NO11P
94,865.6408,PI-Cer(d18:0/22:0);PI-Cer(d20:0/20:0),C46H92NO11P
95,869.5993,PI-Cer(t18:0/20:0(2OH));PI-Cer(t20:0/18:0(2OH)),C44H88NO13P
96,881.6357,PI-Cer(d18:0/22:0(2OH));PI-Cer(d20:0/20:0(2OH));PI-Cer(t18:0/22:0);PI-Cer(t20:0/20:0),C46H92NO12P
97,893.6721,PI-Cer(d18:0/24:0);PI-Cer(d20:0/22:0),C48H96NO11P
98,897.6306,PI-Cer(t18:0/22:0(2OH));PI-Cer(t20:0/20:0(2OH)),C46H92NO13P
99,909.667,PI-Cer(d18:0/24:0(2OH));PI-Cer(d20:0/22:0(2OH));PI-Cer(t18:0/24:0);PI-Cer(t20:0/22:0),C48H96NO12P
100,921.7034,PI-Cer(d18:0/26:0);PI-Cer(d20:0/24:0),C50H100NO11P
101,925.6619,PI-Cer(t18:0)/24:0(2OH[S]));PI-Cer(t18:0/24:0(2OH));PI-Cer(t20:0/22:0(2OH)),C48H96NO13P
102,937.6983,PI-Cer(d18:0/26:0(2OH));PI-Cer(d20:0/24:0(2OH));PI-Cer(t18:0/26:0);PI-Cer(t20:0/24:0),C50H100NO12P
103,943.5997,MIPC(d18:0/16:0),C46H90NO16P
104,949.7347,PI-Cer(d20:0/26:0),C52H104NO11P
105,953.6932,PI-Cer(t18:0/26:0(2OH));PI-Cer(t20:0/24:0(2OH)),C50H100NO13P
106,959.5946,MIPC(d18:0/16:0(2OH));MIPC(t18:0/16:0),C46H90NO17P
107,965.7296,PI-Cer(d20:0/26:0(2OH));PI-Cer(t20:0/26:0),C52H104NO12P
108,971.631,MIPC(d18:0/18:0);MIPC(d20:0/16:0),C48H94NO16P
109,975.5896,MIPC(t18:0/16:0(2OH)),C46H90NO18P
110,981.7245,PI-Cer(t20:0/26:0(2OH)),C52H104NO13P
111,987.6259,MIPC(d18:0/18:0(2OH));MIPC(d20:0/16:0(2OH));MIPC(t18:0/18:0);MIPC(t20:0/16:0),C48H94NO17P
112,999.6623,MIPC(d18:0/20:0);MIPC(d20:0/18:0),C50H98NO16P
113,1003.6209,MIPC(t18:0/18:0(2OH));MIPC(t20:0/16:0(2OH)),C48H94NO18P
114,1015.6572,MIPC(d18:0/20:0(2OH));MIPC(d20:0/18:0(2OH));MIPC(t18:0/20:0);MIPC(t20:0/18:0),C50H98NO17P
115,1027.6936,MIPC(d18:0/22:0);MIPC(d20:0/20:0),C52H102NO16P
116,1031.6522,MIPC(t18:0/20:0(2OH));MIPC(t20:0/18:0(2OH)),C50H98NO18P
117,1043.6885,MIPC(d18:0/22:0(2OH));MIPC(d20:0/20:0(2OH));MIPC(t18:0/22:0);MIPC(t20:0/20:0),C52H102NO17P
118,1055.7249,MIPC(d18:0/24:0);MIPC(d20:0/22:0),C54H106NO16P
119,1059.6835,MIPC(t18:0/22:0(2OH));MIPC(t20:0/20:0(2OH)),C52H102NO18P
120,1071.7198,MIPC(d18:0/24:0(2OH));MIPC(d20:0/22:0(2OH));MIPC(t18:0/24:0);MIPC(t20:0/22:0),C54H106NO17P
121,1083.7562,MIPC(d18:0/26:0);MIPC(d20:0/24:0),C56H110NO16P
122,1087.7148,MIPC(t18:0/24:0(2OH));MIPC(t20:0/22:0(2OH)),C54H106NO18P
123,1099.7511,MIPC(d18:0/26:0(2OH));MIPC(d20:0/24:0(2OH));MIPC(t18:0/26:0);MIPC(t20:0/24:0),C56H110NO17P
124,1111.7875,MIPC(d20:0/26:0),C58H114NO16P
125,1115.7461,MIPC(t18:0/26:0(2OH));MIPC(t20:0/24:0(2OH)),C56H110NO18P
126,1127.7824,MIPC(d20:0/26:0(2OH));MIPC(t20:0/26:0),C58H114NO17P
127,1143.7774,MIPC(t20:0/26:0(2OH)),C58H114NO18P
128,1185.6189,M(IP)2C(d18:0/16:0),C52H101NO24P2
129,1201.6138,M(IP)2C(d18:0/16:0(2OH));M(IP)2C(t18:0/16:0),C52H101NO25P2
130,1213.6502,M(IP)2C(d18:0/18:0);M(IP)2C(d20:0/16:0),C54H105NO24P2
131,1217.6087,M(IP)2C(t18:0/16:0(2OH)),C52H101NO26P2
132,1229.6451,M(IP)2C(d18:0/18:0(2OH));M(IP)2C(d20:0/16:0(2OH));M(IP)2C(t18:0/18:0);M(IP)2C(t20:0/16:0),C54H105NO25P2
133,1241.6815,M(IP)2C(d18:0/20:0);M(IP)2C(d20:0/18:0),C56H109NO24P2
134,1245.64,M(IP)2C(t18:0/18:0(2OH));M(IP)2C(t20:0/16:0(2OH)),C54H105NO26P2
135,1257.6764,M(IP)2C(d18:0/20:0(2OH));M(IP)2C(d20:0/18:0(2OH));M(IP)2C(t18:0/20:0);M(IP)2C(t20:0/18:0),C56H109NO25P2
136,1260.7472,GlcN-alpha1-4-GlcUA-alpha1-2-PI-Cer(t18:1/24:0(2OH)),C60H113N2O23P
137,1269.7128,M(IP)2C(d18:0/22:0);M(IP)2C(d20:0/20:0),C58H113NO24P2
138,1273.6713,M(IP)2C(t18:0/20:0(2OH));M(IP)2C(t20:0/18:0(2OH)),C56H109NO26P2
139,1285.7077,M(IP)2C(d18:0/22:0(2OH));M(IP)2C(d20:0/20:0(2OH));M(IP)2C(t18:0/22:0);M(IP)2C(t20:0/20:0),C58H113NO25P2
140,1297.7441,M(IP)2C(d18:0/24:0);M(IP)2C(d20:0/22:0),C60H117NO24P2
141,1301.7026,M(IP)2C(t18:0/22:0(2OH));M(IP)2C(t20:0/20:0(2OH)),C58H113NO26P2
