,MASS,COMMON_NAME,FORMULA
0,218.079,Triacetin,C9H14O6
1,500.3349,TG(18:0(11S-acetoxy)/2:0/2:0),C27H48O8
2,554.4546,"1,2,3-tricaprinoyl-glycerol",C33H62O6
3,614.3244,"1,2-(8R,9R-epoxy-octadec-13Z,15Z-dien-4,6-diynoyl)-sn-glycerol",C38H46O7
4,638.5485,Trilauroyl-glycerol,C39H74O6
5,652.5642,TG(12:0/12:0/13:0)[iso3],C40H76O6
6,664.5642,TG(12:0/12:0/14:1(9Z))[iso3],C41H76O6
7,666.5798,TG(12:0/12:0/14:0)[iso3];TG(12:0/13:0/13:0)[iso3],C41H78O6
8,678.5798,TG(12:0/12:0/15:1(9Z))[iso3];TG(12:0/13:0/14:1(9Z))[iso6],C42H78O6
9,680.5955,TG(12:0/12:0/15:0)[iso3];TG(12:0/13:0/14:0)[iso6];TG(13:0/13:0/13:0),C42H80O6
10,690.5798,TG(12:0/14:1(9Z)/14:1(9Z))[iso3],C43H78O6
11,692.5955,TG(12:0/12:0/16:1(9Z))[iso3];TG(12:0/13:0/15:1(9Z))[iso6];TG(12:0/14:0/14:1(9Z))[iso6];TG(13:0/13:0/14:1(9Z))[iso3],C43H80O6
12,694.6111,TG(12:0/12:0/16:0)[iso3];TG(12:0/13:0/15:0)[iso6];TG(12:0/14:0/14:0)[iso3];TG(13:0/13:0/14:0)[iso3],C43H82O6
13,704.5955,"TG(12:0/12:0/17:2(9Z,12Z))[iso3];TG(12:0/14:1(9Z)/15:1(9Z))[iso6];TG(13:0/14:1(9Z)/14:1(9Z))[iso3]",C44H80O6
14,706.6111,TG(12:0/12:0/17:1(9Z))[iso3];TG(12:0/13:0/16:1(9Z))[iso6];TG(12:0/14:0/15:1(9Z))[iso6];TG(12:0/14:1(9Z)/15:0)[iso6];TG(13:0/13:0/15:1(9Z))[iso3];TG(13:0/14:0/14:1(9Z))[iso6],C44H82O6
15,708.6268,TG(12:0/12:0/17:0)[iso3];TG(12:0/13:0/16:0)[iso6];TG(12:0/14:0/15:0)[iso6];TG(13:0/13:0/15:0)[iso3];TG(13:0/14:0/14:0)[iso3],C44H84O6
16,714.5798,"TG(12:0/12:0/18:4(6Z,9Z,12Z,15Z))[iso3]",C45H78O6
17,716.5955,"TG(12:0/12:0/18:3(6Z,9Z,12Z))[iso3];TG(12:0/12:0/18:3(9Z,12Z,15Z))[iso3];TG(14:1(9Z)/14:1(9Z)/14:1(9Z))",C45H80O6
18,718.6111,"TG(12:0/12:0/18:2(9Z,12Z))[iso3];TG(12:0/13:0/17:2(9Z,12Z))[iso6];TG(12:0/14:1(9Z)/16:1(9Z))[iso6];TG(12:0/15:1(9Z)/15:1(9Z))[iso3];TG(13:0/14:1(9Z)/15:1(9Z))[iso6];TG(14:0/14:1(9Z)/14:1(9Z))[iso3]",C45H82O6
19,720.6268,TG(12:0/12:0/18:1(9Z))[iso3];TG(12:0/13:0/17:1(9Z))[iso6];TG(12:0/14:0/16:1(9Z))[iso6];TG(12:0/14:1(9Z)/16:0)[iso6];TG(12:0/15:0/15:1(9Z))[iso6];TG(13:0/13:0/16:1(9Z))[iso3];TG(13:0/14:0/15:1(9Z))[iso6];TG(13:0/14:1(9Z)/15:0)[iso6];TG(14:0/14:0/14:1(9Z))[iso3],C45H84O6
20,722.6424,TG(12:0/12:0/18:0)[iso3];TG(12:0/13:0/17:0)[iso6];TG(12:0/14:0/16:0)[iso6];TG(12:0/15:0/15:0)[iso3];TG(13:0/13:0/16:0)[iso3];TG(13:0/14:0/15:0)[iso6];TG(14:0/14:0/14:0),C45H86O6
21,728.5955,"TG(12:0/13:0/18:4(6Z,9Z,12Z,15Z))[iso6]",C46H80O6
