,MASS,COMMON_NAME,FORMULA
0,312.2089,"pregna-4,9(11)-diene-3,20-dione",C21H28O2
1,344.2715,-,C23H36O2
2,354.2923,-,C25H38O
3,356.3079,"26,27-bisnor-22-dehydro-cholesterol",C25H40O
4,362.1882,Bufogargarizin C,C24H26O3
5,366.1831,Bufogargarizin D,C23H26O4
6,370.3236,-;19-norcholestenone,C26H42O
7,370.36,-,C27H46
8,372.3392,24-norcholesterol,C26H44O
9,372.3756,-,C27H48
10,374.2457,Digitoxigenin,C23H34O4
11,374.3549,19-norcholestanol,C26H46O
12,378.2923,-,C27H38O
13,380.3079,Pentalinonsterol,C27H40O
14,382.2872,-,C26H38O2
15,382.3236,"-;1,4-cholestadienone;3,5-cholestadien-7-one;4,6-cholestadienone;7-dehydro-desmosterol;Glaucasterol;Zymosterone",C27H42O
16,384.2301,Bufohydrolide B;Resibufogenin;Scillarenin,C24H32O4
17,384.3392,"-;1-(5alpha)-cholestenone;22-dehydrocholesterol;22Z-dehydrocholesterol;24,26-cyclocholesterol;3-ketocholesterol;4,6-cholestadienol;5, 20(22)-cholestadienol;5alpha-cholesta-7,24-dien-3beta-ol;7-dehydrocholesterol;8-Dehydrocholesterol;Cholestenone;Cystosterol;Desmosterol;Lumisterol 3;Occelasterol;Zymosterol",C27H44O
18,386.2093,-,C23H30O5
19,386.2457,Bufalin,C24H34O4
20,386.3549,-;15-dehydro-A-norcholestanol;4-cholestenol;5alpha-cholestanone;5beta-cholestanone;Cholesterol;Epicholesterol;Lathosterol;Patinosterol;Zymostenol,C27H46O
21,387.3501,25-Azacholesterol,C26H45NO
22,388.225,cannogenin,C23H32O5
23,388.2614,sarmentogenin,C24H36O4
24,388.3705,Coprostanol;Dihydrocholesterol;Epi-cholestanol,C27H48O
25,390.2406,Digoxigenin;gitoxigenin,C23H34O5
26,390.3763,-;Desmosterol(d6),C27H38D6O
27,391.3824,7-dehydrocholesterol-d7,C27H37D7O
28,392.3079,"Ergosta-4,6,8(14),22E-tetraen-3-one",C28H40O
29,393.3981,Cholesterol(d7);Zymostenol-d7,C27H39D7O
30,394.3236,"Dehydroergosterol;Ergosta-5,7,22E,24(28)-tetraenol;ergosta-5,7,22,24(28)-tetraen-3beta-ol",C28H42O
