,MASS,COMMON_NAME,FORMULA
0,87.0684,Butyramide,C4H9NO
1,101.0477,acetoacetamide,C4H7NO2
2,101.0841,pentanamide,C5H11NO
3,116.0586,Succinamide,C4H8N2O2
4,129.1154,N-methyl hexanamide,C7H15NO
5,131.0582,glutaramic acid,C5H9NO3
6,143.0219,N-formylmaleamic acid,C5H5NO4
7,144.0899,Adipamide,C6H12N2O2
8,147.032,Agrocybin,C8H5NO2
9,157.1103,"N,N-diethyl-3-hydroxybut-2-enamide",C8H15NO2
10,159.0532,N-methyl-2-oxoglutaramic acid,C6H9NO4
11,171.0895,N-butanoyl-homoserine lactone;N-butanoyl-l-homoserine lactone,C8H13NO3
12,171.1623,"N,2,3-Trimethyl-2-(1-methylethyl)butanamide;decanamide",C10H21NO
13,181.1467,N-Ethyl trans-2-cis-6-nonadienamide,C11H19NO
14,185.0688,N-(3-oxo-butanoyl)-homoserine lactone,C8H11NO4
15,185.1052,N-isovaleryl-homoserine lactone;N-pentanoyl-homoserine lactone,C9H15NO3
16,187.0845,N-(3-hydroxy-butanoyl)-homoserine lactone;N-(3S-hydroxy-butanoyl)-homoserine lactone,C8H13NO4
17,193.1467,N-Cyclopropyl-trans-2-cis-6-nonadienamide,C12H19NO
18,197.1052,Rehmagluamide,C10H15NO3
19,199.0845,N-(3-oxo-pentanoyl)-homoserine lactone,C9H13NO4
20,199.1208,N-hexanoyl-homoserine lactone,C10H17NO3
21,199.1936,dodecanamide,C12H25NO
22,201.1001,N-(3-hydroxy-pentanoyl)-homoserine lactone,C9H15NO4
23,204.111,N-(3-carboxypropanoyl)-N-hydroxyputrescine,C8H16N2O4
24,205.0595,lipoamide,C8H15NOS2
25,205.1314,Pantothenol,C9H19NO4
26,207.0752,(R)-dihydrolipoamide;Dihydrolipoamide,C8H17NOS2
27,213.1001,N-(3-oxo-hexanoyl)-homoserine lactone,C10H15NO4
28,213.1365,N-heptanoyl-homoserine lactone,C11H19NO3
29,213.2093,Tridecanamide,C13H27NO
30,214.2045,12-amino-dodecanoicacid,C12H26N2O
31,216.111,Sakacin P,C9H16N2O4
32,218.1267,N-(3-carboxypropanoyl)-N-hydroxycadaverine,C9H18N2O4
33,223.1208,Cerulenin,C12H17NO3
34,223.1936,"(E,E)-2,4-Decadienoic isobutylamide",C14H25NO
35,227.1158,N-(3-oxo-heptanoyl)-homoserine lactone,C11H17NO4
36,227.1521,N-octanoyl-homoserine lactone,C12H21NO3
37,229.0773,N-(3-oxo-hexanoyl)-homoserine thiolactone,C10H15NO3S
38,229.1314,N-(3-hydroxy-heptanoyl)-homoserine lactone,C11H19NO4
39,229.1467,"(2E,4E)-N-isobutylundeca-2,4-dien-8,10-diynamide;2,4-Undecadiene-8,10-diynoic acid isobutylamide;Neopellitorine A",C15H19NO
40,231.0895,Cinnamoyl-homoserine lactone,C13H13NO3
