,MASS,COMMON_NAME,FORMULA
0,86.0368,Dihydrofuran-2(3H)-one,C4H6O2
1,88.0524,Methyl propionate,C4H8O2
2,100.0524,ethyl 2E-propenoate;gamma-valerolactone,C5H8O2
3,102.0681,Methyl butyrate;ethyl propionate,C5H10O2
4,114.0681,Ethyl crotonate;Methyl 4-pentenoate;gamma-caprolactone,C6H10O2
5,116.0473,methyl 3-hydroxybut-2-enoate,C5H8O3
6,116.0837,3-Methyl-2-butenyl formate;Ethyl butyrate;Methyl (S)-2-Methylbutanoate;Methyl 3-methylbutanoate;Methyl pentanoate;ethyl 2-methyl-propionyl;propyl propionate,C6H12O2
7,118.063,Methyl 3-hydroxy-butanoate,C5H10O3
8,126.0681,Methyl sorbate,C7H10O2
9,128.0473,3-Acetyldihydro-2(3H)-furanone,C6H8O3
10,128.0837,4-heptanolide;Allyl butyrate;Ethyl 4-pentenoate;Ethyl tiglate;Methyl (Z)-3-hexenoate;Methyl 2E-hexenoate;cis-2-Methyl-5-hexanolide,C7H12O2
11,130.0266,Methyl hydrogen fumarate,C5H6O4
12,130.063,4-Hydroxy-4-methyltetrahydro-2H-pyran-2-one,C6H10O3
13,130.0994,2-Methylpropyl propionate;Ethyl pentanoate;Isopropyl butyrate;Methyl 2-methylpentanoate;Methyl 4-methylpentanoate;Methyl hexanoate;Pentyl acetate;ethyl 2-methyl-butanoate;ethyl 3-methyl-butanoate;propionyl butyrate,C7H14O2
14,134.0402,Methyl 3-mercaptobutanoate,C5H10O2S
15,140.0473,HOHA lactone,C7H8O3
16,140.0837,"2E,4E-Hexadienyl acetate;2E,5-Hexadienyl acetate;Allyl tiglate;Ethyl 2-methyl-3,4-pentadienoate;Ethyl sorbate",C8H12O2
17,142.063,3-acetyl-3-methyldihydrofuran-2(3H)-one,C7H10O3
18,142.0994,"(E)-2-Butenyl butyrate;1-Hexenyl acetate;2-Methylallyl butyrate;2-Methylpropyl (2E)-butenoate;2-Propenyl 3-methylbutanoate;2E-Hexenyl acetate;2S,4R-Dimethyl-5S-hexanolide;3-Methyl-2-butenyl propionate;3E-Hexenyl acetate;3Z-Hexenyl acetate;Allyl valerate;Ethyl (E)-3-hexenoate;Ethyl 2-methyl-4-pentenoate;Ethyl 2E-hexenoate;Ethyl trans-2-methyl-2-pentenoate;Isopropyl tiglate;Methyl 2-heptenoate;delta-octanolide;gamma-octanolide",C8H14O2
19,144.0423,Ethyl hydrogen fumarate,C6H8O4
20,144.0786,2S-Hydroxy-2-isopropylbutano-3S-lactone;Methyl (R)-3-methyl-2-oxopentanoate;isopropyl 3-hydroxybut-2-enoate,C7H12O3
21,144.115,2-Methylpropyl 2-methylpropionate;2-Methylpropyl butanoate;3-Methylbutyl propionate;Ethyl 2-ethylbutanoate;Ethyl 2-methylpentanoate;Ethyl 3-methylpentanoate;Ethyl 4-methylpentanoate;Hexyl acetate;Isopropyl 2-methylbutanoate;Isopropyl 3-methylbutanoate;Methyl 5-methylhexanoate;Methyl heptanoate;Propyl 3-methylbutanoate;Propyl pentanoate;butryl butyrate;ethyl hexanoate,C8H16O2
22,146.0943,(+/-)-Ethyl 2-hydroxy-2-methylbutyrate;Methyl DL-Leucate,C7H14O3
23,148.0558,Ethyl 3-mercaptobutyrate;Methyl 2-(methylthio)butyrate;Methyl 3-(methylthio)butanoate;Methyl 4-(methylthio)butyrate;Methylthiomethyl butyrate,C6H12O2S
24,152.0473,Methyl furfuracrylate,C8H8O3
25,152.0837,"2,6Z-Nonadien-4-olide;2-Propenyl 2,4-hexadienoate",C9H12O2
26,154.063,HOOA lactone,C8H10O3
27,154.0994,(2-Hydroxymethyl-cyclohexyl)-acetic acid lactone;2-nonen-4-olide;Allyl hexenoate;Methyl 2-octynoate,C9H14O2
28,156.115,(E)-2-Methyl-2-butenyl butyrate;2-Propenyl 2-ethylbutanoate;2-Propenyl hexanoate;2E-Heptenyl acetate;3-Methylenehexyl acetate;Isobutyl angelate;Isopropyl 2-methyl-2E-pentenoate ;Methyl (E)-2-octenoate;Methyl 2-octenoate;Methyl 4Z-octenoate;cis-Ethyl 4-heptenoate;gamma-nonanolide,C9H16O2
29,158.0943,1-Methyl-2-oxopropyl butyrate,C8H14O3
30,158.1307,1-Methylbutyl 3-methylbutanoate;1-Methylbutyl butanoate;2-Methylbutyl 2-methylpropionate;2-Methylbutyl butyrate;2-Methylpropyl 2-methylbutanoate;2-Methylpropyl 3-methylbutanoate;3-Methylbutyl 2-methylpropionate;3-Methylbutyl butyrate;Butyl pentanoate;Heptyl acetate;Isopropyl hexanoate;Methyl octanoate;Octyl formate;Oenanthic ether;Pentyl butanoate;butyl 2-methyl-butanoate;hexyl propionate;propionyl hexanoate,C9H18O2
31,160.0736,Dihydro-3-hydroxy-3-(1-hydroxyethyl)-4-methylfuran-2(3H)-one,C7H12O4
32,160.1099,(+/-)-Ethyl 2-hydroxy-3-methylvalerate;ethyl 3-hydroxy-hexanoate,C8H16O3
33,162.0715,Ethyl 4-(methylthio)butyrate,C7H14O2S
34,164.0837,Methyl 3-phenylpropanoate,C10H12O2
35,168.0786,2-Furanylmethyl butanoate,C9H12O3
36,168.115,"2,4-Hexadienyl butyrate;2E,4E-Octadienyl acetate;2E,6E-Octadienyl acetate;2E,6Z-Octadienyl acetate;2E,7-Octadienyl acetate;Ethyl (4Z)-4,7-octadienoate;Methyl octynecarboxylate;Tiglyl tiglate;Trans-eldanolide;butyl 2E,4E-hexadienoate;cis-3-Hexenyl crotonate;cis-eldanolide;propyl 2-heptynoate",C10H16O2
37,170.1307,(E)-2-Hexenyl butyrate;(R)-gamma-Decalactone;10-Methyloxecan-2-one;2-Methylbutyl 3-methyl-2-butenoate;2-Propenyl heptanoate;2E-Octenyl acetate;3Z-Hexenyl butyrate;3Z-Hexenyl isobutyrate;3Z-Octenyl acetate;Cyclohexyl butanoate;Delta-decalactone;Ethyl (E)-2-octenoate;Ethyl 4Z-octenoate;Hexyl crotonate;Isopentyl 3-methyl-2-butenoate;Methyl 2-nonenoate;Methyl 6E-nonenoate;ethyl 3E-octenoate;ethyl 4Z-octenoate,C10H18O2
38,172.0524,"Methyl (Z)-2-decene-4,6,8-triynoate;Nemotin",C11H8O2
39,172.1463,2-Methylbutyl 2-methylbutanoate;2-Methylbutyl 3-methylbutanoate;2-Methylpropyl hexanoate;2-Pentyl 3-methylbutanoate;3-Methylbutyl 2-methylbutanoate;3-Methylbutyl pentanoate;Ethyl 2-ethylhexanoate;Isopentyl isopentanoate;Methyl 4-methyl-octanoate;Methyl nonanoate;Octyl acetate;Pentyl 3-methylbutanoate;Propyl heptanoate;butyl hexanoate;ethyl 4-methyl-heptanoate;ethyl octanoate;hexyl butyrate,C10H20O2
40,174.1494,Butyrylcholine,C9H20NO2
41,176.0837,"2-Decene-4,6-diynoic acid, methyl ester, (E)-",C11H12O2
42,176.0871,Methylthiomethyl hexanoate,C8H16O2S
43,178.0994,Methyl 4-phenylbutanoate,C11H14O2
44,180.0786,Propyl 2-furanacrylate,C10H12O3
45,180.115,"7E,10-undecadien-4-olide;Methyl 2E,4E,6Z-decatrienoate;Methyl 2E,4Z,6Z-decatrienoate;Methyl 2Z,4E,6Z-decatrienoate",C11H16O2
46,182.0943,Furfuryl isovalerate;Furfuryl pentanoate;Modiolide B,C10H14O3
47,182.1307,"(E)-2-Hexenyl 2-methyl-(E)-2-butenoate;(E)-3,7-Dimethyl-2,6-octadienyl formate;(Z)-3,7-Dimethyl-2,6-octadienyl formate;Ethyl octynecarboxylate;Methyl 2E,4E-decadienoate;Methyl 2E,4Z-decadienoate;cis-3-Hexenyl tiglate",C11H18O2
48,184.1099,Poprunellelactone,C10H16O3
49,184.1463,"(Z)-3-Hexenyl 3-methylbutanoate;11-undecanolactone;2-Hexenyl isovalerate;2-Hexenyl valerate;2-Nonenyl acetate;2-Propenyl octanoate;3-Hexenyl 2-methylbutyrate;5-Octenyl propanoate;6E-Nonenyl acetate;Cyclohexyl 3-methylbutanoate;Cyclohexyl pentanoate;Ethyl 3-cyclohexylpropionate;Methyl 2-decenoate;Methyl 3,7-dimethyl-6E-octenoate;Methyl 4Z-decenoate;Pent-2-enyl hexanoate;cis-3-Hexenyl 2-methylbutanoate;cis-3-Hexenyl pentanoate;cis-3-Octenyl propionate;gamma-undecalactone;trans-2-Hexenyl 2-methylbutyrate",C11H20O2
50,186.0681,Odyssin,C12H10O2
