,MASS,COMMON_NAME
0,34.96885271,"Chloride ion; Chloride(1-); Chlorine anion; CL(-); Chloride; Bertholite; Chloor; Chlor; Chlore; Chlorine; Chlorine gas; Cl; Cl2; Diatomic chlorine; Dichlorine; Molecular chlorine; Chloride ion level; Ion level, chloride; Chlorides; Level, chloride ion; MSR-1 Protein, nicotiana plumbaginifolia; PLS216 Protein, nicotiana plumbaginifolia"
1,74.00039393,"Glyoxylic acid; alpha-Ketoacetic acid; Formylformic acid; Glyoxalate; Glyoxalsaeure; Glyoxylate; Glyoxylsaeure; Oxalaldehydic acid; Oxoethanoic acid; a-Ketoacetate; a-Ketoacetic acid; alpha-Ketoacetate; Α-ketoacetate; Α-ketoacetic acid; Formylformate; Glyoxalic acid; Oxalaldehydate; Oxoethanoate; Oxoacetate; Oxoacetic acid; Glyoxylic acid, 2-(14)C-labeled; Glyoxylic acid, sodium salt; Glyoxylic acid, sodium salt, 2-(14)C-labeled; Glyoxylic acid, 14c2-labeled; Glyoxylic acid, calcium salt; Glyoxylic acid, sodium salt, 14C-labeled"
2,89.04767847,"L-Alanine; (2S)-2-Aminopropanoic acid; (S)-2-Aminopropanoic acid; (S)-Alanine; A; Ala; ALANINE; L-2-Aminopropionic acid; L-Alanin; L-alpha-Alanine; (2S)-2-Aminopropanoate; (S)-2-Aminopropanoate; L-2-Aminopropionate; L-a-Alanine; L-Α-alanine; (S)-(+)-Alanine; (S)-2-Amino-propanoate; (S)-2-Amino-propanoic acid; 2-Aminopropanoate; 2-Aminopropanoic acid; 2-Aminopropionate; 2-Aminopropionic acid; 2-Ammoniopropanoate; 2-Ammoniopropanoic acid; a-Alanine; a-Aminopropionate; a-Aminopropionic acid; alpha-Alanine; alpha-Aminopropanoate; alpha-Aminopropanoic acid; alpha-Aminopropionate; alpha-Aminopropionic acid; L-(+)-Alanine; L-2-Aminopropanoate; L-2-Aminopropanoic acid; L-a-Aminopropionate; L-a-Aminopropionic acid; L-alpha-Aminopropionate; L-alpha-Aminopropionic acid; Abufène; Alanine doms-adrian brand; Alanine, L-isomer; Doms-adrian brand OF alanine; Doms adrian brand OF alanine; L-Isomer alanine; Alanine, L isomer; L Alanine"
3,90.03169406,"L-Lactic acid; (+)-Lactic acid; (S)-(+)-Lactic acid; (S)-2-Hydroxypropanoic acid; (S)-2-Hydroxypropionic acid; L-(+)-alpha-Hydroxypropionic acid; L-(+)-Lactic acid; L-Milchsaeure; L-Lactate; (+)-Lactate; (S)-(+)-Lactate; (S)-2-Hydroxypropanoate; (S)-2-Hydroxypropionate; L-(+)-a-Hydroxypropionate; L-(+)-a-Hydroxypropionic acid; L-(+)-alpha-Hydroxypropionate; L-(+)-Α-hydroxypropionate; L-(+)-Α-hydroxypropionic acid; L-(+)-Lactate; (alpha)-Lactate; (alpha)-Lactic acid; (S)-(+)-2-Hydroxypropanoate; (S)-(+)-2-Hydroxypropanoic acid; (S)-2-Hydroxy-propanoate; (S)-2-Hydroxy-propanoic acid; (S)-Lactate; (S)-Lactic acid; 1-Hydroxyethane 1-carboxylate; 1-Hydroxyethane 1-carboxylic acid; 1-Hydroxyethanecarboxylate; 1-Hydroxyethanecarboxylic acid; 2-Hydroxypropanoate; 2-Hydroxypropanoic acid; 2-Hydroxypropionate; a-Hydroxypropanoate; a-Hydroxypropanoic acid; a-Hydroxypropionate; a-Hydroxypropionic acid; alpha-Hydroxypropanoate; alpha-Hydroxypropanoic acid; alpha-Hydroxypropionate; alpha-Hydroxypropionic acid; L-(+)- Lactic acid; L-2-Hydroxypropanoate; L-2-Hydroxypropanoic acid; Lactate; Lactic acid; Milk acid; Sarcolactic acid; 2-Hydroxypropionic acid; D-Lactic acid; D Lactic acid; Lactate, ammonium; 2 Hydroxypropanoic acid; 2 Hydroxypropionic acid; Ammonium lactate; L Lactic acid; L-Lactic acid; D-Lactate"
4,105.0425931,"L-Serine; (2S)-2-Amino-3-hydroxypropanoic acid; (S)-(-)-Serine; (S)-2-Amino-3-hydroxypropanoic acid; (S)-alpha-Amino-beta-hydroxypropionic acid; (S)-Serine; beta-Hydroxy-L-alanine; beta-Hydroxyalanine; L-(-)-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-2-aminopropionic acid; L-3-Hydroxy-alanine; L-Ser; L-Serin; S; Ser; SERINE; (2S)-2-Amino-3-hydroxypropanoate; (S)-2-Amino-3-hydroxypropanoate; (S)-a-Amino-b-hydroxypropionate; (S)-a-Amino-b-hydroxypropionic acid; (S)-alpha-Amino-beta-hydroxypropionate; (S)-Α-amino-β-hydroxypropionate; (S)-Α-amino-β-hydroxypropionic acid; b-Hydroxy-L-alanine; Β-hydroxy-L-alanine; b-Hydroxyalanine; Β-hydroxyalanine; L-2-Amino-3-hydroxypropionate; L-3-Hydroxy-2-aminopropionate; (-)-Serine; (S)-2-Amino-3-hydroxy-propanoate; (S)-2-Amino-3-hydroxy-propanoic acid; (S)-b-Amino-3-hydroxypropionate; (S)-b-Amino-3-hydroxypropionic acid; (S)-beta-Amino-3-hydroxypropionate; (S)-beta-Amino-3-hydroxypropionic acid; 2-Amino-3-hydroxypropanoate; 2-Amino-3-hydroxypropanoic acid; 3-Hydroxy-L-alanine; L Serine; (3R,3'r,6S)-4,5-DIDEHYDRO-5,6-dihydro-BETA,BETA-carotene-3,3'-diol; Bo-xan; e 161b; Xanthophyll; (3R,3'r,6S)-4,5-DIDEHYDRO-5,6-dihydro-b,b-carotene-3,3'-diol; (3R,3'r,6S)-4,5-DIDEHYDRO-5,6-dihydro-β,β-carotene-3,3'-diol"
5,112.0272774,"Uracil; 2,4(1H,3H)-Pyrimidinedione; 2,4-Dioxopyrimidine; 2,4-Pyrimidinedione; U; Ura; Urazil; 2,4-Dihydroxypyrimidine; 2,4-Pyrimidinediol; Hybar X; Pirod; Pyrod"
6,115.0633285,L-Proline; (-)-(S)-Proline; (-)-2-Pyrrolidinecarboxylic acid; (-)-Proline; (2S)-Pyrrolidine-2-carboxylic acid; (S)-2-Carboxypyrrolidine; (S)-2-Pyrrolidinecarboxylic acid; (S)-Pyrrolidine-2-carboxylic acid; 2-Pyrrolidinecarboxylic acid; L-(-)-Proline; L-alpha-Pyrrolidinecarboxylic acid; L-Prolin; L-Pyrrolidine-2-carboxylic acid; P; Prolina; PROLINE; Prolinum; (-)-2-Pyrrolidinecarboxylate; (2S)-Pyrrolidine-2-carboxylate; (S)-2-Pyrrolidinecarboxylate; (S)-Pyrrolidine-2-carboxylate; 2-Pyrrolidinecarboxylate; L-a-Pyrrolidinecarboxylate; L-a-Pyrrolidinecarboxylic acid; L-alpha-Pyrrolidinecarboxylate; L-Α-pyrrolidinecarboxylate; L-Α-pyrrolidinecarboxylic acid; L-Pyrrolidine-2-carboxylate; (S)-(-)-Proline; (S)-(-)-Pyrrolidine-2-carboxylate; (S)-(-)-Pyrrolidine-2-carboxylic acid; (S)-2-Pyrralidinecarboxylate; (S)-2-Pyrralidinecarboxylic acid; (S)-Proline; L Proline
7,119.0582432,"L-Threonine; (2S)-Threonine; (2S,3R)-(-)-Threonine; (2S,3R)-2-Amino-3-hydroxybutanoic acid; 2-Amino-3-hydroxybutyric acid; L-(-)-Threonine; L-2-Amino-3-hydroxybutyric acid; L-alpha-Amino-beta-hydroxybutyric acid; L-Threonin; T; Thr; THREONINE; (2S,3R)-2-Amino-3-hydroxybutanoate; 2-Amino-3-hydroxybutyrate; L-2-Amino-3-hydroxybutyrate; L-a-Amino-b-hydroxybutyrate; L-a-Amino-b-hydroxybutyric acid; L-alpha-Amino-beta-hydroxybutyrate; L-Α-amino-β-hydroxybutyrate; L-Α-amino-β-hydroxybutyric acid; (2S,3R)-2-Amino-3-hydroxybutyrate; (2S,3R)-2-Amino-3-hydroxybutyric acid; (R-(R*,s*))-2-amino-3-hydroxybutanoate; (R-(R*,s*))-2-amino-3-hydroxybutanoic acid; (S)-Threonine; 2-Amino-3-hydroxybutanoate; 2-Amino-3-hydroxybutanoic acid; Threonin; [R-(R*,s*)]-2-amino-3-hydroxy-butanoate; [R-(R*,s*)]-2-amino-3-hydroxy-butanoic acid; [R-(R*,s*)]-2-amino-3-hydroxybutanoate; [R-(R*,s*)]-2-amino-3-hydroxybutanoic acid; L Threonine"
8,131.0946287,"L-Isoleucine; (2S,3S)-2-Amino-3-methylpentanoic acid; 2-Amino-3-methylvaleric acid; alpha-Amino-beta-methylvaleric acid; I; Ile; ISOLEUCINE; (2S,3S)-2-Amino-3-methylpentanoate; 2-Amino-3-methylvalerate; a-Amino-b-methylvalerate; a-Amino-b-methylvaleric acid; alpha-Amino-beta-methylvalerate; Α-amino-β-methylvalerate; Α-amino-β-methylvaleric acid; (2S,3S)-2-Amino-3-methyl-pentanoate; (2S,3S)-2-Amino-3-methyl-pentanoic acid; (2S,3S)-a-Amino-b-methyl-N-valerate; (2S,3S)-a-Amino-b-methyl-N-valeric acid; (2S,3S)-a-Amino-b-methylvalerate; (2S,3S)-a-Amino-b-methylvaleric acid; (2S,3S)-Alph-amino-beta-methylvalerate; (2S,3S)-Alph-amino-beta-methylvaleric acid; (2S,3S)-alpha-Amino-beta-merthyl-N-valerate; (2S,3S)-alpha-Amino-beta-merthyl-N-valeric acid; (2S,3S)-alpha-Amino-beta-merthylvalerate; (2S,3S)-alpha-Amino-beta-merthylvaleric acid; (2S,3S)-alpha-Amino-beta-methyl-N-valerate; (2S,3S)-alpha-Amino-beta-methyl-N-valeric acid; (2S,3S)-alpha-Amino-beta-methylvalerate; (2S,3S)-alpha-Amino-beta-methylvaleric acid; (S)-Isoleucine; (S,S)-Isoleucine; 2-Amino-3-methylpentanoate; 2-Amino-3-methylpentanoic acid; 2S,3S-Isoleucine; Erythro-L-isoleucine; Iso-leucine; L-(+)-Isoleucine; L-Ile; [S-(R*,r*)]-2-amino-3-methylpentanoate; [S-(R*,r*)]-2-amino-3-methylpentanoic acid; Isoleucine, L-isomer; Alloisoleucine; Isoleucine, L isomer; L-Isomer isoleucine; 2S-Amino-3S-methylpentanoate; L-Isoleucine"
9,132.0534921,"L-Asparagine; (2S)-2,4-Diamino-4-oxobutanoic acid; (2S)-2-Amino-3-carbamoylpropanoic acid; (S)-2-Amino-3-carbamoylpropanoic acid; (S)-Asparagine; 2-Aminosuccinamic acid; alpha-Aminosuccinamic acid; Asn; ASPARAGINE; Aspartamic acid; L-2-Aminosuccinamic acid; L-Asparagin; L-Aspartic acid beta-amide; N; (2S)-2,4-Diamino-4-oxobutanoate; (2S)-2-Amino-3-carbamoylpropanoate; (S)-2-Amino-3-carbamoylpropanoate; 2-Aminosuccinamate; a-Aminosuccinamate; a-Aminosuccinamic acid; alpha-Aminosuccinamate; Α-aminosuccinamate; Α-aminosuccinamic acid; Aspartamate; L-2-Aminosuccinamate; L-Aspartate b-amide; L-Aspartate beta-amide; L-Aspartate β-amide; L-Aspartic acid b-amide; L-Aspartic acid β-amide; (-)-Asparagine; (S)-2,4-Diamino-4-oxobutanoate; (S)-2,4-Diamino-4-oxobutanoic acid; Agedoite; alpha Amminosuccinamate; alpha Amminosuccinamic acid; Altheine; Asparagine acid; Asparamide; Aspartic acid amide; Aspartic acid b-amide; Aspartic acid beta amide; b2,4-(S)-Diamino-4-oxo-utanoate; b2,4-(S)-Diamino-4-oxo-utanoic acid; Crystal VI; L-2,4-Diamino-4-oxobutanoate; L-2,4-Diamino-4-oxobutanoic acid; L-Aspartamine; L-b-Asparagine; L-beta-Asparagine"
