,MASS,COMMON_NAME
0,465.2855393,LysoPC(14:1(9Z)/0:0); 1-(9Z-Tetradecenoyl)-sn-glycero-3-phosphocholine; 1-Myristoleoyl-glycero-3-phosphocholine; LPC 14:1(9Z)/0:0; LPC(14:1(9Z)/0:0); LysoPC 14:1(9Z)/0:0; Lysophosphatidylcholine(14:1(9Z)/0:0); LPC(14:1); LPC(14:1/0:0); LPC(14:1n5/0:0); LPC(14:1W5/0:0); LyPC(14:1); LyPC(14:1/0:0); LyPC(14:1n5/0:0); LyPC(14:1W5/0:0); LysoPC(14:1); LysoPC(14:1/0:0); LysoPC(14:1n5/0:0); LysoPC(14:1W5/0:0); Lysophosphatidylcholine(14:1); Lysophosphatidylcholine(14:1/0:0); Lysophosphatidylcholine(14:1n5/0:0); Lysophosphatidylcholine(14:1W5/0:0); LysoPC(14:1(9Z)); 1-(9Z-Tetradecenoyl)-glycero-3-phosphocholine; LysoPC(14:1(9Z)/0:0); 1-Myristoleoylglycerophosphocholine
1,467.3011893,LysoPC(14:0/0:0); 1-C14:0-Lysophosphatidylcholine betaine; 1-Myristoyl-glycero-3-phosphocholine; 1-Myristoyl-sn-glycero-3-phosphocholine betaine; 1-Tetradecanoyl-sn-glycero-3-phosphocholine; 1-Tetradecanoyl-sn-glycero-3-phosphocholine betaine; LPC(14:0); LPC(14:0/0:0); LyPC(14:0); LyPC(14:0/0:0); Lysophosphatidylcholine(14:0/0:0); PC(14:0/0:0); Lysophosphatidylcholine(14:0); 1-Tetradecanoyl-glycero-3-phosphocholine; LysoPC(14:0); 1-Myristoylglycerophosphocholine; 1-Tetradecanoylglycerophosphocholine; 1-Myristoyl-GPC; 1-Myristoyl-lysophosphatidylcholine; 1-Myristoyl-sn-glycero-3-phosphocholine; GPC(14:0); GPC(14:0/0:0); LysoPC(14:0/0:0)
2,479.3375748,LysoPC(P-16:0/0:0); 1-(1-Enyl-palmitoyl)-glycero-3-phosphocholine; 1-(1-Enyl-palmitoyl)-GPC; GPC(p-16:0); LPC p-16:0/0:0; LPC(p-16:0/0:0); LysoPC p-16:0/0:0; Lysophosphatidylcholine(p-16:0/0:0); PC p-16:0/0:0; PC(p-16:0/0:0); Lysoplasmenylethanolamine; Lysoplasmalogens; LysoPC(P-16:0/0:0); Lysoplasmenylcholine
3,481.3168394,LysoPC(15:0/0:0); 1-Pentadecanoyl-glycero-3-phosphocholine; LPC(15:0); LPC(15:0/0:0); LysoPC(15:0); Lysophosphatidylcholine (15:0); Lysophosphatidylcholine (15:0/0:0); PC(15:0); PC(15:0/0:0); LyPC(15:0); LyPC(15:0/0:0); Lysophosphatidylcholine(15:0); Lysophosphatidylcholine(15:0/0:0); LysoPC(15:0/0:0); 1-Pentadecanoylglycerophosphocholine
4,493.3168394,LysoPC(16:1(9Z)/0:0); 1-(9Z-Hexadecenoyl)-sn-glycero-3-phosphocholine; 1-Palmitoleoyl-glycero-3-phosphocholine; 1-Palmitoleoyl-glycerophosphocholine; 1-Palmitoleoyl-GPC; GPC(16:1(9Z)); GPC(16:1); LPC 16:1(9Z)/0:0; LPC(16:1(9Z)/0:0); LysoPC 16:1(9Z)/0:0; Lysophosphatidylcholine(16:1(9Z)/0:0); PC 16:1(9Z)/0:0; PC(16:1(9Z)/0:0); LPC(16:1); LPC(16:1/0:0); LPC(16:1n7/0:0); LPC(16:1W7/0:0); LyPC(16:1); LyPC(16:1/0:0); LyPC(16:1n7/0:0); LyPC(16:1W7/0:0); LysoPC a C16:1; LysoPC(16:1); LysoPC(16:1/0:0); LysoPC(16:1n7/0:0); LysoPC(16:1W7/0:0); Lysophosphatidylcholine(16:1); Lysophosphatidylcholine(16:1/0:0); Lysophosphatidylcholine(16:1n7/0:0); Lysophosphatidylcholine(16:1W7/0:0); LysoPC(16:1(9Z)); 1-(9Z-Hexadecenoyl)-glycero-3-phosphocholine; 1-Palmitoleoylglycerophosphocholine; 1-Palmitoleoyl-lysophosphatidylcholine; 1-Palmitoleoyl-sn-glycero-3-phosphocholine; GPC(16:1(9Z)/0:0); GPC(16:1n7); GPC(16:1n7/0:0); GPC(16:1W7); GPC(16:1W7/0:0); LPC(16:1(9Z)); LPC(16:1n7); LPC(16:1W7); LysoPC(16:1n7); LysoPC(16:1W7); Lysophosphatidylcholine(16:1(9Z)); Lysophosphatidylcholine(16:1n7); Lysophosphatidylcholine(16:1W7); LysoPC(16:1(9Z)/0:0)
5,495.3324895,LysoPC(16:0/0:0); (2R)-2-Hydroxy-3-(hexadecanoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphate; 1-16:0-LysoPC; 1-16:0-Lysophosphatidylcholine; 1-Hexadecanoyl-2-lysophosphatidylcholine; 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphocholine; 1-Palmitoyl-2-lysophosphatidylcholine; 1-Palmitoyl-GPC; 1-Palmitoyl-GPC (16:0); 1-Palmitoyl-phosphatidylcholine; 1-Palmitoyl-sn-glycero-3-phosphocholine; 1-Palmitoylphosphatidylcholine; 16:0 LYSO-PC; GPC(16:0); GPC(16:0/0:0); GPCho 16:0/0:0; GPCho(16:0/0:0); LPC 16:0/0:0; LPC(16:0); LPC(16:0/0:0); LyPC(16:0); LyPC(16:0/0:0); LysoPC 16:0/0:0; LysoPC(16:0); Lysophosphatidylcholine(16:0); Lysophosphatidylcholine(16:0/0:0); PC(16:0/0:0); (2R)-2-Hydroxy-3-(hexadecanoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphoric acid; 1-Palmitoyl-glycero-3-phosphocholine; 1-Palmitoyl-lysophosphatidylcholine; LysoPC a C16:0; 1-Pam-2-lysoptdcho; 1-Hexadecanoyl-glycero-3-phosphocholine; 1-Palmitoyl-sn-glycerol-3-phosphorylcholine; 1-Palmitoylglycerol-3-phosphorylcholine; Hydroxide inner salt(S)-isomer OF we 201; 1-O-Hexadecylpropanediol 3-phosphorylcholine; 1-Palmitoyllysophosphatidylcholine; LYSO-PC; Hydroxide inner salt(R)-isomer OF we 201; Hydroxide inner salt(+-)-isomer OF we 201; Palmitoyl lysophosphatidylcholine; 1-Hexadecanoylglycerophosphocholine; 1-Palmitoylglycerophosphocholine; 1-Hexadecanoyl-sn-glycero-3-phosphocholine; 1-Hexadecanoyl-sn-glycerol-3-phosphorylcholine; 1-Hexadecanoyllysolecithin; 1-Hexadecyl-sn-glycero-3-phosphocholine; 1-O-Palmitoyl-2-lyso-sn-glycero-3-phosphocholine; 1-O-Palmitoyl-sn-glycero-3-phosphocholine; 1-O-Palmitoyl-sn-glyceryl-3-phosphorylcholine; 1-Palmitoyl-2-lyso-sn-glycero-3-phosphocholine; 1-Palmitoyl-L-alpha-lysophosphatidylcholine; 1-Palmitoyl-L-Î±-lysophosphatidylcholine; 1-Palmitoyl-sn-glycero-3-phosphorylcholine; 1-Palmitoyl-sn-glycerol-3-phosphatidylcholine; 1-Palmitoyl-sn-glycerol-3-phosphocholine; 1-Palmitoyllecithin; C(16)-Lysophosphatidylcholine; L-Palmitoyllysolecithin; L-alpha-Lysopalmitoylphosphatidylcholine; L-alpha-Palmitoyllysophosphatidylcholine; L-Î‘-lysopalmitoylphosphatidylcholine; L-Î‘-palmitoyllysophosphatidylcholine; Lysophosphatidylcholine C16:0; MPPC; Palmitoyl L-alpha-lysolecithin; Palmitoyl L-alpha-lysophosphatidylcholine; Palmitoyl L-lysophosphatidylcholine; Palmitoyl L-Î±-lysolecithin; Palmitoyl L-Î±-lysophosphatidylcholine; gamma-Palmitoyl-L-alpha-lysophosphatidylcholine; Î“-palmitoyl-L-Î±-lysophosphatidylcholine; 1-Hexadecanoyl-3-glycerophosphorylcholine; 1-Palmitoyl-3-glycerylphosphorylcholine; 1-Palmitoyllysolecithin; Palmitoyllysolecithin; Palmitoyllysophosphatidyl choline; LysoPC(16:0/0:0)
6,505.3532249,"LysoPC(P-18:1(9Z)/0:0); 1-(1-Enyl-oleoyl)-glycero-3-phosphocholine; 1-(1-Enyl-oleoyl)-GPC; 1-(1-Enyl-oleoyl)-GPC (p-18:1); GPC(p-18:1); GPC(p-18:1/0:0); LPC(O-18:2(1Z,9Z)); LPC(P18:1); PC(p-18:1(9Z)/0:0); PC(p-18:1/0:0); LPC(18:1); LPC(18:1/0:0); LPC(18:1n9/0:0); LPC(18:1W9/0:0); LyPC(18:1); LyPC(18:1/0:0); LyPC(18:1n9/0:0); LyPC(18:1W9/0:0); LysoPC a C18:1; LysoPC(18:1); LysoPC(18:1/0:0); LysoPC(18:1n9/0:0); LysoPC(18:1W9/0:0); Lysophosphatidylcholine(18:1); Lysophosphatidylcholine(18:1/0:0); Lysophosphatidylcholine(18:1n9/0:0); Lysophosphatidylcholine(18:1W9/0:0)"
7,515.3011893,"LysoPC(18:4(6Z,9Z,12Z,15Z)/0:0); LysoPC(18:4(6Z,9Z,12Z,15Z)); Lysophosphatidylcholine(18:4/0:0); LPC(18:4); LPC(18:4/0:0); LyPC(18:4); LyPC(18:4/0:0); Lysophosphatidylcholine(18:4); LysoPC(18:4); 1-Stearidonoyl-glycero-3-phosphocholine; 1-(6Z,9Z,12Z,15Z-Octadecatetraenoyl)-glycero-3-phosphocholine; LysoPC(18:4/0:0); 1-Stearidonoylglycerophosphocholine"
8,517.3168394,"LysoPC(18:3(6Z,9Z,12Z)/0:0); 1-g-Linolenoyl-glycero-3-phosphocholine; 1-gamma-Linolenoyl-glycero-3-phosphocholine; LPC(18:3); LPC(18:3/0:0); LPC(18:3n6/0:0); LPC(18:3W6/0:0); LyPC(18:3); LyPC(18:3/0:0); LyPC(18:3n6/0:0); LyPC(18:3W6/0:0); LysoPC(18:3); LysoPC(18:3/0:0); LysoPC(18:3n6/0:0); LysoPC(18:3W6/0:0); Lysophosphatidylcholine(18:3); Lysophosphatidylcholine(18:3/0:0); Lysophosphatidylcholine(18:3n6/0:0); Lysophosphatidylcholine(18:3W6/0:0); LysoPC(18:3(6Z,9Z,12Z)); 1-(6Z,9Z,12Z-Octadecatrienoyl)-glycero-3-phosphocholine;LysoPC(18:3(9Z,12Z,15Z)/0:0); 1-(9Z,12Z,15Z-Octadecatrienoyl)-sn-glycero-3-phosphocholine; 1-18:3-LysoPC; 1-18:3-Lysophosphatidylcholine; 1-[(9Z,12Z,15Z)-Octadec-9,12,15-trienoyl]-sn-glycero-3-phosphocholine; 1-[(9Z,12Z,15Z)-Octadecatrienoyl]-sn-glycero-3-phosphocholine; 1-alpha-Linolenoyl-glycero-3-phosphocholine; 1-Linolenoyl-GPC; 1-Linolenoyl-GPC (18:3); 1-Linolenoyl-sn-glycero-3-phosphocholine; GPC(18:3); GPC(18:3/0:0); LPC(18:3); LPC(18:3/0:0); LPC(18:3n3/0:0); LysoPC(18:3(9Z,12Z,15Z)); LysoPC(18:3); LysoPC(18:3/0:0); LysoPC(18:3n3/0:0); Lysophosphatidylcholine(18:3); Lysophosphatidylcholine(18:3/0:0); Lysophosphatidylcholine(18:3n3/0:0); PC(18:3(9Z,12Z,15Z)/0:0); PC(18:3); PC(18:3/0:0); 1-a-Linolenoyl-glycero-3-phosphocholine; 1-Î‘-linolenoyl-glycero-3-phosphocholine; LyPC(18:3/0:0); LyPC(18:3); 1-(9Z,12Z,15Z-Octadeatrienoyl)-glycero-3-phosphocholine; 1-Linolenoylglycerophosphocholine; 1-a-Linolenoyl-sn-glycero-3-phosphocholine; 1-Î‘-linolenoyl-sn-glycero-3-phosphocholine"
9,519.3324895,"LysoPC(18:2(9Z,12Z)/0:0); 1-(9Z,12Z)-Octadecadienoyl-sn-glycero-3-phosphocholine; 1-(9Z,12Z-Octadecadienoyl)-glycero-3-phosphocholine; 1-(9Z,12Z-Octadecadienoyl)-sn-glycero-3-phosphocholine; 1-18:2-LysoPC; 1-Linoleoyl-glycero-3-phosphocholine; 1-Linoleoyl-GPC; 1-Linoleoyl-GPC (18:2); 1-Linoleoylglycerophosphocholine; GPC(18:2); GPC(18:2/0:0); LPC 18:2(9Z,12Z)/0:0; LPC(18:2); LPC(18:2/0:0); LPC(18:2n6/0:0); LPC(18:2Omega6/0:0); LyPC(18:2); LyPC(18:2n6/0:0); LyPC(18:2omega6/0:0); LysoPC 18:2(9Z,12Z)/0:0; LysoPC(18:2); LysoPC(18:2/0:0); LysoPC(18:2n6/0:0); LysoPC(18:2omega6/0:0); Lysophosphatidylcholine(18:2(9Z,12Z)/0:0); Lysophosphatidylcholine(18:2); Lysophosphatidylcholine(18:2/0:0); Lysophosphatidylcholine(18:2n6/0:0); Lysophosphatidylcholine(18:2omega6/0:0); PC 18:2(9Z,12Z)/0:0; PC(18:2(9Z,12Z)/0:0); LyPC(18:2/0:0); LysoPC(18:2(9Z,12Z)); 1-Linoleoyl lysolecithin; 1-Linoleoyl-sn-glycero-3-phosphorylcholine; 1-Linoleoylglycerol-3-phosphorylcholine; 1-Linoleoylphosphatidylcholine; Linoleoyllysolecithin; Linoleyl lysophosphatidylcholine; Lysophosphatidylcholine 18:2; 1-Linoleoyl-lysophosphatidylcholine; 1-Linoleoyl-sn-glycero-3-phosphocholine; GPC(18:2(9Z,12Z)); GPC(18:2(9Z,12Z)/0:0); GPC(18:2n6); GPC(18:2n6/0:0); GPC(18:2W6); GPC(18:2W6/0:0); LPC(18:2(9Z,12Z)); LPC(18:2(9Z,12Z)/0:0); LPC(18:2n6); LPC(18:2W6); LPC(18:2W6/0:0); LysoPC(18:2n6); LysoPC(18:2W6); LysoPC(18:2W6/0:0); Lysophosphatidylcholine(18:2(9Z,12Z)); Lysophosphatidylcholine(18:2n6); Lysophosphatidylcholine(18:2W6); Lysophosphatidylcholine(18:2W6/0:0); LysoPC(18:2(9Z,12Z)/0:0)"
10,521.3481395,LysoPC(18:1(11Z)/0:0); 1-Vaccenoyl-glycero-3-phosphocholine; LPC(18:1); LysoPC(18:1(11Z)); LysoPC(18:1); Lysophosphatidylcholine(18:1); PC 18:1(11Z)/0:0; PC(18:1(11Z)/0:0); LPC(18:1/0:0); LPC(18:1n7/0:0); LPC(18:1W7/0:0); LyPC(18:1); LyPC(18:1/0:0); LyPC(18:1n7/0:0); LyPC(18:1W7/0:0); LysoPC a C18:1; LysoPC(18:1/0:0); LysoPC(18:1n7/0:0); LysoPC(18:1W7/0:0); Lysophosphatidylcholine(18:1/0:0); Lysophosphatidylcholine(18:1n7/0:0); Lysophosphatidylcholine(18:1W7/0:0); 1-(11Z-Octadecenoyl)-glycero-3-phosphocholine; 1-Vaccenoylglycerophosphocholine
11,523.3637896,"LysoPC(18:0/0:0); (2R)-2-Hydroxy-3-(stearoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphate; 1-O-Stearoyl-sn-glycero-3-phosphocholine; 1-Octadecanoyl-sn-glycero-3-phosphocholine; 1-Stearoyl-glycero-3-phosphocholine; 1-Stearoylglycerophosphocholine (18:0); 1-Stearoylglycerophosphocholine(18:0); 18:0 LYSO-PC; GPCho 18:0/0:0; GPCho(18:0/0:0); LPC 18:0/0:0; LPC(18:0); LPC(18:0/0:0); LysoPC 18:0/0:0; LysoPC(18:0); Lysophosphatidylcholine (18:0/0:0); Lysophosphatidylcholine(18:0); Lysophosphatidylcholine(18:0/0:0); PC 18:0/0:0; PC(18:0/0:0); (2R)-2-Hydroxy-3-(stearoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphoric acid; LyPC(18:0); LyPC(18:0/0:0); LysoPC a C18:0; Stearoyl alpha-lysolecithin; Stearoyllysophosphatidylcholine; 1-Octadecyl-glycero-3-phosphocholine; 1-Stearoyl-sn-glycero-3-phosphorylcholine; Stearoyl L-alpha-lysolecithin; 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine; Stearoyl alpha-lysolecithin, (+-)-isomer; Stearoyl alpha-lysolecithin, (R)-isomer; 1-Octadecanoyl-glycero-3-phosphocholine; 1-Octadecanoylglycerophosphocholine; 1-Octadecylglycerophosphocholine; 1-Stearoylglycerophosphocholine; 1-O-Stearoyl-2-lyso-sn-glycero-3-phosphocholine; 1-Octadecanoyl-3-glycerophosphorylcholine; 1-Octadecanoyl-sn-glycerol-3-phosphorylcholine; 1-Octadecanoyllysolecithin; 1-Stearoyl-2-lysophosphatidylcholine; 1-Stearoyl-3-glycerylphosphorylcholine; 1-Stearoyl-GPC; 1-Stearoyl-lysophosphatidylcholine; 1-Stearoyl-sn-glycero-3-phosphocholine; 1-Stearoyl-sn-glycerol-3-phosphatidylcholine; 1-Stearoyl-sn-glycerol-3-phosphorylcholine; 1-Stearoylglycero-3-phosphorylcholine; 1-Stearoyllysophosphatidylcholine; GPC(18:0); GPC(18:0/0:0); Lysophosphatidylcholine C18:0; Stearoyl L-Î±-lysolecithin; Stearoyl lysolecithin; Stearoyl lysophosphatidylcholine; LysoPC(18:0/0:0)"
