,MASS,COMMON_NAME,FORMULA
0,72.0939,Pentane,C5H12
1,84.0939,2E-Hexene,C6H12
2,86.1095,hexane,C6H14
3,98.1095,"1,2-dimethylcyclopentane;1-Heptene;Ethylcyclopentane;Methylcyclohexane",C7H14
4,100.1252,3-Ethylpentane;Heptane,C7H16
5,112.1252,"1,4-dimethylcyclohexane;3-methyl-1-heptene;Ethylcyclohexane;cis-1,2-dimethylcyclohexane;trans-1,2-dimethylcyclohexane",C8H16
6,114.1409,"2,3,4-Trimethyl-pentane;2-methyl-heptane;3-ethyl-2-methylpentane;3-methyl-heptane;4-methyl-heptane;octane",C8H18
7,126.1409,"1,1,2-trimethylcyclohexane;1,1,3,3-tetramethylcyclopentane;1,1,3-trimethylcyclohexane;1,2,4-trimethylcyclohexane;1-Nonene;1-methyl-2-ethylcyclohexane;1-methyl-2-propyl-cyclopentane;1alpha,2alpha,3beta-trimethylcyclohexane;1alpha,2beta,3alpha-trimethylcyclohexane;1alpha,2beta,4-beta-trimethylcyclohexane;1alpha,3alpha-5alpha-trimethylcyclohexane;1alpha,3alpha-5beta-trimethylcyclohexane;3-ethyl, 4,4-dimethyl-2-Pentene;Butylcyclopentane;Isopropyl-cyclohexane;Propylcyclohexane;cis-1-ethyl-2-methycyclohexane;cis-1-ethyl-4-methycyclohexane;trans-1-ethyl-2-methycyclohexane;trans-1-ethyl-4-methycyclohexane",C9H18
8,128.1565,"2,2,3,3-tetramethylpentane;2,2,3,4-Tetramethylpentane;2,2,4-Trimethylhexane;2,2-Dimethyl-3-ethylpentane;2,3-dimethylhexane;2,4-dimethylhexane;2,5-dimethyl-heptane;3-Ethylheptane;3-methyloctane;4-Methyloctane;4-ethyl-heptane;Nonane",C9H20
9,136.1252,"2,6-Dimethyl-2,4E,6E-octatriene;3,5-Dimethyl-2E,4E,6E-octatriene",C10H16
10,138.1409,"1-methyl-1-(2-methyl-2-propenyl)-cyclopentane;3,7-Dimethyl-1,3Z,6-octatriene;3,7-Dimethylocta-2E,4E-diene;3E,7-Dimethyl-1,3,6-octatriene;7-Methyl-3-methylene-1,6-octadiene;Butylidenecyclohexane",C10H18
11,140.1565,"1,1,2,3-tetramethylcyclohexane;1-Decene;1-ethyl-2,3-dimethycyclohexane;1-ethyl-trans-1,3-dimethycyclohexane;1-ethyl-trans-1,4-dimethycyclohexane;1-methyl-2-propylcyclohexane;1-methyl-3-isopropylcyclohexane;1-methyl-3-propylcyclohexane;1-methylpropyl-cyclohexane;2,6-dimethyl-2-octene;2-ethyl-1,3-dimethyl-cyclohexane;5E-decene;Butylcyclohexane;Pentylcyclopentane",C10H20
12,142.1721,"2,3-dimethyloctane;2,5,5-trimethyl-heptane;2-methyl-3-ethyl-heptane;2-methylnonane;3,3-Dimethyloctane;3,4,5-Trimethylheptane;3,6-dimethyloctane;3-methylnonane;4-methylnonane;4-propylheptane;5-ethyl-2-methyl-heptane;5-methylnonane;Decane",C10H22
13,150.1409,"4,6-Dimethyl-2E,4E,6E-nonatriene;4,8-Dimethyl-1,3E,7-nonatriene",C11H18
14,152.1565,"1,3E,5Z-Undecatriene;4,8-Dimethyl-1,3(E),7-nonatriene",C11H20
15,154.1721,"1,1-dimethyl-2-propylcyclohexane;1,2-dimethylpropyl-cyclohexane;1-Undecene;1-butyl-2-ethylcyclopentane;2,3,6-trimethyl-4-Octene;3-Undecene;4-Undecene;6-methyl- 4E-decene",C11H22
16,156.1878,"2,2,3,3-tetramethylhexane;2,3,7-trimethyloctane;2,3-Dimethylnonane;2,4,6-Trimethyloctane;2,5,6-Trimethyloctane;2,5-dimethylnonane;2,6,6-Trimethyloctane;2,6-dimethylnonane;3,7-dimethylnonane;3-Methyldecane;4-methyldecane;5-ethyl-2-methyloctane;5-methyldecane;6-ethyl-2-methyloctane;Undecane",C11H24
17,162.047,"Trideca-1-en-3,5,7,9,11-pentayne",C13H6
18,164.1565,"5-Ethyl-3-methyl-2E,4E,6E-nonatriene",C12H20
19,168.1878,1-Dodecene,C12H24
20,170.2035,"3,7-Dimethyldecane;3-Methylundecane;5-Methylundecane;6-Methylundecane;dodecane",C12H26
21,176.1565,"3,5,7-Trimethyl-2E,4E,6E,8E-decatetraene",C13H20
22,178.1721,"6-Ethyl-4-methyl-3E,5E,7E-decatriene",C13H22
23,182.2035,1-Tridecene;4-Tridecene;4Z-Tridecene;5-Tridecene;5Z-Tridecene;6-Tridecene,C13H26
24,184.2191,"2,2,6,6-Tetramethyl-4-ethylheptane;2,2,6,8-Tetramethylnonane;2,2,6-Trimethyldecane;2,3,5-Trimethyldecane;2,3,7-Trimethyldecane;2,5-Dimethylundecane;2,6,6-Trimethyldecane;2,6,7-Trimethyldecane;2-Methyl-6-ethyldecane;3,5,7-Trimethyldecane;3,5-Dimethylundecane;3,7-Dimethylundecane;3-Ethylundecane ;3-Methyl-3-ethyldecane;3-Methyldodecane;4,6-Dimethylundecane;4,7-Dimethylundecane;4-Methyl-5-propylnonane;5,7-Dimethylundecane;5-(1-Methylpropyl)nonane ;5-Butylnonane;5-Ethylundecane;6-Methyldodecane;tridecane",C13H28
